Cognate_ID	alak	bahnargolar	bahnarkontum	bahnarpleiku	brao	bunong	cheng	chrau	cua	halang	jeh	jrulaven	kasseng	khaonh	mel	mnongrlm	nyaheun	ramam	rengao	sapuan	sedang	sre	stieng	tampuan
5_ashes	pʼ uː h	t ə n u h	t ə n u h	t ə n u h + ʔ u ɲ	k r ə ʔ ɨ h	p ṳː h	t u h	v uː h				b r u k	b l ɔː	n ɑ k	b u h ə n a k	d o ʔ + b u h	b r u k	p u ɺ	b l ɔː	t u h	c ɔ j	b uː h	b u h	
60_hotwarm	t o ʔ	t ɔ ʔ	t ɔ ʔ	t ɔ ʔ	d u ʔ	t ṳː h	d o ʔ	d u h	t o ʔ	t u ʔ	t u ʔ	ʔ t o ʔ	p uː ç	t ɑ ɲ	t a ɲ	d o h	d o ʔ	k ə n ɔ ʔ	t u ʔ	d o ʔ	t o	d u h	d o h	t o ʔ
61_house	ɲ ɲ iː	h n a m	h n a m	h n aː m	h n aː m	ŋ iː h	s r aː m	ɲ iː	h ɲ ɨː	ɲ i̤ ə	ɲ i̤ a h	h n əː m	s uː	ɓ a w n	ɲ ɯː	h i h	ɲ̊ r aː m	h u j	h ɲ e̤ː	s əː m	h n ɛ̰ ə m	h i w	ɲ iː	h ə i
62_hundred	k l a m	h r ɛ ŋ	h r ɛ ŋ	h r ɛ ŋ		rʰ j a ŋ	k l a m	r ə j ɛ ŋ	h r ɛː k	r ɛ a ŋ	r ɛː ŋ	k l a m	r i ə ŋ			h i e ŋ	k l a m	h ɣ ɛ k ŋ	h r iː ŋ	m uː j + k l a m	h r ḭ ŋ	rʰ i a ŋ	rʰ i a ŋ	r a j a ŋ
63_ime	ʔ a l	ʔ i ɲ	ʔ i ɲ	ʔ i ɲ	ʔ a j	k ə̤ p	ʔ a ɨ	ʔ a ɲ	ɡ o	ʔ a u	ʔ a w	ʔ aː j	ʔ a ɯ	ʔ ɡ ə p	ʔ ɡ ə p	ʔ a ɲ	ʔ aː	ʔ a j	ʔ a w	ʔ a j	ʔ a w	ʔ a ɲ	h e j	ʔ a ɲ
64_intestinegut	k l aː k	k l aː k	k l aː k	k l aː k	k l aː k	p r ɔː c	k l aː k + ʔ i c	t ə l aː ʔ	k l aː k	k l aː k	k l aː k	k l aː k	k l aː k	p ʀ a w c	p ɾ ɔː c	p r u e c	k l aː k	k l aː k	k l aː k	k l aː k	k l e ə	p r ɔ c	p r ɔː c	k l aː k
65_iron	m aː m	m aː m	m aː m	m aː m	m aː m		m aː m	l ɔː s		m aː m	m aː m	m əː m	m aː m			d r a p	m aː m		m aː m	m aː m	m ɛ̰ ə m	l ɔ s		pʰ c ɔ j
66_leaf	cʼ ɔ k	h l aː	h l aː	h l aː	cʰ l aː	nʰ aː	h l aː + l ɔː ŋ	l aː	h l aː	l aː	l aː	l aː	ʔ ə l aː	l ɑː + s iː	l aː	h aː	h l a	h l aː	h l aː	kʰ aː + l ɔː ŋ	h l a	nʰ a	l aː	h l aː
67_leechland	p l əː m	p l əː m	p l əː m	p l əː m	p l əː m			p l əː m	p l əː p	p l e̤ː m	p l e̤ː m	p l ʌː m	p l ɤː m	ɡ l uː	ɡ ə l uː	p l əː m	p l ɐː m		p l e̤ː m		p l i ə m	p l ɔ m	p l əː m	p l a ə m
68_leftside	p a h + w i a r	ŋ i ã ɔ	ŋ i ã ɔ	ɡ a h + ʔ ŋ j ɛ w	c ə ʔ i a w	c j aː w	p a w + c a ʔ i a w	ɡ i a w	ʔ j a w	ʔ ŋ i ə w	n a h + ʔ i w	h ʔ i a w	ʔ ə ʔ i ə w	kʰ ɑ ŋ + ɡ e o	ɡ i u	k i e w	ʔ i a w	h ə ʔ ɛː w	ʔ ɛː w	s a ʔ i a w	h ə ʔ e o̰	k i a w	ɡ i e w	s a ŋ ʔ j a o
69_lightweight	h a cʼ əː c	h j əː c	h j əː c	h ə ʔ j əː c	j oː c			n kʰ əː c	ʔ a h j əː l	h ə ʔ ẽ̤ː k	ŋ e̤ː k	h ɟ ʌː c	ɲ ɟ ɤː c			ŋʰ əː c		ŋʰ u ə ɺ	h e̤ː l		h i a	ŋ ɡ ɔ c	ŋ ɡ əː c	c ɨ̤ ɨ c
6_bamboo	ʔ l ɔː ŋ + k o ʔ	p ə l ɛː	p ə l ɛː	p ə l ɛː	r cʰ ɨː		n s ɨː	k ə l aː	k l a j	k r aː m	k l aː	ʔ l ɔː ŋ + l o ʔ		k ə n aː m	k ə n aː m	n aː m	n t ɛː	l ɔː ŋ + p l ʌ j	l ɔː ŋ + p ə l iː	l ɔː ŋ + ʔ a n s ɨ ə	h ə d r ɛ̰ ə	ɡ l e	k ə ʃ ɔ p	p a ʔ oː
70_liver	k l əː m	k l əː m	k l əː m	k l əː m	k l əː m	k l əː m	k l əː m	kʰ l əː m	p l əː p	k l e̤ː m	k l e̤ː m	k l ʌː m	k l ɔː m	ʔ ɡ l a ə m	ʔ ɡ l əː m	t l əː m	k l ʌː m	k l uː m̥	k l e̤ː m	k l əː m	k l i a m	k l əː m	k l əː m	k l a ə m
71_long	cʼ r oː ŋ	k ə ɟ uː ŋ	k ə ɟ uː ŋ	k ə ɟ uː ŋ	ɡ o h	c ɔ̤	ɡ o h	ɟ ɔː ŋ	k iː l	ʔ ɲ e̤ ʔ	p r o̤ː ç	ʔ ɡ o h	ʔ ə r ɯː ç	ɟ ɔː ŋ	ɟ ɔː ŋ	n uː r	ɡ o h	ʔ ɔ ŋ + h a w	r ə n ɔ h	ʔ ɡ ɔ h	s ɔ̰ n	ɟ ɔ ŋ	ɟ ɔː ŋ	ʔ l ə ŋ
72_louse	ɲ c a j	s iː	s iː	s iː	c a j	s iː	c a j	s iː	s a j	c iː	k ə c a j	c e j	c a j	s iː	s iː	s iː	c e	c a j	c i̤ː	c a j	c a j	s a j	s iː	s ə j
73_manmalehuman	k oː ɲ	d r ɔ ʔ ŋ l ɔː	d r ɔ ʔ ŋ l ɔː	d r ɔ ʔ ŋ l ɔː	k l ɑː	p ṳ + k l oː	m ɛː + k l ɔː	k l oː	k a n a w	b u n + k ə l oː	k l ɔ w	k l ɔː	k oː ɲ			k l ə w	t r o i h	k ə n a w	k ə d r a ŋ	k l ɔː	k ə n o̰ w	k l a w	k l a w	k a m a̤ k
74_many	j aː w				ʔ əː n	ʔ əː k	ʔ əː n	v əː n	ʔ ŋ ɨ n	k r əː m	k ə d r a̤ m	d ɨ ʔ	ɟ ɤ ʔ	ʔ ə k	ʔ ɔ k	ʔ əː k	ʔ uː	t ə t a u h	h m ə n	l a j	h ɛ n	ʔ u r	ʔ m ə k	ʔ i̤ ə ŋ
75_medicinejuice	t a n a m	p ə ɡ aː ŋ	p ə ɡ aː ŋ	p ə ɡ aː ŋ			h ɨ t			p ə ɡ aː ŋ	p ə ɡ aː ŋ	t n a m	n s ɤ k	ŋ a h a m	tʰ n a m	ɡ ɨ n	n a m	p ə k aː ŋ	p ə ɡ aː ŋ	t r a m	p ə k ɛ̰ ə ŋ	s ə n ə m	t ə n aː m	ʔ nʰ n a m
76_monkeyape	m əː w	ɗ ɔ k	ɗ ɔ k	ɗ ɔ k	n i w	t o̤ː k	n i w	d oː ʔ	d ʌ k	d ɔ k	d ɔ k	ŋ oː k	ʔ a n m aː w	ɗ o̤ː k	ɗ o̤ː k	d oː k	n i w	t u ɔ k	d ɔ k	n iː w	t ɔ	d o u	d oː k	t ɔ̤ k
77_moon	k a h a j	kʰ ɛː j	kʰ ɛː j	kʰ ɛː j	kʰ a j	kʰ əː j	kʰ a j	kʰ a j	s i a k	kʰ a j	kʰ ɛː j	kʰ a j	ʔ ə h a j	kʰ ɑ ɛ	kʰ ə j	kʰ ɛː	kʰ eː	kʰ ʌ j	kʰ ɛ j	c a k əː t	kʰ ḛ	k ə nʰ a j	kʰ a j	kʰ a j
78_mortar	t a p a ɯ	t ə p a l	h a p a l	t ə p a l	t ə w aː w	m p a l	t v aː w	l ə p a l	ʔ a p a l	h ə p a l	ʔ a p a l	t p a l	ʔ ə p a l	t ə p aː l	t ə p a l + ɟ u h	p a l	d w a w	p a l	h ə p a l	t w aː w		m p a l	p a l	t a p a l
79_mountain	kʼ ɔː r	k oː ŋ	k oː ŋ	k oː ŋ	c ɨ n d uː	j oː k	c a n d uː	ɡ u ŋ	d ɔː t	ŋ ɔ k	ŋ u k		ɡ ɔː r	p ə n ə m	p ə n ə m	j oː k	n u o	p a u ŋ̊	ŋ ɔ k	k ɔː ŋ	ŋ ɔ	b ə n ə m	b ə n ə m	p a n ɨ̤ m
7_banana	p r iː t	p r iː t	p r iː t	p r iː t	p r ɨː t	p r iː t	p r ɨː t	p r iː t	p a r eː t	p r i̤ ə t	p r i̤ a t	p r ɨ ə t	p r i ə t	p ʀ iː t	p r i t	p r iː t	p r ɨ ə t	p ɣ o t	p r e t	p r ɨ a t	p r i ə t	p r iː t	p r iː t	p r ə i t
80_mouth	k aː ŋ	ɓ ə r	ɓ ə r	ɓ ə r	b u a r	m p ṳː ŋ	ɲ aː k	m i ɲ	h u j	t ə m uː n	t ə m u n	t m aː ŋ	b u ə r	ɓ ə ɨ	s ə d oː j	b a r + j u e	m r u e ɲ		b ə̤ r	m aː ŋ	r ə k ɔ ŋ	b ə r	w i e m	p ɨ̤ r
81_mushroomfungus	n n ɔː n				p ə cʰ eː t		p a s eː t	n s eː t		p ə s i̤ː t	p ə s i t	pˢ eː t	ʔ ə s oː m	pˢ eː t	pˢ e t	s eː t	pʰ eː t	p ə ts e t	b ə ts i̤ t	p a s eː t	k ə s e t	b ə s i t	s eː t	
82_nailclaw	k a n e h	t ə ʔ ŋ j ə h	k ə ɗ iː ɲ	t ə ʔ ŋ j ə h	k a r n i a h	nʰ eː h	k r n i ɛ h	k ə nʰ i e s	k a n i ə h	k ə ʔ n i a jʰ	k ə ʔ n i a ç	k ə n i a h	ʔ ə r i ə ç	k ə ɲ e a h	k ə n i ə h	n i e h + t iː	n n i a h	t a j + k ə n e h	k ə ʔ n i h	k a n i a h	k ə n e j	n ɗ i a s	k ə n i e h	h ɲ a h
83_name	c a n ɔ ʔ	h ə n a n	m a t	ʔ a n a n	m a t	m ɔː h		s a ʔ	ʔ a l	ɟ i ə ŋ	t ə l i ʔ	m ɔ h	ʔ ə l oː m			n a n		m a t	m a t		ʔ i n a j	t ə m ɔ h	t ə m ɔ h	s ɛ c
84_navel	k l ɔ k	k l ɔ k	k l ɔ k	k l ɔ k			k l ɔ k	k l ɔ ʔ	k l oː k	k l ɔ k	k l ɔ k	k l ɔ k	k l o k	p o u	p uː	t l ɔ k	k l ɔ k	c i a t	k l ɔ k		k l ɔ	k l ɔ	k l ɔ ʔ	k l ɔ k
85_near	tʼ i a p	ɟ e ʔ	ɟ ɛ ʔ	ɟ e ʔ	k ə l a m	t a c			ɟ ɛ ʔ	d ɛ ŋ	ɟ e̤ ʔ	t iː t	ʔ ə s iː t	d a̤ c	ɗ ə c	d a c	tʰ aː p	k e m̥	t ɛ n	d i a p	ʔ a c ɛ	r i p	ɟ ə ŋ ɔː	k j a̤ m
86_neck	ŋ ɔː k	h ə k ɔː	ʔ a k ɔː	ʔ a k ɔː	d ɑ ŋ	t a k ɔː	h r ɔ ŋ	n k ɔː	r a n ʌ ŋ	t ə k u ə j	t ə k u a j	h l ɔ ŋ	n d ɔ ŋ	k aː w	k ɔː	k a w	h l ɔ ŋ	t ə k o ŋ	c ə k ɔː j	h a r ɔː	r ə n ɔ ŋ	ŋ k ɔ	k ɔː	ŋ k oː
87_needle	ɡ a j ɔː				k e h							h n oː c		ŋ l a i	ŋ l a i	n aː j					k ə ɲ ɔ̰		ŋ l əː j	ʔ ŋ l ɛ h
88_new	t a m a j	ʔ n aː w	ʔ n aː w	h l ɛː	n d aː m	mʰ ɛː		m ɛː	ʔ n ə w	ʔ n aː w	ʔ n aː w	ʔ n aː w	n aː w	m ə h a e	m ə h æː	mʰ aː j	ʔ n aː w	n aː w	ʔ n aː w		n e o	t ə m e	ʔ m e	n aː w
89_night	m a ŋ	m a ŋ	m a ŋ	m a ŋ	m a ŋ	m a ŋ	m a ŋ	m a ŋ	k a m ɨ ŋ	m a ŋ	m a ŋ	m a ŋ	m a ŋ	m ɑ ŋ	m a ŋ	m a ŋ	m a ŋ	m aː m a ŋ	m a ŋ	m a ŋ	m a ŋ	m a ŋ	m a ŋ	m a ŋ
8_beanspeas	n t aː k	t ə h	t ə h	t ə h	n t aː k		n t aː k	t uː h	t u a h	t o h	t ɔ h	h t aː k	n t u ə ŋ	t o h	t u h		t t aː k	k ə t ɔ h	t ɔ h	n t aː k	t ɔ	kʰ o a h	t o h	t ɔ h
90_nine	t a ŋ c iː n	t ə s i n	t ə s i n	t ə s i n	c eː n	cʰ i n	c i n	s ɨ n	k a s iː t	c ə c i n	t ə c e̤ n	c iː n	k ə c eː n	s ɛ n	s ɨ n	s ɨ n	c i n	c ə c u n	c ə c i̤ n	c i n	t ə c e n	s i n	s e n	ʔ nʲ s ə n
91_nose	m u h	m u h	m u h	m u h	m u h	m uː h	m u h	m u h	m u h	m ṳ h	m ṳ h	m u h	m o h	m a w x	m o h	m o h	m u h	m a u h	m ṳ h	m u h	m o h	m u h	m o h	m o u h
92_old	k r a ʔ	k r a ʔ	k r a ʔ	k r a ʔ	k r a ʔ	r aː ɲ	k r a ʔ		ɗ uː t	k r a ʔ	r ə ʔ i h	k r a ʔ	k r a ʔ			j a w	k r a ʔ	k ɣ a ʔ	k r a ʔ	k r a ʔ	k r a	k r a	k ə m r aː	k r a ʔ
93_one	m oː j	m oː ɲ	m oː ɲ	m oː ɲ	m uː j	m u aː j	m uː j	m u o j	m u j	m o̤ j ʔ	m ṳː j	m uː j	m uː j	m ɔː j	m ʊ j	m u e	m u e	m ɔ j ʔ	m o̤ j	m uː j	m o j		m u o j	m a o ɲ
94_palmofhand	c a p aː ŋ	p ə l a ʔ	p ə l a ʔ	p ə l a ʔ		m p aː ŋ	k l aː k + t iː	l ə p aː ŋ	p l aː		k ə p aː ŋ + t i̤ː	h p aː ŋ	ʔ ə p aː ŋ	p a ŋ + t iː	p a ŋ + t iː	p aː ŋ + t iː	p aː ŋ	p l a ʔ + t a j	k ə p aː ŋ + t i̤ː	t a p a ŋ	k ə p ɛ̰ ə ŋ	p a ŋ	p aː ŋ	t a m p aː ŋ
95_penis	l ɔ ʔ	l ɔː	l ɔː	l ɔː	l ɑ ʔ		l ɔ ʔ	k l aː w	k l aː w	k ə ʔ w ə l	m ɛː n	k l a j	k l aː w				l ɔ ʔ		m ɛ̤ m		k ə t a	l ɔ c	k l aː w	k ə p l ɔ h
96_person	pʼ a r ŋ aː j	b ə ŋ aː j	b ə ŋ aː j	b ə ŋ aː j	b ə n i h	p ṳː	m a n i h	t a m u n	m ə n i h	b ə ŋ a j	m ə ŋ aː j	p n u s	ʔ ə ŋ aː j	p ə n u ç	ɓ ə n u ç	n a w	n n uː jʰ	m ə n u j ç	m ə n u jʰ	b r u i h	ŋ ḛ	c a u	b n e h	p a n o u s
97_pig	c uː r	ɲ u ŋ	ɲ u ŋ	ɲ u ŋ	c u r	s u r	c u r	s ɨ r	s uː l	c u r	c o̤ l	c u r	ʔ oː k	s uː	s uː	s ɨ r	c u n	ʔ u t	c ṳː r	ɲ əː k	c u	s u r	s o r	s a k ɛː
98_pigeondove	kʼ a kʼ uː	k ə t əː p	k ə t əː p	k ə t əː p	k u r			ɡ ə t əː p			k ə t r a̤ w	k ə r	ʔ ə k uː r			t əː p	k u n	t əː p	t r ṳː		ɟ a ŋ	k ə t ə p	n t əː p	ʔ n t a ə p
99_rain	b iː	m iː	ʔ m iː	ʔ m iː	m ɨː	m iː h	b ɨː	m iː	j i t	ʔ m i̤ ə	ʔ m r i̤ a h	ʔ m ɨ ə	m i ə	m i u	m i u	m i h	ʔ m ɨ ə	m ɯ j	m e̤ː	m m ɨ ə	m ɛ j	m i w	m iː	b ə j
9_bear	c a k a w	ɟ ə k ø u	h ə ɡ ø u	c ə ɡ ə w				s i k a w	s a ɡ ə w		k ə t a̤ m	h k a w	ʔ a k a w	s ə k a w	s ə k o w	k ɔː + kʰ aː ŋ	n aː + k l aː ŋ		h ə k ə w	c a k a w	r ə k o̰ w	ɟ i r k a w	k a u	
