Cognate_ID	Achagua	Awa	Baniva	Bara	Barasana	Bari	Bora	Cabiyari	Carapana	Carijona	Catio	Chapalaachi	Chimila	Cubeo	Cuiba	Curripaco	Desano	Dimina	EmberaChami	EmberaDarien	EmberaTado	EpenaBasurudo	EpenaSaija	Giacone	Guahibo	Guambiano	Guayabero	Ika	Inga	Jitnu	Jupda	Kakua	Kamsa	Kogui	Koreguaje	Macuna	Mirana	Muinane	Nukak	Ocaina	Orejon	Paez	Piapoco	Piratapuyo	Playero	Puinave	Resigaro	Saliba	Secoya	Siona	Siriano	Tanimuca	Tariano	Tatuyo	Totoro	TsafiquiPila	Tucano	TuneboCentral	Tuyuca	Waimaja	Wanano	Wayuu	WitotoMinica	WitotoMurui	WitotoNipode	Wounaan	Yucuna	Yukpa	Yuruti
29_shamanfolkhealer		w a ts a mː i k a		b a h e g ɨ	k ũ b ũ		tʃ ɯː β aa p eː		k ũ b ũ	k u r a b a i t o	h a i b a n a	m i r u k u	e g u r aa	j a w i p õ ẽ k ɨ	x u i p a x a e i n	m a l i r i	j e	ʒ a k u k a	h a i b a n a	h a i p a n a	h a i b a n a	h a i p a n a	h a i p a n a	j aa w i	p e h o r o b i n ɨː	m ɨ m a r ɨ p i k	p i n̥ o ʔ i n	m a m ɨ	j a tʃ a		j ɔ̃ h	h i w	j o b a	m a m a	dʒ a i	k ũ b ũ	a pʰ i tʃʰ oː p e	t aa b u m ɨ n aa p i		h ɯ ʔ x a ɸ o r aa m̥ a	d a b ɨ	j u ʔ ts e s a	k a m a l i k eː r i	j a i r o	p e w e j e tʃ i n ɨ	i h i k	n a i k oː g i g i	s a i kʷ a	p ã ĩ	ɨ k o	j e	j e ʔ o i k i		k ũ m ũ	m ɨ m a r ɨ β i k	p o n e	j a i	r e o w i n a	b a s e g ɨ	k a	j a i r o	o uː ts ɨ	a i m a	a i m a	m a n o r i r a ɯ m a	b t n kʰ ɯː n	m a r i ʔ i tʃ u		k ũː b ũ
2_achiote		p ɨ̃		b ũ h ã	b ũ s ã		n eː p a p a			i h u s e	kʰ ã dʒ i	m u	k r oː ɾ i w a ʔ	b ũ h ã	k a j a r i	p i r i m a p a		a ʃ o t e	kʰ ã tʃ i	kʰ ã tʃ i	kʰ ã tʃ i	kʰ ã tʃ i	kʰ ã i tʃ i	p i r i m a p a	h o ts i		h o e s t		m a n d u r	h o tʃ i h a		b ẽ ʔ	m a n d o r ɨ ʃ a		p ũ s a	b ũ s ã	n eː p a ʔ e	n oː b a b a	m ɛ̃ k ũ n d e	ɲ o n̥ õõ j a	b o s a		p iː r i	b a s i	h o tʃ i w a		pʰ iː g i	m uː ɲ u	p õ s a	b õ s a	b ũ s ã	b ũ h a				m u	b ũ s ã		b ũ s ã	b ũ h ã	b ã s ĩ + s õ ʔ ã		n o n o k ɯ	n o n o k ɯ	n o n o k ɯ	h a r	p iː r i	o n o t o	b ũː s ã
30_tapir	d aa n t a			w e k ɨ	w e k ɨ	ʔ ɨː r ə k b ə ɾ ə	o kʰ a x iː	ʔ eː m a	w e k ɨ	m a tʃ i h u r i	b ɨ tʃʰ e a		k a h m b u ɾ u	w e k ɨ	m e ts a	h eː m a	w e k ɨ		j e w a r a	ɓ ɨ tʃʰ a	ɓ ɨ tʃ i a	b ɨ s i a	b ɨ s i a	h e m a	m eː ts a h a		m e s a	w a r i	d a n t a	m e ts a	t a h	h i w i	b ɨ ts i j a	b i tʃ a	β e kʰ ɨ	w e k ɨ	o kʰ a h iː	t ɨː ʔ e	k i o ʔ n i d e	tʲ õõ h ã	h a i k o	h i b a	e m a	w e k ɨ	m e ts a h a	j a p	a n̥ oː g i	ɾ ã p o h e	w ẽ k ɨ	w e k ɨ	w e k ɨ	w a i b i k i r ã k a	h e m a	w e k ɨ		d a n t a	w e k ɨ	b i ʃ o a	w e k ɨ	w e k ɨ	w a tʃ ɨ	w a ʔ a m a i n	θ u r u m a	h ɯ g a d ɯ m a	t u r u m a	p e ɾ i k	h eː m a	a r a r e	w e k ɨ
31_tooth	eː	s u l a	e tʃ a	u p i g a	g u h i a	d u d uː r ə	m e ʔ kʷ a x ɨː	ʔ i a	o p i a	i dʒ e r i	kʰ i ɗ a	t e h k u	ⁿd i	k õ p ĩ j o	p e w a n o	n o e ts a	g ɨ i k ɨ r u	k i kː a	kʰ i d a	kʰ i ɗ a	kʰ i ɗ a	kʰ i d a	kʰ i d a	u e	p e w o n o t o	t ɕ u k u l	p e h	k ə kː ɨ	k i r u	w a w a n	t ə g	b ã w	x u a ts a ɕ e	h u a l d ə	k õ h i ɲ ɨ	g u h i g a	i ʔ kʷ a h ɨː	iː g a i	m a u	a ʔ t iː ʔ tʲ o	ũ h ĩ	k i ʔ tʰ	w a j e i	u p i r i a	p e w a n t o	d e	o n e	o ʔ x u	k õ ʔʰ ĩ	g ũ h ĩ j ɨ̃	g u i k a r u	o p i a	ẽ m i n d a	o p i a	t ɕ u k u l	t e f u n	u p i k a	r u ʔ r a	u p i g a	u p i g a	p i r i a k a	w a i + w aa i	i θ i d o	i θ i d o	i t i d o	kʰ i e r	w a i ŋ + w aa i ŋ	j ɨ	o p i g a
32_two	tʃ a m aa h u	p a s	d z a m a d a	p ɨ a	h ɨ a	ʔ i s a m i n ə	m i nʲ eː kʰ ɯː	tʃ u m aa k a	p ɨ̃ g a	s a k a n a r ɯ	u m e	p a lʲ u	b u n a ʔ	p ɨ k a	a i n j a w a b e	j a m a d a	p e	m o w a	õ m e	u m e	o m e	o m e	o m e	i a m e p a	a n i h a h a w a h e h e	p a	k o ʔ l e j a xh/x e	m ou g a	i s k a j	p e n a k u e tʃ a b e	k a ʔ a p	tʃ ẽ d e	u t a	m o ʒ ũ a	tʰ e ʔ e kʰ a ʔ dʒ a p a	h ɨ a	m i ɲ eː kʰ ɯ	m iː n o k ɨ	tʃ ɛ n e	h a n̥ aa m a ʔ	t e p e	e ʔ z	p u tʃ a i b a	p ɨ a	n a h u a w a b e h e	k a w	m i g aa k u	t o m e s a ʔ g a	k a j a j e	s ã m ũ	p e	ĩ p a	ɲ a m a n d a	p ɨ g a	p a	p a l u	p ɨ a	b u k a j a	p ɨ a	p ɨ a	p ɨ a	p i a m a	m e n a	m e n a	m e n a	n u m i	i j a m a	k o s a	p ɨ a
33_mat	i j a b a i					tʃ i d a r ə	i nʲ e p a x ɨ				h u e pʰ o r o	tʲ a ʃ k i			w e i n	k u i p e d a		p a k a	u pʰ a ɾ u	h u e pʰ o ɾ o	h o e pʰ a ɾ u	h o i pʰ a ɾ u	h o i pʰ a ɾ u		t u l i m a		tʃ i a b ɨ ʔ		p u ɲ u d i r u	h o b i t			t x u a ʃ e	k u i ʒ u		h e s a r o	ɨ ʔ p o tʰ a	k ɨ g a t a x e				s t e l a	k u s i d u m a		w e n t o	p a w t a p	h i p eː g i	i t u l i m a ʔ	k ã i p a		s u ʔ a r i				c a ɲ a	e s t e r a				d ẽː			b ɯ i r a n i g ɯ	i o ɸ e	r a n i ɗ a	tʰ eː ɾ̥ u		a p o t o	
34_star	s aa l iː	k ɨː m a	h i w i s i	j õ k õ ã w ɨ̃	j õ k õ	t o t u b i ɾ ə	m ɨː kʰ ɯ r ɯ kʷ a	w i r i n̥ o	j õ k õ	tʃ i r i k ɯ	tʃʰ ĩ d a u	m a k a r a	ⁿd j o tː u w a ŋ a	a b i a k o r ɨ	o p i t e i t o	h i w i s i d a	d ẽ k ã b ɨ̃	ʒ a n d u m a j a	kʰ a kʰ ã j a	tʃʰ ĩ d a u	kʰ ã kʰ ã i		kʰ a kʰ a i	n iː ts u n e m a	i w i n a i	k ɨ n tʃ a p i k	ʔ i tː a e h t	w i r a k o ʔ k u	i s t r i lʲ a	h a r w a t	w i d ɔ h	k ɨ j	e s t r e lʲ a t e m a	z u m e j a	m a ʔ ɲ̥ o kʰ oː	j õ k õ ã g ã	m ɨː kʰ ɯ r ɨ kʷ a	m eː k ɨ r ɨ g a i	k ɨ i	o ʔ x oː ʔ tʲ o	t u k u	ã ʔ	d u l u p u t a	j ã ʔ p ĩ k õ ʔ ã	i p i t a h i t o	k ə t	h i β iː g i	s e p u ʔ d i	m ã ʔ j õ k o	m ã ʔ tʃ o k o	d ẽ ʔ j ũ k ã b ɨ̃	t ã ʔ p i a	k e r i	j õ k õ	t ɕ ɨ l	ts a b o	j õ k õ ã w ɨ̃	u b a	j õ k õ ã w ɨ̃	j õ k õ	j ã ʔ p ĩ tʃ õ ʔ a k ã	iː w a	u k u d u	u k u d u	u k u d o	pʰ ĩ d a g	i w i xh/x i	ʃ i k u	j õ k õ ã w ɨ̃
35_arrow	p u j a	k w i tʃ		t e m u r i k ɨ	j i r u ɨ	tʃ i r ə	tʰ ɯ p oː kʰ o		j e r u ɨ	t i j a	tʃʰ i a	ts u t a	k a ŋ g ɾ a ʔ	t ẽ b ũ j o	p e p a b o	n o k a p i w i r e	b u i d i	f l e t e		tʃʰ i a	s i a	s i a	s i a	i e t e p u	x u a t a b o		b u j a	t i ʔ n ɨ	p l i tʃ a	o r e k	b ũ h	j ɨ̃ p a t	p l e tʃ ɨ b x u a	s ɨ z a	s a o dʒ o	j i r u g ɨ	tʰ ɯ p o ʔ p a	aa m ɨ g a	d iː	o ɯ dʲ a ts a ʔ s o	u i		tʃ u k u l u	b ɨ e d ɨ	x u a t a b o	b o p	n oː ts i g u	d o k o n o	w a ʔʰ o	tʃ a o j o	g ã r ɨ̃ g ɨ̃	a r ĩ õ ʔ r ẽ ã	ʃ i d o a p e	j e r u ɨ		f l e ts a	b ɨ e kʰ ɨ	t o t a	k ã d ɨ̃ g ɨ̃	ã d ɨ̃ g ɨ	b ɨ e d ɨ	i m a l aa	d u k ɯ r a θ ɯ	d u k ɯ r a θ ɯ	k a n i d a	tʃ oː kʰ i e r	i h i h i l a	r r e m t u ʃ	k ã d ɨ̃ g ɨ
36_buzzard	w aa tʃ u l i	p ɨ k u m		j u k a	j u k a	b ə k tʃ i b a r ə	a nʲ ɯ		j u k a	k u r u g o	ã kʰ o s o	p e tʲ u tʲ u	u sː u ʔ	k a w a	k e k e r e	w a j u l i	g o r o p o r ã	m ɨ g ɨ r a	ã kʰ o s o	ã k o s o	ã g o s i	ã k o s o	ã k o s o		w aː j u l i	k a lʲ i n a s o	t ɨ d a	g ei n a s u	g a b i l a n	k e k a r	w ã h	h o p	n g a lʲ i n a s o	g ə dʒ i n a s o	k ɨ tʰ a s ã ɨ r ɨ	j u k a	a ɲ ɯː	a ɲ ɨ	j aa k i p aa n i d e	ɯ̃ː n oː tʃ o		m ẽː w ẽ xʲ	w a tʃ u l i	j u k a	k e k e r e	w i n i k	β a ts oː g i	w a dʒ u l i	p ɨ p ɨ d i	w a j o	b ĩ b ũ	w a j u r i k a		j u k a		b a r o	j u k a		k aa	j u k a	j u k a	s a m u l u	i n o	i n o	i n o	ã k õ s	w aa j u	o k o s j a	j u k aa
37_cat	m iː tʃ i	m i ʃ i t u		p i s a d ã	p i s a k ɨ		m iː tʃʰ iː		p i s a d ã	g a t o	tʃʰ i p i	m i ʃ i	r oː j u	p i tʃ a d ã	m i s i m i s i	m i ʃ i	p i s ã r ã	m i s i	m i tʃ i				m i s i		m iː ts i	m i ʃ	m i tʃ k	m i s i	m i s i t u	m i tʃ i k		p ĩ tʃ a d ã	m e s e t o	m i s i	m i s i	p i s a d ã	m iː tʃʰ i	m iː ʃ i			b ĩ tʃ i	m i ʃ	m iː tʃ i	p i s a d ã	m i s i m i s i	m i s i	m iː ʃ i	m i s i	m ĩ s i	m ĩ tʃ i	p i s ã d ã	p i s a d ã k a		p i s ã d ã	m i ʃ	m e s e	p i s ã d ã	k a t k a n a	p i s a d ã	p i s a d ã	p i s a d ã	m uː s a	h ɯ k o	m i tʃ i	h ɯ k o	m i s	p i tʃ a n a		p i s ã r ã
38_people	tʃ o n i w e n a i	a w a		b a h o k a	b ã s ã i	b ə d i r ə	m ɨ a m ɯ i n aa		k ã i b ã s ã i	k a r i h o n a	ẽ b ẽ ɾ ã i	tʃ a tʃ i lʲ a	e tː e	p õ ẽ i w ã	h i w i	i n a i k i	b ã s ã i	i ʃ i k a	ẽ b ẽ i ɾ ã	ẽ p ẽ ɾ ã	ẽ b ẽ ɾ ã i	ẽ p ẽ i ɾ ã	ẽ p ẽ i ɾ ã	i n a v i k e	h i w i	m i s a k	h i w	i k ɨ	r u n a	p e k u i	h u p d ə h	k ã k w ã	e n t ɕ a n g a	k ə i gː ə b ə	p ã i	b ã s ã	m ɨ a m ɯ i n aa	m i j a m ɨ n aa	n ɨ̃ k ã k	h a r o ʔ t i ʔ	b ã ĩ	n a s a	w e n a i w i k a	b ã s ã	h i w i m o n e	e p ĩ n o t	i n aa β i ʔ ʒ aa	h ĩ x õ	b ã ĩ	p ã ĩ	b ã s a k a	p õ ʔ ĩ b ã h ã	p a tʃ i	k ã i b ã h ã	m i s a k	ts a ts i l a	b ã s ã i	u w a	b a s o k a	b o h o k a	b ã s ã	w a j uː	k o m ɯ i n ɯ	k o m ɯ n ɯ	k o m ɯ i n ɯ	h õ o ɾ	i n a ʔ u k e		b a s o k a
39_macaw	eː t a	w a k a m a j a		b ãː	b ã h ã	k a j d ə n ə	ɨː β aa	n aa l u	b ãː	k ɯ n o r o	b a g a ɾ a	a k a r a	k u aa k ɾ a	b ã	m a h a	a d a ɾ o	b ã h ã		b aa ɾ a	p a g a ɾ a		p a g a ɾ a	p a g a ɾ a		m aː h a		m a h a	m a r a w ɨ	w a k a m a j u	m a h a	j a k	j a w ʔ		ʃ a x a l d a	m aa	b ã h ã	i ɲ a ʔ a	i n o ʔ a i	j a u ʔ	k ɯː r a m̥ a	b ã	w e l j	e d a	b ã h ã	m ã h a		a n aa d o	w a k a m a i ʔ dʒ a	t o a m ã	m ã	b ã h ã	h a ʔ u r a k a	ʔ a n d a r u	b ãː		w e r o	b ã h ã		b ãː	b ãː	b ã h ã	w a k a m aa j a	e ɸ a	e ɸ a	a β a	p a g a ɾ	l a ʔ a r u	s a r e j a	b ãː
3_water	ʃ i a t a i	k w a z i	u n i	o k o	o k o	ʃ i m ə n ə	n ɯ x pʰ a kʲʰ o	ʔ uː n i	o k o	t u n a	b a n i a	p i	ⁿd i tː a k e ʔ	o k o	m e r a	oː n i	d e k o	dʒ i r a	b a n i a	b a i d o	b a n i a	p a n i a	p a n i a	uː n i	m eː r aː	p i	m i n	dʒ e	j a k u	m e n	d e h	b ã ʔ	b u j e ʃ e	n i	o kʰ o	i d e	n ɯ h pʰ a kʲʰ o	ɸ a i ʔ u	k aa n d e	ɲ õõ	o k o	j u ʔ	u n i	a k o	m i n i	ɨ t	h oː n i	k a ʔ a	o k o	o k o	d e k o	o k o a	ʔ u n i	o k o	p i	p i	o k o	r i ʔ j a	o k o	o k o	k o	w ɨ i n	h a ɯ n o i	h ɯ n u i	h a ɯ n o i	d ʊ	h uː n i	k u n a	o k o
40_axe	tʃ u ʃ i	p i a l p i n		k õ b ẽ ã	k õ b ẽ ã	ʔ o k b ə ɾ ə	ɯ kʷ aa x i		k õ b ẽ ã	w ɯ w ɯ	z a g a ɾ a	h a tʃ a	oː	h o e k ɨ	s i p a r i	j u k a	k õ b ẽ	a ʃ a	tʃ a ɾ a	z a g a ɾ a	tʃ a ɾ a	tʃ aa ɾ a	tʃ aa ɾ a		s i p aː l i	w a l ɨ m	tʃ a p a e r	h a tʃ a	a tʃ a	tʃ i p a l	b õ b	tʃ ã c	t a t ɕ n i a	h a k l d i gː i	s u ʔ u p o	k õ b ẽ ã	ɯ kʷ aa h i	x ɨ g aa x e	ʔ ɛ ʔ n i ʔ	p ɯː x o	ʔ d ɨ o	a m	tʃ i p aa l i	k õ b ẽ	s i p a r a r i	h ɨ	e p iː tsʰ i	ɲ o a ʔ e	s ɨ̃ ʔ ɨ̃ o	z u ʔ u b o	k õ b ẽ	k õ b ẽ ã	ʔ e p i tʃ i	k õ b ẽ ã	w a l ɨ m	p e ʔ j a	k õ b ẽ ã	a ʃ a	k õ b ẽ ã	k õ b ẽ ã	k õ b ã	p o l u	h a t a	h a t a	tʃ o β e m a	tʰ u tʰ a p	p eː r u	w a ʃ a	k õõ b ẽ ã
41_hammock	aa m a k a	p u z k a l t ɨ t		p ũː g ɨ̃	h ũ ɨ̃	b oː ɾ ə	kʷ aa pʲ e		p ũ ɨ̃	a t a t ɯ	h i ɾ a b a	h a m u k a	m aa g e j	p ã ũ k ɨ	b u	a m a k u	p ũ g ɨ̃	b u	h i ɾ a b o a	h i ɾ a ɓ a	h i ɾ a ɓ u a	m a kʰ a		h a m a k u	b u:		b u	b o ʔ o	a m a k a	b u j o	j a g	b ã ʔ	u x o n j a n ɨ ʃ a	h a m a x a	h ã u ɾ ɨ	h ũ g ɨ̃	kʷ aa j p a	g aa i b a	ʔ i m dʒ i	x o n aa h ĩ	h ã ɨ̃ d ɨ	w e h	a m a k a	p ɨ̃ d õ	b u	k ã n	h a m aa k u	õ kʷ a ʔ	h ã ɨ̃ d ɨ	h ã õ d ɨ	p ũ g ɨ̃	p ã ũ ã		p ũ ɨ̃	m a k a	h a m a k a	p ũ g ɨ̃	b o kʷ a	p ũː g ɨ̃	p ũː g ɨ	p ɨ̃ d õ	h a m a ʔ a	k ɯ n a i	k ɯ n a i	k ɯ n a i	h a m a k	h e t a h i	a m a k a	p ũ g ɨ̃
42_maniocflour	iː n a b i ʃ i			w e t a	d ã h ũ		i x tʲʰ a kʰ o tʃ i xʲ ɯ		p o k a	a r i n a	b e			h ɨ t ɨ r a	m a ts u k u a	m a ʃ u k a	p o ʔ g a	i r u g w a n ʒ e	pʰ o		pʰ o		pʰ o kʰ u ɾ a		m a ts u: k a b e n o	m u lʲ u n k u	b a e n a l			p e t m e t a	tʃ i h	b e k tʃ i		i n ʒ i	h a r i n a p o	d ã h ũ	i h tʲʰ a kʰ o	m a tʃ u g iː x ɨ			ã õ		m a tʃ u k a	p o ʔ k a	n e w ɨ x ɨ b e n a	m a s u c a	p eː g i	kʷ ã d i h õ			p o ʔ g a	d ũ k a		p o k a	p ɨ m p ɨ i	k u ts u	p o ʔ k a		p o k a	p o k a	p o ʔ k a	h o l o	h a ɯ dʒ ɯ tʃ o m a	k o r e	h a ɯ dʒ ɯ tʃ o m a	p ɪ kʰ u r	i t u ʔ u r u		p o k a
43_leaf	b a i n aa	k ɨ h	p a n a pʰ ɛ	p ũː r õ	h ũː r õ	t ə θ ə r ə	ɨ n a ʔ aa m ɨ	ʔ a p a n a	p ũː	a r i	kʰ i t u a	h a k i	k aa	j o k a	p e t o a x u	p a n a p e	p ũ	k ɨ n a t a	kʰ i ɾ u		kʰ i ɾ u	kʰ i ɾ u	kʰ i ɾ u		p e b a x u t o	i ʃ i k	n ɨ a ɸ ɨ t	a z a tʃ ɨ	p a n g a	n o p a t	k æ t	d ɨ̃ w	ts b u a n a tʃ e	k ə l k ẽ	h a ʔ o β a	h ũ	ɯ n a ʔ aa m ɨ	aa m e	n ɨ u	o p aa β i	h a o	e ts	i b a i n a	p ũ	p e b a x ɨ t o	s o n	a p a n a ʔ aa m i	o x o x o	h a ʔ o	h a ʔ o w a	p ũ	p ũ j ũ ã	p a n a p e	p ũː	i ʃ i k	h a p i s u	p ũ r ĩ	k a r k a ʃ a	p ũː	p ũː r o	p a r i	s ɨ a p a n a	r a b e	r a b e	r a b e	kʰ ɪ ɾ	w i tʃ u ʔ u pʰ e	j a r e	p ũː
44_treeleaf		t ɨ			j u k ɨ		ɨ n a ʔ aa m ɨ		j u k ɨ	β e β e a r i	kʰ i d u a	h a k i	k a k aa	h o k ɨ j o k a	n o x u t o	h a i k o	j u k ɨ g ɨ	k ɨ n a t a	kʰ i d u a	kʰ e t u a	kʰ i d u a	kʰ i t u a	kʰ i t u a		n a e b a x u t o	t u ɕ	n e ɸ ɨ t	k ə n	p a n g a	n o p a t n e		b ã	ts b u a n a tʃ e	k ə l d i x ã i	s ũ kʰ i	j u k ɨ	ɯ m e ʔ e ʔ aa m ɨ	ɨ m o ʔ o	j ɨː g n a t	o p aa β i		ɸ t ũː	a i k u	j u k ɨ g ɨ	p e k u a n a	p u n	a p a n a ʔ aa m i	o x o x o	h a ʔ o	s ũ k i	j u k ɨ g ɨ	j a p u p ũ j ũ ã		j u k ɨ	t u ɕ i ʃ i k	ts i d e	p ũ r ĩ	k a r k a ʃ a	p ũː	j u k ɨ g ɨ	j u k ɨ k ɨ	s ɨ p a n a	iː b e	i b e	r a b e	kʰ ɪ ɾ	a ʔ a w a n a	w e tʃ a p a n e	j u k ɨ g ɨ
45_ant	k eː ʃ i	i m		b ẽ k ã b ɨ̃	b ẽ k ã h i a b ɨ̃	k u m a n ə	pʰ iː mʲ e p a		b ẽ k ã b ɨ̃	j a k a u	p i ts u m a	p u n a	ⁿg a i w a ʔ	b ẽ ã k ɨ	n e b ɨ	k a i w i r i	b ẽ g ã	i n d i a	kʰ a b u r	kʰ a pʰ ɨ p ɨ d ɨ	tʰ ã	kʰ a pʰ a tʰ ɨ	tʰ ã a	k a u i r i	p ɨ b ɨ t o	a j a n	ɸ a o e t	i s ɨ	a ɲ a n g u	i h n i t	t ɔ k ɔ h	h õ j	x u a n a	i s a	m e kʰ a	b ẽ k ã b ɨ̃		ɸ iː m o	h õ ĩ	a m̥ õõ x o	b ẽ ã	kʰ ã ʔ kʰ ã	k eː s i	b ẽ k ã s i ɨ̃	n e b ɨ t o	a ɨ	p iː m e	n i ɲ o		m ẽ ã	p ũ t ĩ r ã b ɨ̃	b ẽ k a k a		b ẽ k ã b ɨ̃	a k i n	ts e r i n	b ẽ k ã w ɨ̃	b a t a r a	b ẽ k ã w ɨ̃	b ẽ k ã b ɨ̃	b ã tʃ ɨ̃ i r o	h e j uː	r a k ɯ ŋ o	r a k ɯ ɲ o	r a k ɯ ŋ o	kʰ i e r m a tʃ m i e	k u x w e n a	ʃ ɨ t a k o	b ẽ k ã
46_bone	j aa h i	tʃ ɨ h	i j a p i	õ ã	g õ ã r o	k a ɾ a ɾ ə	p a x kʰ ɯː	ʔ i a p i	õ w ã r õ	i j e t i h ɯ	b ɨ w ɨ r ɨ	t a k u	k i kː ɾ a	k ũ ã j o	p i w a	n o a p i	g õ ʔ ã	k ɨ k ɨ r a	b ɨ ɾ ɨ	ɓ ɨ w ɨ ɾ ɨ	ɓ ɨ ɾ ɨ	h u e s o	b ɨː ɾ ɨ	j aa p i	p e s iː t o	ts u ts i k	p e h	w e s u	t u lʲ u	p e tʃ i t	k æ g	ʔ i d i p + d ã ʔ	b e t a b x a	z ə l d a x ə l d ə	tʰ a r a p ɨ	g õ ã	i ʔ p a h kʰ ɯː	b a kː ɨ	m i k w ɛ̃ p a t	ɲ õ ʔ õõ ʔ k o β o	t a d a b ɨ	dʲ i ʔ t	w aa p i + w aa p i	k õ ʔ ã	p e p i h i b o	u t	aa p i	p ã ĩ h õ t e	t a d a p ɨ	g õ ʔ ã b ɨ	g õ ʔ ã	ũ ʔ ã	ɲ ãː p ĩ h	õ w ã ɾ õ	ts u ts i k	ts i d e	õ ʔ ã	k a r a r a	k õ ã	õ ã	k õ ʔ ã	w e i p ɨ s e	i k u r u	i dʒ a i k ɯ	i k u r u	p a	w e pʰ i n a	j o p o	k õ ã
47_liver	tʃ aa l iː d eː	ɲ a n t u n u l		j ẽ b ẽ d i t i	j ẽ b ẽ r ĩ t i		kʷ a n eː n e	ʔ i u p a n a	j ẽ b ẽ r i t i	e r e r i	tʰ ɾ a i	a h p a	k aa w i ʔ	p e d ĩ b o	p e h a p a t o	n o ts o p a n a	j ẽ ʔ b ẽ	a n ʒ b i t a	tʰ ã r ĩ	tʰ ã r ĩ	tʰ ã r ĩ	tʰ ã ɾ ĩ	tʰ ã r ĩ	u a k a l i p i d a	p i h a p a t o	j a l ɨ	p e h	h i g ɾ u	s u n g u	p i a p a t		d ẽ b + d a ʔ	b e k o tʃ k a	ə bː i t ə	dʒ e m e p ɨ	j ẽ b ẽ r ĩ t ĩ	i ʔ kʷ a n eː	i g a n o	tʃ a l u	ɸ a ʔ ɯ̃ː x o	d ẽ b ẽ b ɨ	m e ʔ k j	w a u b a n a	j ã ʔ b ã	p i h a p a t o	m o + n a m o t	o p aa n u		s e m ẽ	z ẽ m ẽ b ɨ	j ẽ ʔ b ẽ	k a ʔ s i a	p i β i t e p e	j ẽ b ẽ r i t i	j a l ɨ m a ɕ	h a k e	j ẽ ʔ b ẽ t u r i	k u ʔ k u b a	j ẽ b ẽ t u t i	j ẽ b ẽ r i t iː	j ẽ ʔ b ẽ	s p a n a	b a n o i	b a n o i	b a n o h ɯ	h ə	p a n a h i	ɨ t o ɾ e	j ẽ b ẽ t u t i
48_island	w o w a i			d ɨ̃ k ɨ̃ r õ	j u t i o j o a	a j g k o k b a ɾ i n ə	kʰ aa pʰ a ʔ o		j u k ɨ	a m o t a r ɯ	d o d u	i ʃ l a		h i a w ɨ	p e t u n a e t o	k a d o n o l i	d ɨ̃ g ɨ̃ r õ		d o	d o	d o	t o	t o	k eː u e r e	p e t u: n a e t o		t a n a e t				p o d	k e w a			h uː p o	r u h a j o g a	tʰ o kʷ aa	tʃ u g a i		oː ʔ ʃ o n̥ a	h u d i b ɨ	ĩ kʰ	i w a w a t a	d ɨ̃ k ɨ̃ õ	p e t u n e t o	i p õ m	t e tʲ o i	õ g u x u	s a o d o w ɨ	h u b o	d ɨ̃ g ɨ̃ r õ	h u b ũ r i k a		j u k ɨ̃		p i s a	d ɨ̃ k ɨ̃ r õ	r i ʔ t a s a r a	d ɨ̃ k ɨ̃ r õ	j u k ɨ	d ɨ̃ k õ		u i a θ i	m a i dʒ o k ɯ	u i a t i	d ʊ	p a r a n a k u w a		d ɨ̃ k ɨ̃ː r õ
49_whitelippedpeccary				j e h e	h ã r ã		m ɨ n eː p e		j e s e	w o t o	bʰ i ɗ o	n eː tʲ u ʃ u		ɨ r a w ɨ k a k ɨ	h a b ts a	aa p i j a	j e s e	p a k i r a	b i d o	p i ɗ o		p i d o	p i d o	a m p i a	h aː b ɨː ts a		ʔ a t i t			a tʃ i p	t ɔ h	b ɨ̃			dʒ a ʔ o + s ẽ s e	j e s e	m eː n i	ɸ aa ɸ a i b a		n a n̥ õõ p a	s ẽ s e		a p i tʃ a	j e s e		d e	a n̥ e β iː d o g i	h a m o h a m o l i	s ẽ s e	s ẽ s e	j e s e	h ẽ h ẽ ã		j e h e		m e l e	j e s e + s i t i g ɨ		j e s e	j e h e	j e s e		e i m o	e i m o	e i m o	b eː r	a p i j e		j e s e s u s u r a
4_agouti		k u k u m		b uː	b uː		p ɨ r ɯ m ɯ x ɨ		b uː	a k u r i	kʰ u ɾ i w a	k u j u	ᵐb u n t i ʔ	b u ɨ	b ɨ n	p uː t o	b u i	u s k i	kʰ u ɾ i h i a	kʰ u ɾ i w a	kʰ u ɾ i h i a	kʰ u ɾ i a	kʰ u ɾ i h i w a	p iː ts i	b ɨ n ɨ		b ɨ l	o t i k i		b ɨ n		b ɨ̃ ʔ	e n ts o j e ɕ e	m i h a i	β ɨː	b u	pʰ a h tʰ ɯ	ɸ a t ɨ		m õõ n o		ɲ u ʔ p j	p iː s i	b uː	b ɨ n ɨ		pʰ iː ʔ ts i	u ʔ w i	w ɨ	w ɨ	b u i	b u i a		b uː		k u r u	b u		b uː	b uː	b u		ɸ ɯː d o	m ɯ g u i	m ɯ g u i	i tʃ kʰ u m	p i tʃ i	k a s a r e	b uː
