Cognate_ID,aromanian,barbaniapiemontese,bellunesevenetian,campidanese,carmagnolapiemontese,carpigianoemiliano,castellodelaplanacatalan,castilianspanish,cataniansicilian,centralcatalan,dalmatian,fassanoladin,ferrareseemiliano,friulian,gardeneseladin,genoeseligurian,grossetoitalian,istroromanian,lanzotorinesepiemontese,logudorese,manisescatalan,meglenoromanian,messinesesicilian,minorcancatalan,neapolitan,northwesterncatalan,palermitansicilian,primierovenetian,provencaloccitan,rapalloligurian,ravennateromagnol,reggianoemiliano,romanian,rumantschgrischun,southeasternsicilian,standarditalian,stellaligurian,surmiranromansh,sursilvanromansh,valenciancatalan,valladerromansh,venicevenetian,vercellesepiemontese
52_many,m ˈu l t + u,ə ŋ + m ˈy tʃ,t ˈa ŋ t + i,m ˈe ð a,t ˈa ŋ t + i,t a n t,m o lˠ t,m ˈu tʃ + o,a sː ˈa + i,m o lˠ,m w a l t,t r o p,p a r ˈɛ tʃ,t a n tʲ,t r w e p,i ŋ + m ˈu dʒː + u,t ˈa n t + o,tʃ ˈu d a,t ˈa ŋ t,m ˈe d + a s,m o lˠ t,m u l t,a sː ˈa + i,m o lˠ t,a sː ˈa j + ə,m o lˠ,a sː ˈa + i,t ˈa ŋ t + i,f ˈɔ ɾ s + o,m ˈu dʒː + u,u n + m ˈo w n t,t aː n t,m u l t,b l e r,a sː ˈa + i,m ˈo l t + o,d i + b ˈæ l + i,b l e r,b j a,m o lˠ t,b l e r,t ˈa ŋ t + i,a ŋ + m ˈy tʃ
53_meat,k ˈa r n + e,k a r n,k ˈa r n + e,p ˈɛ tːs + a,k a r n,k ˈɛ r n + a,k a ɾ n,k ˈa ɾ n + e,k ˈa ɾ n + i,k a ɾ n,k ˈw o r n + o,tɕ ˈɛ r n,k ˈa r a n,tʲ a r,tɕ ə r n,k ˈa r n + e,k ˈa r n + e,k ˈɒ r n + e,k a r n,p ˈe tːs + a,k a ɾ n,k ˈa r n + i,k ˈa nː + i,k a ɾ n,k ˈa r n + ə,k a ɾ n,k ˈa ɾ n + i,k ˈa r n + e,v ˈj a n d + e,k ˈa r n + e,k ˈe a r n + a,k ˈɛː r n + a,k ˈa r n + e,tɕ a r n,k ˈa ɾ n + i,k ˈa r n + e,k ˈaː r n + e,tʲ ˈɛ r n,k a r n,k a ɾ n,tɕ a r n,k ˈa r n + e,k ˈa r n + e
54_moon,l ˈu n + ə,l ˈy ŋ + a,l ˈu n + a,l ˈu n + a,l ˈy ŋ + a,l ˈu n + a,ʎ ˈu n + a,l ˈu n + a,l ˈu n + a,ʎ ˈu n + ə,l ˈo j n + a,l ˈu n + a,l ˈu n + a,l ˈu n + e,l ˈu n + a,l ˈy ŋː + a,l ˈu n + a,l ˈu r + ˈæ,l ˈy ŋ + a,l ˈu n + a,ʎ ˈu n + a,l ˈu n + ə,l ˈu n + a,ʎ ˈu n + ə,l ˈu n + ə,ʎ ˈu n + ˈɛ,l ˈu n + a,l ˈu n + a,l ˈy n + o,l ˈy ŋː + a,l ˈo w n + a,l ˈuː n + a,l ˈu n + ə,ʎ ˈi n + ə,l ˈu n + a,l ˈu n + a,l ˈyː ŋː + a,ʎ ˈi ɲ + ə,ʎ ˈi n + ə,ʎ ˈu n + a,ʎ ˈy n + ə,l ˈu n + a,l ˈy ŋ + a
55_mountain,m ˈu n t + e,m u ŋ t,m o ŋ t + ˈa ɲ + a,m ˈɔ n t + i,m u ŋ t + ˈa ɲ + a,m u n t + ˈa ɲ + a,m u n t + ˈa ɲ + a,m o n t + ˈa ɲ + a,m u n t + ˈa ɲː + a,m u n t + ˈa ɲ + ə,m w a n t,k r ˈe p + a,m u n t + ˈa ɲ + a,m ˈɔ n t,k r ə p,b r ˈi kː + u,m o n t + ˈa ɲː + a,k ˈo d r + u,m u ŋ t + ˈa ɲ + a,m ˈo n t + e,m u n t + ˈa ɲ + a,m ˈu n t + i,m ˈu n t + i,m u n t + ˈa ɲ + ə,m u n t + ˈa ɲː + ə,m u n t + ˈa ɲ + ˈɛ,m u n t + ˈa ɲː + a,m o ŋ t + ˈa ɲ + a,m u n t + ˈa ɲ + o,m u n t + ˈa ɲ + a,m o w n t,m u n t + ˈaː ɲ + a,m ˈu n t + e,m u n t + ˈo ɲ + ə,m u n t + ˈa ɲː + a,m o n t + ˈa ɲː + a,b r ˈi kː + u,m u n t + ˈo ɲ + ə,k w ˈɔ l m,m u n t + ˈa ɲ + a,m u n t + ˈo ɲ + ə,m o ŋ t + ˈa ɲ + a,m u ŋ t + ˈaː ɲ + a
56_mouth,ɡ ˈu r + ə,b ˈu k + a,b ˈo k + a,b ˈu kː + a,b ˈu k + a,b ˈɔ k + a,b ˈo k + a,b ˈo k + a,v ˈu kː + a,b ˈo k + ə,b w a k,b ˈo tʃ + a,b ˈɔ k + a,b ˈɔ tʲ + e,b ˈo tʃ + a,b ˈu kː + a,b ˈo kː + a,ɡ ˈu r + ˈæ,b ˈu k + a,v ˈu kː + a,b ˈo k + a,r o s t,b ˈu kː + a,b ˈo k + ə,v ˈo kː + ə,b ˈo k + ˈɛ,v ˈu kː + a,b ˈo k + a,b ˈu k + o,b ˈu kː + a,b ˈo k + a,b ˈɔ k + a,ɡ ˈu r + ə,b ˈu k + ə,v ˈu kː + a,b ˈo kː + a,b ˈu kː + a,b ˈu k + ə,b ˈu k + ə,b ˈo k + a,b ˈɔ k + ə,b ˈo k + a,b ˈu k + a
57_name,n ˈu m + ə,n ˈɔ m,n ˈɔ m + e,n ˈɔ m i n + i,n ˈɔ m,n ˈɔ m,n ˈɔ m,n ˈo m b ɾ + e,n ˈɔ m + u,n ˈɔ m,n a w ŋ,i n ˈo m,n o m,n ˈɔ ŋ,i n ˈw e m,n ˈu mː + e,n ˈo m + e,l ˈu m e,n ˈɔ m,l ˈu mː e n + e,n ˈɔ m,n ˈu m + i,n ˈu m + i,n ˈɔ m,n ˈɔ mː + ə,n ˈɔ m,n ˈw ˈɔ m + u,n ˈɔ m + e,n u m,n ˈu mː + e,n o m,n ˈɔ m,n ˈu m + e,n u m,n ˈɔ m + i,n ˈo m + e,n ˈu mː + e,n o m,n u m,n ˈɔ m,n o m,n ˈɔ m + e,n ɔː m
58_neck,ɡ ˈu ʃ + e,k ˈɔ l,k ˈɔ l,ts ˈu ɣ + u,k ˈɔ l,k ɔː l,k ˈɔ ʎ,k ˈw e ʎ + o,k ˈɔ ɖː + u,k ˈɔ ʎ,k w a l,k ˈɔ l,k ˈɔ l,k w ˈɛ l,k ˈɔ l,k ˈœ lː + u,k ˈɔ lː + o,tʃ e r b ˈi tʃ + e,k ˈɔ l,k ˈo ɖː + u,k ˈɔ ʎ,ɡ ˈu ʃ + ə,k ˈɔ ɖː + u,k ˈɔ j,k ˈw o lː + ə,k ˈɔ ʎ,k ˈw ˈɔ ɖː + u,k ˈɔ l,k ˈɔ w,k ˈɔ lː + u,k ˈɔ l,k ɔː l,ɡ ɨ t,k u l + ˈj e ts,k ˈw ˈɔ ɖː + u,k ˈɔ lː + o,k ˈoː lː + u,k u l + ˈj e ts,k u l + ˈj e ts,k ˈɔ ʎ,k u l + ˈœ ts,k ˈɔ e v + o,k ˈɔ l
59_new,n o w,n œ v,n ˈo v + o,n o w,n œ w,n oː v,n ˈɔ w,n ˈw e β + o,n ˈɔ v + u,n ˈɔ w,n u f,n e f,n o v,ɲ uː f,n w e f,n ˈœ v + u,n ˈɔ v + o,n o v,n œ v,n ˈo v + u,n ˈɔ w,n o w,n ˈɔ v + u,n ˈɔ w,n ˈw o v + ə,n ˈɔ w,n ˈw ˈɔ v + u,n ˈɔ w,n u v ˈɛ w,n ˈœː v + u,n ˈɔ a v,n oː v,n o w,n o f,n ˈɔ v + u,n ˈw ˈɔ v + o,n ˈœː v + u,n o f,n ˈɛ j f,n ˈɔ w,n o w f,n ˈo v + o,n œ f
5_big,m ˈa r + e,ɡ r ˈɔ s,ɡ r a ŋ t,m ˈa nː + u,ɡ r a ŋ d,ɡ r ɔː s,ɡ ɾ a n,ɡ ɾ ˈa n d + e,ɾ ˈa nː + i,ɡ ɾ a n,m a w r,ɡ r a n,ɡ r a n d,ɡ r a n t,ɡ r a n t,ɡ r ˈœ sː + u,ɡ r ˈɔ sː + o,m ˈɒ r + e,ɡ r a ŋ d,m ˈa nː + u,ɡ ɾ a n,m ˈa r + i,ɾ ˈɔ sː + u,ɡ ɾ ˈɔ s,r ˈw o sː + ə,ɡ ɾ a n,ɾ ˈa nː + i,ɡ r a ŋ t,ɡ ɾ a n t,ɡ r ˈɔ sː + u,ɡ r ˈã n d,ɡ r aː n d,m ˈa r + e,ɡ r ˈɔ n t,ɾ ˈa nː + i,ɡ r ˈa n d + e,ɡ r ˈɔː sː + u,ɡ r ˈɔ n t,ɡ r ˈɔ n t,ɡ ɾ a n,ɡ r ˈɔ n t,ɡ r ˈa ŋ d + o,ɡ r ɔː s
60_night,n ˈo̯a p t + e,n œ j t,n ˈɔ t,n ˈɔ tː + i,n œ j t,n ɔː t,n i t,n ˈo tʃ + e,n ˈɔ tː + i,n i t,n w a t,n e t,n ˈɔ t,ɲ ˈɔ t,n w e t,n ˈœ tː + e,n ˈɔ t + e,n ˈo p t + e,n œ j t,n ˈo tː + e,n i t,n ˈo̯a p t + i,n ˈu tː + i,n i t,n ˈɔ tː + ə,n i t,n ˈw ˈɔ tː + i,n ˈɔ t,n ɥ e,n ˈœ tː + e,n ˈɔ t + a,n ɔː t,n ˈo v a p t + e,n o tɕ,n ˈɔ tː + i,n ˈɔ tː + e,n ˈœ tːʃ + e,n o tʲ,n o tɕ,n i t,n o t,n ˈɔ t + e,n œ tʃ
61_nose,n ˈa r + e,n a s,n a s,n ˈa z + u,n a z,n ˈɛː z,n a s,n a ɾ ˈi θ,n ˈa s + u,n a s,n w o s,n ˈɛ s,n a s,n aː s,n ˈɛ s,n ˈa z + u,n ˈa s + o,n ɒ s,n a s,n ˈa s + u,n a s,n a s,n ˈa s + k + a,n a s,n ˈa s + ə,n a s,n ˈa s + u,n a s,n a s,n ˈa z + u,n e a z,n ˈɛː s,n a s,n a s,n ˈa s + u,n ˈa s + o,n ˈaː z + u,n a s,n a s,n a s,n a s,n ˈa z + o,n a s
62_not,n u,n ˈɛ ŋ,n o,n ˈɔ,n ˈɛ ŋ,n ˈɔ,n o,n o,n ˈɔ,n o,n o ŋ,n o,b r ˈi z a,n ˈɔ,n e + n ˈia,n u,u n,n u,n ˈɛ ŋ,n o n,n o,n u,n ˈɔ,n o,n u n,n o,n ˈɔ,n o,n u ŋ,n u,n,m ˈia,n u,b e tɕ,n u n,n o n,n ˈɛ,b e tʲ,b u k,n o,n u,n o,n eː ŋ
63_one,ˈu n + u,y ŋ,ˈu n + o,ˈu n + u,y ŋ,u n,u n,u n,ˈu n + u,u n,j o j ŋ,u ŋ,u n,u ŋ,u ŋ,u ŋ,ˈu n + o,u r,y ŋ,ˈu n + u,u n,u n,ˈu n + u,u n,ˈu n + ə,u n,ˈu n + u,u ŋ,y ŋ,y ŋ,o w n,uː n,u n,e n,ˈu n + u,ˈu n + o,yː ŋ,e n,i n,u n,y n,ˈu n + o,j y ŋ
64_person,ˈo m + u,ˈɔ m,ˈɔ m,ˈo mː + i n + i,ˈɔ m,ˈɔ m,ˈɔ m e,ˈo m b ɾ + e,k ɾ i s t j ˈa n + u,ˈɔ m ə,o m,o m,s t j a n,ˈɔ m,ˈw ˈɔ m o,ˈɔ mː + u,ˈɔ m + o,o m,ˈɔ m,ˈo mː + i n + e,ˈɔ m e,w o m,k ɾ ɨ s t j ˈa n + u,ˈɔ m u,k r ə s t ˈj a n + ə,ˈɔ m e,k ɾ i ʃ t j ˈa n + u,ˈɔ m,ˈɔ m e,ˈɔ mː + u,s tʃ ˈã n,o m,o m,k ə r ʃ tɕ ˈa w n,k ɾ i ʃ t j ˈa n + u,ˈw ˈɔ m + o,k r i s t ˈj a ŋ,k ə r ʃ tʲ ˈa ŋ,k ə r ʃ tɕ ˈa w n,ˈɔ m e,u m + ˈa n,ˈɔ m + o,ˈoː m + a ŋ
65_rain,p l ˈo̯a j + e,p ˈj œ v + a,p ˈj o v + a,ˈa bː + a,p ˈj œ v + a,p ˈj o v + a,p lˠ ˈu dʒ + a,ʎ ˈu β j + a,k j u v + ˈu t + a,p lˠ ˈu ʒ + ə,p l o v a j + a,p ˈj e v j + a,p ˈj ˈɔ v + a,p l ˈɔ j + e,p l ˈw e j + a,ˈæ ɡ w + a,p ˈj ˈɔ dʒː + a,p l ˈo j + e,p ˈj œ v + a,p r ˈo ɡ + i d + a,p lˠ ˈu tʃ + a,p l ˈo̯a j + ə,k j u v + ˈu t + a,p lˠ ˈu ʒ + ə,k ˈj ˈɔ dʒː + ə,p lˠ ˈu ʒ + ˈɛ,ˈa kː w + a,p ˈj o v + a,p l ˈɥ ˈɛ j + o,p ˈu j + a,p ˈj u v + a,ˈaː k v + a,p l ˈo v a j + e,p l ˈj ˈɛ v dʒ + ə,ˈa kː w + a,p ˈj ˈɔ dʒː + a,ˈæː ɡ w + a,p l ˈj ˈɛ v dʒ + ə,p l ˈj ˈɛ v dʒ + ə,p lˠ ˈu tʃ + a,p l ˈœ v dʒ + ə,p ˈj ˈɔ v + a,p ˈj ˈɔ v + a
66_red,a r ˈo ʃ + u,r u s,r o s,a rː ˈu b j + u,r u s,r ˈɔ s,r ˈɔ tʃ,r ˈo x + o,rː ˈu sː + u,b ə ɾ m ˈɛ ʎ,r a w s,k ˈe tʃ e ŋ,r o s,r ˈɔ s,k ˈw e tʃ u ŋ,r ˈu sː + u,r ˈo sː + o,r ˈo j s + u,r u s,r ˈu v j + u,r ˈɔ tʃ,r o ʃ,rː ˈu sː + u,v ə ɾ m ˈɛ j,r ˈu sː + ə,r ˈɔ tʃ,ʐ ˈu sː + u,r o s,ʁ ˈu dʒ + e,r ˈu ʒ + u,r o z,r ˈɔ s,r ˈo ʃ + u,k ˈo tʃ ə n,ʐ ˈu sː + u,r ˈo sː + o,r ˈu sː + u,k ˈo tʃ ə n,tɕ ˈj e tʃ ə n,r ˈɔ tʃ,k ˈo tʃ ə n,r ˈo s + o,r u s
67_road,k ˈa l + e,s t r a,s t r ˈa ð + a,a rː ˈu ɣ + a,s t r a,s t r ˈɛ d + a,k a m ˈi,k a m ˈi n + o,ʂ ɽ ˈa t + a,k ə m ˈi,k a l,ʃ t r ˈɛ d + a,s t r ˈa d + a,s t r ˈa d + e,ʃ t r ˈɛ d + a,s t r ˈa dː + a,s t r ˈa d + a,k ˈɒ l + e,s t r a,i s t r ˈa d + a,k a m ˈi,d r u m,ʂ ɽ ˈa t + a,k ə m ˈi,s t ˈr a t + ə,k a m ˈi,ʂ ɽ ˈa t + a,s t r ˈa ð + a,k a m ˈi ŋ,s t r ˈa dː + a,s t r e a,s t r ˈɛː d + a,d r u m,v ˈi + ə,ʂ ɽ ˈa t + a,s t r ˈa d + a,ʃ t r ˈɔ,v ˈe j + ə,v ˈi + ə,k a m ˈi,v ˈi + ə,s t r ˈa d + a,s t r a
68_root,a r ə d ə ts + ˈi n + ə,r ˈɛ j s,r a ð ˈi z + a,a rː ˈe ʒ i n + i,r ˈɛ j z,r a iː z,a r ˈɛ lˠ,r a ˈi θ,rː ˈa d i k + a,ə r ˈe lˠ,r a d ˈa j k + a,r e j ʃ,r a d + ˈi s,l i d r ˈiː s,r a v ˈi z + a,r ˈe j ʒ + a,b ˈa r b + a,k ˈo r e n,r ˈɛ j s,r a j ɡ ˈi n + a,r a ˈi lˠ,k ˈo r i n,rː ˈa d i k + a,r ˈɛ lˠ,r ˈa ɾ ə k + ə,a r ˈe lˠ,ʐ ˈa ɾ i k + a,r ˈa ð i s,ʁ a s ˈi n + o,r a d ˈi tʃ + i,r a d ˈi z + a,j a r ˈiː s + a,r ə d ə tʃ ˈi n + ə,r ə dʒ ˈi ʃ,ʐ ˈa ɾ i k + a,r a d ˈi tʃ + e,r ˈæ j ʒ + e,r ˈɛ j ʃ,r ə dʒ ˈi ʃ,a r ˈɛ lˠ,r ə dʒ ˈi ʃ,r a ˈi z + a,r a d ˈiː s
69_round,ɡ u r ɡ u ʎ + ˈe̯a t + u,r u t ˈu ŋ d,t ˈo ŋ d + o,t ˈu n d + u,r u t ˈu ŋ d,r o t ˈɔ n d,r e ð ˈo,r e ð ˈo n ð + o,t ˈu nː + u,r u ð ˈo,,t o r ˈo n,t o n d,t a r ˈɔ n t,t u r ˈo n t,r ˈj u ŋ d + u,t ˈo n d + o,t o n d,r u t ˈu ŋ d,t ˈu n d + u,r e ð ˈo,ɡ u r ɡ u ʎ + a t,t ˈu nː + u,r ə ð ˈo,t ˈu nː + ə,r o ð ˈo,t ˈu nː + u,t ˈo ŋ d + o,ʁ e d ˈu ŋ,r ˈj u ŋ d + u,t o n d,a r d ˈɔ n d,r o t ˈu n d,r ə d ˈu n t,t ˈu nː + u,r o t ˈo n d + o,r ˈj u ŋ d + u,r ə d ˈɔ n t,r ə d ˈu n t,r e ð ˈo,r ə d ˈw ˈɔ n t,t ˈo ŋ d + o,r u t ˈoː ŋ t
6_bird,p ˈu ʎ + u,u z ˈɛ l,o z ˈɛ l,p i lː ˈɔ n + i,u z ˈɛ l,u z ˈɛː l,p a ɾ ð ˈa lˠ,p ˈa x a ɾ + o,a tʃ ˈɛ ɖː + u,u s ˈe ʎ,u tʃ ˈu l,u tʃ ˈe l,u z ˈɛ l,u tʃ ˈɛ l,u tʃ ˈe l,a w ʒ ˈe lː + u,u tːʃ ˈɛ lː + o,p u ʎ,u z ˈɛ l,p u dz ˈo n + e,p a ɾ ð ˈa lˠ,p u ʎ,a tʃ ˈi ɖː + u,p ə ɾ ð ˈa lˠ,a w ʃ ˈj e lː + ə,m i ʃ + ˈo,a tʃ ˈj ˈɛ ɖː + u,u z ˈɛ l,a w s ˈɛ w,ˈɔ w ʒ ˈe lː + u,u z ˈɛ a v l,u z ˈɛ l,p ˈa s ə r + e,u tʃ ˈɛ,a w tʃ ˈj ˈɛ ɖː + u,u tːʃ ˈɛ lː + o,ɔː w ʒ + ˈeː,u tʃ ˈe l,u tʃ ˈi,p a ɾ ð ˈa lˠ,u tʃ ˈɛ,o z ˈɛ + o,y z ˈɛ l
70_sand,a r ˈi n + ə,s ˈa b j + a,s ˈa b j + a,a r ˈɛ n + a,s ˈa b j + a,s ˈa b j + a,a ɾ ˈe n + a,a ɾ ˈe n + a,rː ˈi n + a,s ˈo r + ə,s a l b ˈw o ŋ,s ao l ˈo ŋ,s ˈaː b j + a,s a v a l ˈɔ ŋ,s a b l ˈo ŋ,ˈæ ŋː + a,r ˈe n + a,s a l b ˈu n,s ˈa b j + a,r e n + a,a ɾ ˈe n + a,p i s ˈo k,rː ˈi n + a,ə ɾ ˈɛ n + ə,r ˈe n + a,a ɾ ˈe n + ˈɛ,ʐ ˈi n + a,s ˈa b j + a,s ˈa b l + o,s ˈa bː j + a,s a b ˈj o w n,s ˈa b j + a,n i s ˈi p,s ə b l ˈu n,ʐ ˈi n + a,s ˈa bː j + a,s ˈaː bː j + a,s ə v l ˈu ŋ,s ə b l ˈu n,a ɾ ˈe n + a,s ə b l ˈu n,s ˈa b j + a,s ˈa b j + a
71_say,dz ˈɨ k + u,d i,d i + r,n a j,d i,d iː + r,d i + ɾ,d e θ + ˈi + ɾ,d ˈi + ɾ i,d i,d ˈe k + r o,d i + r,d i + r,d iː,d i,d i,d i,z ˈi tʃ + e,d i,n ˈa rː + e + r e,d i + ɾ,z i k,d ˈi + ɾ ɨ,d i,d ˈi ʃ + ə + r ə,d i,ɾ ˈi + ɾ i,d i + r,d ˈi + ɾ e,d i,d i,d iː + r,a + z ˈi tʃ + e,d i + r,ɾ ˈi + ɾ i,d ˈi + r e,d i,d ˈɛ k + r,d i + r,d i + ɾ,d i + r,d i + r,d iː
72_see,v ˈe d + u,v ˈə d + e,v ˈe ð + e r,b ˈi + r i,v ˈə d + e,v ˈɛ d + e r,v ˈɛ w + ɾ e,b e + ɾ,v ˈi d + i + ɾ i,b ˈɛ w + ɾ ə,v e d + ˈa r,v e d + ˈe r,v ˈɛ d + a r,v ˈj ˈɔ d + i,u d + ˈə j,v ˈe dː + e,v e d + ˈe + r e,v e d + ˈæ,v ˈə d + i,b ˈi + e + r e,v ˈo + ɾ e,v e t,v ˈi d + ɨ + ɾ ɨ,v ˈɛ w + ɾ ə,v ə ɾ + ˈɛ,b ˈɛ w + ɾ e,v ˈi ɾ + i + ɾ i,v ˈe ð + e r,v ˈɛ j + ɾ e,v ˈe dː + e,v d + eː,v ˈɛ d + e r,a + v e d + ˈe v a,v ə z + ˈa j r,v ˈi ʐ + i,v e d + ˈe + r e,v j ˈɛ j,v ˈɛ k + r,v ə z + ˈe r,v ˈo + ɾ e,v ə ts + ˈe r,v ˈɛ d + e + r,v ˈœ ɡ + i
73_seed,s i m ˈi n ts + ə,s m ˈɛ n s,s e m + ˈɛ ŋ θ + a,s ˈɛ mː + i n + i,s m e n z,s e m + ˈɛ j n s + a,ʎ a v ˈo ɾ,s e m + ˈi ʎ + a,s i m + ˈɛ n ts + a,ʎ ə β ˈo,s e m ˈj a n ts,s ə m + ˈe n ts + a,s m + ˈɛ n t,s e m + ˈɛ n tʃ + e,s u m + ˈə n ts + a,s ˈe mː + e,s ˈe m + e,s e m ˈi n ts + ˈæ,s m ˈɛ n s,s ˈe mː + e n + e,ʎ a β ˈo ɾ,s i m ˈi n ts + ə,s i m + ˈɛ n ts + a,ʎ ə v ˈo,s ə mː + ˈɛ n t + ə,ʎ a β ˈo,s i m + ˈj ˈɛ n ts + a,s e m,ɡ ɾ ˈa n + o,s ˈe m + i,s m + ˈẽ n t + a,s m + ˈɛ j n s + a,s ə m ˈɨ n ts + ə,s e m,s i m + ˈɛ n ts + a,s ˈe m + e,s e m + ˈæː ŋ ts + a,s e m,s e m,ʎ a β ˈo ɾ,s e m,s ˈe m + e,s a m n + ˈɛ
74_sit,ʃ ˈe d + u,s t + ˈe + s ˈɛ t + ˈa,s e ŋ t + ˈa + r + s e + d o,s ˈɛ tːs + i,s t ˈe + s e,s ˈe d + e r,s ˈɛ w + ɾ e,e s t + ˈa + ɾ + s e n t + ˈa ð + o,a + sː i tː + ˈa + ɾ i + s i,s ˈɛ w + ɾ ə,s e d + ˈw o r,ˈe s + e r + s e n t + ˈa,s a n t + ˈa r + a s,s t aː + s e n t ˈaː t,v ˈe ʃ t + ə r + s ə n t + ˈa,ˈeː s e + s e t + ˈɔ w,s ˈj ˈɛ d + e,ʃ e d + ˈæ,s t + ˈe,s ˈe d + e + r e,e s t + ˈa + ɾ + a + s e n t + ˈa + t,s o t,s ɨ tː + ˈa + ɾ ɨ + s ɨ,s ˈɛ w + ɾ ə,s t + ˈa + a + sː ə tː + ˈa t + ə,s ˈɛ w + ɾ e,a + sː i tː + ˈa + ɾ i + s i,s e ŋ t + ˈa + r + s e,ˈɛ s t + ɾ e + a + s e t + ˈa,s e tː + ˈa + s e,z d + eː,s ˈeː d + e r,a + ʃ e d + ˈe v a,s ˈe s + ə r,a + sː i tː + ˈa + ɾ i + s i,s e d + ˈe + r e,s e t + ˈɛ,tʃ ə n t + ˈa r,s ˈe s + ə r,s ˈɛ w + ɾ e,s ˈɛ ts + ə r,s e ŋ t + ˈa + r + s e,s a t ˈɛ + s i
75_skin,tʲ ˈe̯a l + e,p ˈɛ l,p ˈɛ l,p ˈɛ dː + i,p ˈɛ l,p ˈɛ l + a,p e ʎ,p j e l,p ˈɛ ɖː + i,p e ʎ,p j a l,p e l,p e l,p j ˈɛ l,p e l,p ˈe lː + e,p ˈɛ lː + e,k ˈo z + e,p ˈɛ l,p ˈe ɖː + e,p e ʎ,k ˈo̯a ʒ + ə,p ˈɛ ɖː + ɨ,p e j,p ˈɛ lː + ə,p e ʎ,p ˈj ˈɛ ɖː + i,p ˈɛ l,p ˈɛ w,p ˈe lː + e,p ˈɛ a l + a,p ˈɛ l + a,p ˈj e l + e,p e l,p ˈɛ ɖː + i,p ˈɛ lː + e,p ˈɛː lː + e,p e l,p j a l,p e ʎ,p e l,p ˈɛ + e,p ˈɛ l
76_sleep,d ˈo r m + u,d ˈœ r m + e,d o r m + ˈi + r,d r ˈo mː + i + r i,d ˈœ r m + e,d u r m + ˈiː r,d o ɾ m + ˈi + ɾ,d o ɾ m + ˈi + ɾ,d ˈɔ ɾ m + i + ɾ i,d u ɾ m + ˈi,d o r m + ˈa r,d o r m + ˈi r,d u r m + ˈi r,d u r m + ˈiː,d u r m + ˈi,d u r m + ˈiː,d o r m + ˈi + r e,d u r m + ˈi,d ˈœ r m + e,d r o mː + ˈi + r e,d o ɾ m + ˈi + ɾ,d o r m,d ˈɔ mː + ɨ + ɾ ɨ,d u ɾ m + ˈi,d u r m + ˈi,d o ɾ m + ˈi,ɾ ˈw ˈɔ ɾ m + i + ɾ i,d r o m + ˈi + r,d u ɾ m + ˈi,d u r m + ˈi,d u r m + ˈi,d u r m + ˈiː r,a + d o r m + ˈi,d u r m + ˈi r,ɾ ˈɔ ɾ m + i + ɾ i,d o r m + ˈi + r e,d u r m + ˈi,d u r m + ˈɛ k r,d u r m + ˈi r,d o ɾ m + ˈe + ɾ,d u r m + ˈi r,d o r m + ˈi + r,d ˈɔː r m + i
77_small,ɲ ˈi k + u,tʃ i t,tʃ e k,p i tː + ˈi k + u,tʃ i t,tʃ i k,m e n ˈu t,p e k + ˈe ɲ + o,n ˈi k + u,p ə t ˈi t,p ˈe l + o,p ˈi k + o l,p ˈi k + u l,p ˈi tʃ + u l,p i t + l,p i tːʃ + ˈi n,p i tːʃ + ˈi n + o,m i k,tʃ i t,m i n ˈu ʒ + u,tʃ i k o t + ˈe t,m i k,p i tːʃ i ɾ i ɖː + u,p ə t ˈi t,p i tːʃ + i r + i lː + ə,p e t ˈi t,n ˈi k + u,p ˈi k + o l,p i tʃ + ˈo t,p i tʃ + ˈi n,ts n + i n,tʃ ˈɛ k,m i k,p ˈi tʃ + ə n,n ˈi k + u,p ˈi kː + o l + o,p i tʃ + ˈiː t + u,p ˈi tʃ + ə n,p i ɲ,tʃ i k o t + ˈe t,p ˈi tʃ + ə n,p ˈi k + o e v + o,p ˈiː tʃ + u
78_smoke,f ˈu m + u,f y m,f u ŋ,f ˈu mː + u,f y m,f u m,f u m,ˈu m + o,f ˈu m + u,f u m,,f u m,f u m,f u m,f u m,f ˈy mː + u,f ˈu m + o,d i m,f y m,f ˈu m + u,f u m,f u m,f ˈu m + u,f u m,f ˈu mː + ə,f u m,f ˈu m + u,f u m,f y m,f ˈy mː + u,f o m,f o m,f u m,f i m,f ˈu m + u,f ˈu m + o,f ˈyː mː + e,f e m,f e m,f u m,f y m,f ˈu m + o,f y m
