Cognate_ID,EudeveNorth,EudeveSouth,Mayo,Opata,ProtoSonoran,ProtoTepiman,SonoraPimaBajo,TarahumaraCentral,TepehuanNorth,TepehuanSouth,TohonoOdam,Tubar,WarihioHighland,WarihioLowland,Yaqui
88_321_snake,b a + k ó/o + ts,,b a á/a + k o + t,k o,k o,k ó/o ʔ o + i,,,,,,k o ó/o + t,,,b a á/a + k o + t
89_175_oldersister,k ó/o ts + gʷ a,,,k o ts i + gʷ a t,k o ts i,,,k o ʔ ts í/i,,,,k o ts í/i,k o ʔ ts í/i,k ó/o ʔ o ts í/i,
8_104_horn,,,a á/a gʷ a,,ʔ a w a,,,a w á/a,,,ʔ á/a ʔ a g,h a m o á/a,a w á/a,h a ʔ a w á/a,ʔ a á/a w a
8_226_plantwithhornedfruits,,,,a gʷ a r i,,,,,,,,,,,
90_58_shrimp,,,b á/a a + k o ó/o ts i + m,,k o ts i,,,k o ts i + k á/a l,,,,,k o h ts í/i,,k o ó/o ts i
91_121_sleep,k o ts ó/o,,k ó/o t ts e,k o ts i,k o ts o,k ó/o o s o,,k o ts í/i,,,,k o s e r á/a k,k o ts i,k ó/o ts i,k ó/o ts e
92_142_besick,k ó/o k o,,k ó/o ʔ o k o + r e,k o k o,k o k o,k o ó/o k o,,o ʔ + k ó/o,,,,k o k ó/o,k o ʔ k o + é/e n a,k o k o + r é/e n a,k ó/o ʔ o k o + e
93_76_chili,,,k ó/o ʔ o k o r i,,k o k o r i,k ó/o ʔ o k o r i,,k o r í/i,,,,k o k ó/o l,k ó/o k o r i,k ó/o k o r i,k ó/o k o ʔ i
94_163_cranebird,k o r ó/o,,k o ó/o r ou,k o r o + ts i,k o r o,,k o k o r h,g o r ó/o,,,k o h k o D/ð,k o l ó/o,,,k ó/o r o w e
95_88_necklace,k ó/o r k a,,k o ó/o k a,,k o r o k a,,,k o r o k á/a,,,,k o r o k á/a + t,k o r o k á/a,,k o ó/o k a
96_151_forehead,,,k ó/o bb/bː a,,k o w a,k ó/o v a,,k o w á/a,,,,k o w á/a + r,k ó/o a,kʷ a,k ó/o b a
97_224_pig,,,k o ó/o w i,,k o w i,,,,,,k o h j/dʒ i,k o w í/i,k o í/i,k oː w í/i,k o ó/o w i
98_272_loseinagame,k ó/o b e,,k o ó/o b e,,k o w i,,,,,,,,,,
98bis_155_win,k ó/o b a,,k o ó/o b a,,k o w + a,,g u + g u b a,,,,,k o w a,,,k o b á/a
99_228_killseveral,k o d á/a,,,,k o y/k a,k oː d á/a,,k o y/j á/a,,,,k o n y/j a + m á/a t,k ó/o y/j a,k o o y/j á/a,
9_208_wound,é/e ts a,,,,ɨ ts a,,,ts á/a,,,,a ts á/a,e h ts á/a,h e h ts á/a,
