Cognate_ID	AbasoloValleMixtec	AlacatlatzalaMixtec	AlcozaucaGuerreroMixtec	CahuatacheMixtec	ChalcatongoHidalgoMixtec	CoicoyanlasFloresMixtec	CosoltepecMixtec	CuatzoquitengoMixtec	CuyamecalcoVillaZaragozaMixtec	ElJicaralMixtec	GuadalupeVillahermosaMixtec	IxpantepecNievesMixtec	LaBateaMixtec	MagdalenaPenascoMixtec	PiedraAzulMixtec	PinotepaDonLuisMixtec	SanAgustinAtenangoMixtec	SanAgustinChayucoMixtec	SanAgustinTlacotepecMixtec	SanAndresChicahuaxtla1890Triqui	SanAndresChicahuaxtlaTriqui	SanAndresNuxinoMixtec	SanAndresYutatioMixtec	SanAntonioHuitepecMixtec	SanAntonioTepetlapaMixtec	SanBartoloSoyaltepecMixtec	SanBartolomeYucuaneMixtec	SanEstebanAtatlahucaMixtec	SanFranciscoSayultepecMixtec	SanJeronimoProgresoMixtec	SanJeronimoXayacatlanMixtec	SanJorgeNuchitaMixtec	SanJuanCoatzospamMixtec	SanJuanColoradoMixtec	SanJuanCopalaTriqui	SanJuanDiuxiMixtec	SanJuanMixtepecMixtec	SanJuanNumiMixtec	SanJuanTamazolaMixtec	SanJuanTeitaMixtec	SanJuanTepeuxila1900Cuicatec	SanLorenzoMixtec	SanLuisMoreliaMixtec	SanMarcoslaFlorMixtec	SanMartinDuraznosMixtec	SanMartinEstadoMixtec	SanMartinItunyosoTriqui	SanMartinPerasMixtec	SanMateoSindihuiMixtec	SanMiguelAchiutlaMixtec	SanMiguelAhuehuetitlanMixtec	SanMiguelChicahuaMixtec	SanMiguelElGrandeMixtec	SanMiguelPiedrasMixtec	SanPedroAtoyacMixtec	SanPedroJicayanMixtec	SanPedroJocotipacMixtec	SanPedroMolinosMixtec	SanPedroTidaaMixtec	SanPedroTututepecMixtec	SanPedroYosonamaMixtec	SanPedroySanPabloTeposcolula1600Mixtec	SanSebastianMonteMixtec	SanSebastianTecomaxtlahuacaMixtec	SantaAnaCuauhtemocMixtec	SantaCatarinaEstetlaMixtec	SantaCatarinaMechoacanMixtec	SantaCatarinaTlaltempanMixtec	SantaCruzBravoMixtec	SantaCruzItundujiaMixtec	SantaLuciaMonteverdeMixtec	SantaMariaAcatepecMixtec	SantaMariaApazcoMixtec	SantaMariaChigmecatitlanMixtec	SantaMariaHuazolotitlanMixtec	SantaMariaJicaltepecMixtec	SantaMariaPapaloCuicatec	SantaMariaPenolesMixtec	SantaMariaYolotepecMixtec	SantaMariaYucuhitiMixtec	SantaMariaYucunicocoMixtec	SantaMariaZacatepecMixtec	SantiagoApoalaMixtec	SantiagoCacaloxtepecMixtec	SantiagoChazumbaMixtec	SantiagoIxtaltepecMixtec	SantiagoIxtayutlaMixtec	SantiagoJamiltepecMixtec	SantiagoJuxtlahuacaMixtec	SantiagoNuyooMixtec	SantiagoPinotepaNacionalMixtec	SantiagoTamazolaMixtec	SantiagoTilantongoMixtec	SantiagoTlazoyaltepecMixtec	SantiagoYosonduaMixtec	SantoDomingoHuendioMixtec	SantoDomingoNuxaaMixtec	SantoDomingoTonahuixtlaMixtec	SantoTomasOcotepecMixtec	SantosReyesTepejilloMixtec	TepangoMixtec	TepejilloMixtec	TlahuapaMixtec	XayacatlanBravoMixtec	XochapaMixtec	YoloxochitlMixtec	YucunaniMixtec	YucunutiBenitoJuarezMixtec	YucuquimiOcampoMixtec	ZapotitlanPalmasMixtec
58_mother	n a ³ n a ³	s i ³ ʔ i ⁵			n a ⁵ a ³					n a ⁵ n a ³				s i ³ ʔ i ³				s ɨ ʔ ɨ		nː i	n ã ⁴³		n a ³ n a ⁵					n a ⁵ n a ⁵		n a ⁵ n a ⁵			ð ɨ ʔ ɨ ¹	s ɨ ¹ ʔ ɨ ¹		ð ɨ ⁵ ʔ ɨ ⁵					tʃ a k u				n a ⁵ n a ¹		nː ĩ ³														n ã a	ð e ʔ e															tʃ a ³ k u ³					m a ʔ a						s ɨ ¹ ʔ ɨ ¹							n a ³ n a ¹				n a ³ n a ⁵		s i ¹ ʔ ĩ ³				n a ⁵ n a ³	s i ³ ʔ i ⁵	n a ³ n a ¹			
59_mothervocative	m a ³	n a ³ n a ³																															ɲ a ¹ a ⁵¹	m i ⁵ j ã ¹	n a ³ n i ³	n a ⁵ n a ¹																																									n a ¹ n a ⁵																								n a ¹ n a ³ a ¹						m a ⁵ a ⁵			
5_tortillabasket	ⁿd o ³ ʔ o ⁵									t o ¹ k a ⁵			ⁿd o ³ o ¹ + ts i ⁵ t i ⁵	ⁿd o ³ ʔ o ¹	ⁿd o ¹ ʔ o ¹⁵			ⁿd o ¹ ʔ o ¹			j o ⁴		ⁿd o ³ ʔ o ¹					ⁿd o ³ ʔ o ¹						ⁿd o ¹ ʔ o ¹										ⁿd o ¹ ʔ o ¹⁵	ⁿd o ¹ ʔ o ¹		j o ⁴																ⁿd o ¹ ʔ o ¹														j ʔ u ¹ k u ³					ⁿd o ʔ o														ⁿd o ³ ʔ o ³							ⁿd o ¹ ʔ o ⁵		ⁿd o ¹ ʔ o ⁵	ⁿd o ¹ ʔ o ⁵				
60_mountainorhill		j u ³ k u ¹	i k u	j ʉ ³ k ʉ ¹	ʒ u ⁵ k u ⁵	j u ³ k u ⁵	j u k u	j u k u	ⁿd a x ĩ	j u ³ k u ⁵	l o ʔ ⁿd a	ʒ u k u	j u ¹ k u ¹⁵	ʒ u ³ k u ³	k o ³ ʔ ⁿd o ³	j u k u	ʒ u k u	j u ³ k u ³	ʒ u k u	k i j ʔ a	k ɨ h ³²	ʒ u k u	j u ⁵ k u ¹	ʒ u k u	j u k u	ʒ u k u	ʒ u k u	ʒ u ³ k u ³	j u k u	ʒ u ⁵ k u ¹	ʒ u k u	t i ¹ + n ã ³ ã ⁵	ʃ u k u	j u ³ k u ³	k i h ³²	ʒ u ⁵ k u ⁵	ʒ u ³ k u ³	ʒ u k u	ʒ u k u	ʂ u k u		j u k u	j ʉ ³ k u ¹⁵	k o ³ ʔ ⁿd o ³	ʒ i ³ k i ¹	j u k ʉ + ɲ ũ ʔ ũ	kː i h ³		ʒ u k u	ʒ u k u	ʒ u k u	t i + ⁿr u u	ʒ u ³ k u ³	ʒ u k u	j u k u	j u k u	j u k u	ʒ u ³ k u ³	ʒ u k u	j u k u	ʒ u k u	j u k u	j u ³ k u ¹	ʒ ɨ ⁵ k ɨ ¹	ⁿd a x ĩ	tʃ ɨ ɨ	j u k u	ʒ u k u	j u k u	j u k u	j u k u	j u k u	ʒ u k u	j u k u	j u k u	j u k u	j i ¹ k u ¹	ʒ u ¹ k u ¹	ʒ u k u	ʒ u ³ k u ³	ʒ u ³ k u ⁵	j u k u ʔ	ʒ u k u	ʒ ʉ k ʉ	j u k u	t i + ⁿd u u	j u k u	j u ³ k u ³	ʒ u k u	j u ³ k u ³	j u k u	ʒ ʉ ³ k ʉ ¹⁵	ʒ u k u	ʒ u k u	j u ³ k u ³	ʒ u ⁵ k u ¹	ʒ u k u	j u k u	ʒ u ³ k u ³	ʒ u k u	i ¹ k u ³ ʔ	j u k u	k o ³ ʔ ⁿd o ³	j u ³ k u ¹	i ³ k u ⁵	j u ³ k u ⁵	j u ³ k u ¹⁵	ʒ u k u	ʒ ʉ k ʉ	j u k u
61_mouth	ʒ u ³ ʔ u ³	j u ³ ʔ u ¹	j u ³ ʔ u ⁵	j ʉ ³ ʔ ʉ ³	ʒ u ³ ʔ u ³	j u ʔ u	j u ʔ u	j u ʔ u	j u ʔ u	j u ³ ʔ u ⁵	j ʉ ʔ ʉ	ʒ u ʔ u	j u ³ ʔ u ⁵	ʒ u ³ ʔ u ³	j u ³ ʔ u ¹⁵	j u ʔ u	ʒ u ʔ u	j u ³ ʔ u ³	ʒ u ʔ u	d u a ʔ a	d u ³ ʔ w a ³	ʒ u ʔ u	j u ⁵ ʔ u ¹	ʒ u ʔ u	j u ʔ u	ʒ u ʔ u	ʒ u ʔ u	ʒ u ³ ʔ u ³	j u ʔ u	ʒ u ⁵ ʔ u ¹		ʒ u ʔ u	ʃ u ¹ ʔ u ¹	j u ³ ʔ u ³	t u ʔ w a ʔ ³	ʒ u ⁵ ʔ u ¹	j u ³ ʔ u ⁵	ʒ u ʔ u	ʒ u ʔ u	ʂ u ʔ u	tʃ e ⁿd e	j u ʔ u	j ʉ ʔ ʉ	j u ³ ʔ u ¹⁵	ʒ i ³ ʔ i ¹	j u ʔ u	t u ³ ʔ β a ³	ʒ u ʔ u	ʒ u ʔ u	ʒ u ʔ u	ʒ ʉ ⁵ ʔ ʉ ¹⁵	ʒ u ʔ u	ʒ u ³ ʔ u ³	ʒ u ʔ u	j u ʔ u	j u ʔ u	j u ʔ u	ʒ u ³ ʔ u ³	ʒ u ʔ u	j u ʔ u	ʒ u ʔ u	j u ʔ u	j u ³ ʔ u ¹	j i ³ ʔ i ¹	j u ʔ u	ʒ u ʔ u	j u ʔ u	ʒ u ʔ u	j u ʔ u	j u ʔ u	j u ʔ u	j u ʔ u	ʒ u ʔ u	j u ʔ u	j u ʔ u	j u ʔ u	tʃ e ³ ⁿd e ³	ʒ u ʔ u	ʒ u ʔ u	j u ³ ʔ u ⁵	ʒ u ³ ʒ u ⁵	j u ³ ʔ u ³ ʔ	ʒ u ʔ u	ʒ u ³ ʔ u ³	j u ʔ u	ʒ u ʔ u	j u ʔ u	j u ³ ʔ u ³	ʒ u ʔ u	ʒ u ³ ʔ u ⁵	j u ʔ u	ʒ ʉ ³ ʔ ʉ ¹⁵	ʒ u ʔ u	j u ʔ u	j u ³ ʔ u ³	ʒ u ⁵ ʔ u ¹	ʒ u ʔ u	j u ʔ u	ʒ u ³ ʔ u ⁵	ʒ u ʔ u	j u ¹ ʔ u ³ ʔ	j u ʔ u	j u ³ ʔ u ⁵	j u ³ ʔ u ¹	j u ³ ʔ u ⁵	j u ³ ʔ u ⁵	j u ³ ʔ u ⁵	ʒ u ʔ u	j ʉ ⁵ ʉ ¹	j u ʔ u
62_mud	ⁿtʃ a ⁵ ʔ i ⁵	ⁿd a ¹ ʔ j i ¹	ⁿd a ʔ j u	ⁿd a ʔ j i	ⁿd e ⁵ ʔ ʒ u ³	ⁿdʲ a ʔ j u	ⁿd e ʔ i	ⁿd a ʔ j i	ⁿd e ʔ j u	ⁿdʲ a ¹ ʔ j u ¹	ⁿts e ʔ j e	ⁿdʲ a ʔ ʒ i	ⁿtʃ a ¹ ʔ i ¹	ⁿd e ⁵ ʔ ʒ o ¹⁵	ⁿtsʲ a ³ ʔ j i ¹	ⁿd a ʔ j u	ⁿd e ʔ i	ⁿdʲ a ʔ j u	ⁿd e ʔ e ʒ u	ts e g ʔ e ʔ a	s i ³ g e ʔ ³	ⁿd e ʔ j u	ⁿd e ³ i ³ ʔ i ¹	ⁿd e ʔ ʒ u	ⁿd a ʔ j u	ⁿz a ʔ j u	ⁿd e ʔ ʒ u	ⁿd e ³ ʔ j u ¹	ⁿd a ʔ j u	ⁿd a ¹ ʔ ʒ i ¹	ⁿd e ʔ i	ⁿd e ʔ ʒ i	ⁿd o ¹ ʔ ʃ o ⁵	nʲ a ¹ ʔ j u ¹	s i g i ʔ ³	ⁿd e ⁵ ʔ ʒ u ⁵	ⁿdʲ a ʔ i	ⁿd e ʔ i	ⁿd e ʔ ʒ u	ⁿd e ʔ j u	i n tʃʲ e t i	ⁿdʲ a ʔ j u	ⁿd e ʔ e	ⁿtsʲ a ³ ʔ j i ¹	l a ¹ ʔ l a ¹	ⁿd a ʔ ʒ i	s i ³ k eˀ ³	ⁿtʃ a ʔ j i	ⁿd e ʔ ʒ u	ⁿd e ʔ ʒ u	ⁿd e ʔ e	ⁿz a ʔ j u	ⁿd e ³ ʔ ʒ u ¹	ⁿd e ʔ ʒ u	ⁿd a ʔ j u	ⁿd a ʔ j u	ⁿz a ʔ j u	ⁿd e ʔ ʒ a	ⁿd e ʔ j u	ⁿdʲ a ʔ j u		ⁿd a j u	ⁿdʲ a ¹ j i ¹	ⁿtʃ a ʔ i	ⁿd e ʔ j u	ⁿd e ʔ ʒ u	ⁿdʲ a ʔ j u	ⁿd e ʔ j u	ⁿd a ʔ j i	ⁿd e ʔ j u	l a kʷ a	ⁿdʒ a ʔ j u	ⁿz a ʔ j u	ⁿd e ʔ j u	ⁿdʲ a ʔ j u	ⁿd a ʔ j u	j i ¹ n tʃ e ¹ t e ⁵¹	ⁿd e ⁵ ʔ ʒ u ⁵	ⁿd e ʔ e ʒ u	n ẽ ³ ʔ ʒ u ¹	ⁿd a ʔ ʒ u	ⁿd a ʔ j u	ⁿz a ʔ j u	ⁿd e j ʔ i	ⁿd e ʔ i	ⁿz a ʔ j u	ⁿdʲ a ʔ j u	ⁿdʲ a ¹ ʔ j u ¹	ⁿdʲ e ʔ i	n ẽ ³ ʔ ʒ u ¹	ⁿd a ʔ j u	ⁿd e ʔ e	ⁿd e ʔ j u	ⁿd e ʔ ʒ u	ⁿd e ³ ʔ j u ¹	ⁿd e ³ ʔ ʒ u ¹	ⁿd e ʔ ʒ u	ⁿd e ʔ j u	ⁿd e ¹ ʔ ʒ u ¹	ⁿtʃ a ʔ i	ⁿd e ³ ʔ i ¹	ⁿd e ʔ i	ⁿd a ¹ ʔ i ¹	ⁿd e ʔ i	ⁿd a ¹ ʔ i ¹	ⁿd a ¹ ʔ j u ¹	ⁿtʃ a ³ ʔ i ¹	ⁿd e ³ ʔ i ¹	ⁿd e ʔ i	ⁿd e ʔ j u
63_mouse													t i ¹⁵ ʔ ĩ ³		ts ĩ ¹ ĩ ⁵						ʃ u + t u ² + n i h ³		t ĩ ¹ ĩ ⁵							t ĩ ¹ ĩ ⁵						t ɨ ¹ + tⁿ ɨ ⁵ ɲ ɨ ¹					t i ⁿd i			ts ĩ ¹ ĩ ⁵	tɕ ĩ ¹ ĩ ⁵		tʃ u ³ + t u ³²														tⁿ i ɲ i	tⁿ e ɲ e	t i ³ + t ĩ ¹ ĩ ⁵																																l u ⁵ s u ³				t i ⁵ i ⁵ ɲ i ⁵				t i ³ ʔ ĩ ⁵		t ĩ ² ĩ ⁵		t i ¹⁵ ʔ ĩ ³			
64_mushroom	ts i ³ ʔ i ³				x ɨ ³ ʔ i ³					ʃ i ¹ ʔ i ⁵			ts i ¹ ʔ i ¹⁵	h i ³ ʔ i ¹	ʃ i ³ ʔ i ¹⁵			s e ʔ j e + t u + tʲ e ʔ e		r a ã	r ã ʔ ³ ã ³		ʃ i ³ ʔ i ¹					x i ³ ʔ i ¹													g e e			ʃ i ³ ʔ i ¹⁵	ɕ i ¹ ʔ i ¹		ɾ a ³ ʔ ə̃ ³															s i j e	s i ¹ ʔ i ¹														gʷ e ¹ ʔ e ¹																										ʃ i ¹ ʔ i ⁵			ʃ i ¹ ʔ i ⁵	ts i ¹ ʔ i ¹⁵			
65_song					ʒ a ³ a ¹									ʒ a ³ a ¹	j a ³ a ¹			j a a					j a ³ a ³					ʒ a ³ a ³																j a ³ a ¹																																												j a ¹ a ¹							j a ³ a ³								j a ³ a ³			j a ³ a ²				
66_near	ʒ a ³ tʃ i ³	j a ³ t ĩ ³	j a ³ tʃ ĩ ³	j a tⁿ ĩ	ʒ a ³ n i ³	ʒ a ³ tʃ ĩ ³	j a tʃ ĩ	j a t ĩ	ɲ ã tʃ ĩ	j a ³ tʃ ĩ ³	ʒ a ts i	ʒ a tʃ i	j a ³ tʃ i ³	ʒ a ³ tⁿ i ³	j a ³ ts ĩ ³	j a t ĩ	ʒ a t i	j a tʲ i	ʒ a tⁿ̥ ĩ	n i ʈʂ u ʔ a	n i ³ ʈʂ ũ ʔ ¹		j a ³ t i ³	ʒ a n̥ n ĩ	j a t ĩ	ʒ ã tⁿ ĩ	ʒ a tⁿ̥ ĩ	ʒ a ³ n̥ i ³	j a tʲ ĩ	ʒ a ³ t i ³		ʒ a t i	e ts ĩ	j a ³ tʲ ĩ ³	n i ʈʂ ũ ʔ ¹	ʒ a ⁵ tⁿ i ⁵	j a tʲ i	ʒ a tⁿ ĩ	j a n̥ n ĩ	ʂ a n̥ n ĩ	n i n u	j a tʲ i	j a t ĩ	j a ³ h ts ĩ ³	ʒ a ³ tɕ i ³	j a t i	n i ¹ ʈʂ ũ ʔ ¹	j a ts ĩ	ʒ ã n ĩ	ʒ a tⁿ̥ ĩ	ʒ a t i	j a tʃ i	ʒ ã n ĩ	ʒ ã n ĩ	j a t ĩ	j a t ĩ	j a tʃ i	ʒ a tⁿ̥ ĩ	ʒ a tⁿ ĩ	j a tʲ ĩ	ʒ a tⁿ i	j a tⁿ i	j a ³ t i ³	ʒ a tʃ i	j ã ts ĩ	ʒ a tⁿ ĩ	j a tʲ ĩ	j a tⁿ ĩ	j a tⁿ ĩ	j e t ĩ	j a tⁿ ĩ	j a tʲ i	ʒ a tʃ i	j a tⁿ ĩ	j a tʲ i	j a t ĩ	tʃ ẽ ⁴¹	ʒ a ¹ tⁿ ĩ ¹	ʒ a tⁿ̥ ĩ	j a ³ t ĩ ³	ʒ a ³ t ĩ ³	j a ³ t ĩ ³	j a tʃ ĩ	ʒ a t ĩ	j ã tʃ i	ʐ a t i	j a tʲ ĩ	j a tʲ ĩ	ʒ a tʲ i	ʒ a ³ t ĩ ³	t ĩ ʔ a	ʒ a t i		ʒ e tⁿ ĩ	j a ³ n̥ i ³	ʒ a ³ tⁿ ĩ ³	ʒ a t i	j a tʃ i	ɲ a ³ t ĩ ³	ʒ a ³ tʃ i ³	j a ¹ t ĩ ¹	j a tʃ i	j a ³ tʃ i ³	j a ³ tⁿ ĩ ³	j a ³ t i ³	j a ³ t ĩ ³	j a ³ tʃ i ³	ʒ a t i	j a ³ t i ³	j a tʃ i
67_nighttime			n ĩ ɲ ũ	n ĩ ɲ õ	x a ³ + kʷ a ⁵ a ⁵	n ĩ ɲ ũ + j a a	n ĩ n ũ	n ĩ ɲ õ	n ɨ̃ + n ĩ ɲ ũ		n ĩ ũ + j a a	ⁿtʃ i β i + ʒ a a		ɲ u ³ u ³		n ĩ ɲ ũ	n ĩ ũ	s a + kʷ a a	n ĩ ³ + n ĩ ɲ ũ	n i ʔ a		n ɨ̃ + n ĩ ʔ ɲ ũ	ɲ o ³ o ³	ⁿdʒ a + n ĩ ɲ ũ	n ĩ ɲ ũ	n ĩ ɲ ã	n ĩ ɲ ũ	n ĩ ¹ ɲ ũ	n ĩ ɲ ũ			ⁿd i h ã + n ĩ + kʷ a a	n i ¹ ɲ u ¹	ɲ i ³ ɲ u ³		n i ¹ u ¹	n ĩ ɲ ũ	ɲ ũ n ẽ	n ɨ̃ + n ĩ ũ	n ĩ ɲ ũ		ɲ ĩ ɲ ũ	ⁿd i a + ʃ i + kʷ a		ɲ ĩ n ũ + ʒ a a	ɲ ũ ũ	n i ² k ə̃ˀ ²	ⁿts i i + ɲ ũ ũ	ɲ ã + n ĩ ũ	x a + kʷ a a	ⁿd i ³ ã + n ĩ + ɲ ũ ũ	n ĩ ɲ ũ	n ɨ̃ ³ ɲ ũ ¹	n ĩ ɲ ũ	n ĩ ɲ ũ	n ĩ ɲ ũ	n ẽ + n ĩ ɲ ũ	x a + k i ʔ β i	n ĩ ũ					ɲ ĩ ɲ ũ + ʒ a a	n ĩ ɲ ũ	n ɨ̃ ɨ̃ + n ĩ ũ		i β i + ɲ ũ ũ	ɲ ũ ũ	n ɨ̃ ɲ ũ	n ɨ̃ ɲ ũ		n ĩ ɲ ũ	ĩ ĩ w i + ɲ ũ ũ		n ĩ ɲ ũ	ʔ ã ³	n ĩ ũ	n ĩ ɲ ũ + n ĩ	ⁿd a ³ k a ⁵ + j a + kʷ a ⁵ a ³	ⁿd ũ β i ⁵ + ɲ ĩ ³ ɲ ũ ⁵	n ĩ ɲ ũ	n ĩ ɲ ũ	ɲ õ õ	i n ĩ n ũ	n ĩ ɲ ũ	ɲ ũ ũ	ɲ i ³ + j a ³ k a ³	n ĩ ɲ ũ	n ã ⁵ + n ĩ ¹ ɲ ũ ³	n ĩ ɲ ũ	ⁿd i ⁵ θ a + ʃ i + kʷ a a	n ĩ ũ	n ĩ ũ	ɲ ũ + k ɨ t ɨ	n i ⁵ ɲ u ¹	n ĩ ʔ ɲ ũ	n ĩ ũ + j a k a	n ĩ ³ ɲ ũ ¹	n ĩ ɲ ũ + ʒ a a	n i ¹ ɲ u ¹	n ĩ n ũ		ɲ ũ ³ ũ ⁵		n i ³ + ɲ u ² u ²		ɲ ũ ũ + ʒ a k a		ɲ ũ ũ
68_nine	ĩ ¹ ĩ ¹	ĩ ¹ ĩ ¹		ĩ ¹ ĩ ¹	ɨ̃ ⁵ ɨ̃ ³					i ¹ ĩ ¹			i ¹ ĩ ¹	i ³ ĩ ¹	i ¹ ĩ ¹			ɨ ɨ̃		ʔ ũ ʔ a	ʔ ĩ ²		i ³ ĩ ¹					ɨ ³ ɨ̃ ³		ĩ ¹ ĩ ¹	ĩ ¹ ĩ ¹		ɨ ¹ ɨ̃ ¹	ɨ ³ ɨ̃ ³	ũ ²	ɨ ⁵ ɨ̃ ⁵	ĩ ¹ ĩ ¹				n u u			i ¹ ĩ ¹	i ¹ ĩ ¹		ũ ²						ɨ ³ ɨ̃ ⁵					ĩ ¹ ĩ ¹			i ĩ	e e	i ¹ ĩ ¹													ĩ ⁵ ĩ ⁵	n ũ ³⁴	ɨ̃ ⁵ ɨ̃ ⁵				i ³ ĩ ⁵		ĩ ¹ ĩ ¹				ɨ ¹ ɨ̃ ¹							ɨ ³ ɨ̃ ¹	i ⁵ ĩ ¹			i ¹ ĩ ¹		i ³ ĩ ³		i ³ ĩ ¹		i ¹ ĩ ¹	i ¹ ĩ ¹	i ¹ ĩ ¹			
69_nose	ʃ i ³ tʃ i ³	s i t ĩ	i ʃ t ĩ	ʃ i tⁿ ĩ	k u ³ t u ³	ʃ i ¹ t ĩ ⁵	ð i tʃ ĩ	ʃ i t ĩ	ð i̥ tʃ i	ʃ i ¹ t ĩ ⁵	ʃ i ts i	ʃ i ¹ t i ¹	ʃ i ¹ tʃ i ¹⁵	ʂ i ³ tⁿ i ¹	ʃ i ³ ts ĩ ¹⁵	ʃ i t ĩ	ʃ i t i	ʃ i tʲ i	s tⁿ̥ ĩ ĩ	t a k ẽ	d a ³ k ɨ ³⁵		ð i ³ t i ¹	ð ĩ n̥ ĩ	ʃ i t ĩ	ð ĩ tⁿ ĩ	ʂ i tⁿ ĩ	ʃ i ³ n̥ i ¹	ʃ i tʲ ĩ	h i t i	ð i tⁿ ĩ	ʃ i t i	ð i ⁵ ts ĩ ¹	i ¹ x tʲ ĩ ¹	t a k ũ ⁵	ð ĩ ⁵ ʔ n i ¹	ʃ i tʲ i	s tⁿ ĩ ĩ	ð ĩ n̥ n ĩ	ð i n̥ n ĩ	ð u t a	ʃ i tʲ i	tʃ i t i	ʃ i ³ h ts ĩ ¹⁵	ɕ i ¹ tɕ i ¹	θ i t ĩ	t a ³ k ĩ h ⁵	ʃ i ts ĩ	ð ĩ n ĩ	ʃ i tⁿ̥ ĩ	θ i t i		k u t u ¹	ð ĩ n ĩ	ʃ i t ĩ	ʃ i t ĩ	i tʃ i	s tⁿ̥ ĩ ĩ	ð ĩ tⁿ ĩ	ʃ i tʲ i		ð i tⁿ i	ʃ i ¹ t i ¹	ʃ i tʃ i	ð ĩ̥ ts ĩ	ð ĩ tⁿ ĩ	ʃ i tʲ ĩ	ð i tⁿ ĩ	ʃ i tⁿ ĩ	i s t ĩ	i s tⁿ ĩ	s i tʃ ĩ		ð i tⁿ ĩ	ʃ i tʲ ĩ	ʃ i t ĩ	ð u ³ t u ³	ð ĩ ⁵ n̥ n ĩ ⁵	ʃ i tⁿ̥ ĩ	ʃ i ³ t ĩ ³	ĩ ¹ ʃ t ĩ ⁵	ʃ i t ĩ ʔ		ð i tʃ ĩ	ð i tʃ ĩ	ð i t i	ʃ i tʲ ĩ	ʃ i tʲ ĩ	ʃ i t i	ʃ i t ĩ	ʃ i t i	θ i t i	ð ĩ tⁿ ĩ	ð i tⁿ ĩ	ʃ i ¹ n̥ i ¹	ʃ i ³ tⁿ ĩ ¹	ð i t ĩ	ð i tⁿ ĩ	ʃ i ¹ t i ¹		ʃ i t ĩ ʔ	ð i tʃ i	ʃ i ¹ t ĩ ⁵	ð i ¹ tⁿ ĩ ¹	ʃ i ¹ t ĩ ⁵	i ¹ s t ĩ ⁵	ʃ i ¹ tʃ i ¹⁵	h i t i	ʃ ĩ ⁿd i	ð i tʃ i
6_bellyorstomach		t i ¹ ʃ ĩ ³		t i ³ ʃ i ³	tʃ i ¹ i ¹					t i ¹ ʃ ĩ ³				tʃ i ¹ i ³	ⁿtʃ i ¹ ʃ ĩ ¹			s i s i		r i k i	s i ³ k o h ³²		t i ¹ ʃ i ³					tʃ i ¹ h i ³		t i ¹ ʃ i ³				ts i ³ ts i ³	ʂ k e ʔ ³	ʃ i ⁵ t i ⁵	t i ³ ts i ³				tʃʲ a t i				tɕ i ¹ ɕ ĩ ³		ɾ i ³ k i ³						tʃ i ¹ i ³					tʃ i ¹ i ³			tʃ i i	tʃ i s i	t i ¹ s i ³													t i ⁵ tʃ i ⁵	tʃ e ¹ t e ¹	ʃ ɨ ¹ t ɨ ⁵				t i tʃ i		t i ¹ ʃ i ³				tʃ i ³ tʃ i ¹							tʃ i ¹ i ¹				tʃ i ¹ x ĩ ³		t i ¹ ʃ ĩ ¹		t i ¹ ʃ ĩ ³		t i ¹ ʃ ĩ ³	t i ¹ ʃ ĩ ³	t i ¹ ts i ³			
70_nowortoday	β i ³ tʃ i ³	β i ³ t ĩ ³	β i ³ tʃ i ³	w i ³ tⁿ i ³	β i ⁵ n a ³	β i tʃ ĩ	w i tʃ i	w i t ĩ	w i + j a ʔ a	β i ³ tʃ ĩ ³	β i t i	β i ts i	β i ³ tʃ i ³	β i ³ tⁿ a ³	β i ³ ts ĩ ³	β i t ĩ	β i t i	β i ³ tʲ i ³	β i tⁿ̥ ã		j a h ¹³	β ĩ ʔ ɲ a	β i ³ t i ³	w ĩ n̥ n ã	w i t ĩ	w i t ɲ ã	w i tⁿ ã	ʒ a ³ tʃ i ¹	w i tʲ ĩ	β i ³ t i ³	β i ³ tʃ i ³	β i t i	e ʃ i	β i ³ tʲ ĩ ³	j a h ¹³	β i ⁵ tⁿ a ⁵	β i tʲ i	β i tⁿ ã	w i n̥ ã	w ĩ n̥ ã	m ã	w i tʲ i	β i t i	β i ³ ts ĩ ³	β i ³ tɕ i ³	β i tʲ i	j a h ¹³	β i ts ĩ	w ĩ n ã	β i tⁿ̥ ã	β i t i	w i t a	β i ³ tⁿ ã ³	w ĩ n ã	w i t ĩ	β i t ĩ	w i t ã	β i ³ t ã ³	w i tⁿ ã	w i tʲ ĩ	β i tⁿ a	w i tⁿ ã	β i ³ t i ³	β i tʃ i	w i + j a ʔ a	t a + w i i	w i tʲ ĩ	ð i t w i	w i tⁿ ĩ	β i t ã	β i tⁿ ã	w i tʲ ĩ	w i t a	w i tⁿ ĩ	w i tʲ ĩ	j a t ĩ	m ã ³	β i ¹ t ã ¹	β i tⁿ̥ ã	β i t ã	β i ³ t ĩ ³	β i ³ t ĩ ³	β i t a	β i tʃ ĩ	β i tʃ i	w i t a	β i tʲ ĩ	β i ³ tʲ ĩ ³	β i tʲ i	β i ³ t ã ³	β i t i	β i t i	ʒ a tʃ i	w i tⁿ ã	β i ³ n̥ a ³	β i ⁵ tⁿ ã ¹	w i t ã	w i tʃ i	m i ³ t ã ³	β i tʃ i	β i ¹ t ĩ ¹	w i tʃ i	β i ³ t i ³	β i ³ tⁿ ĩ ³	β i ³ t ĩ ³	β i ³ t ĩ ³	β i ³ tʃ i ³	β i t i	β i ³ t i ³	w i tʃ i
