Cognate_ID	Amonda	Anambe	Apiaka	Arawete	Asurini	AsuriniXingu	AvaCanoeiro	Aweti	Chiriguano	Emerillon	Guaja	Guajajara	GuaraniAntigo	GuaraniMbya	GuaraniParaguay	Guarayo	Guayaki	Kamayura	Kayabi	Kokama	Mawe	Nheengatu	Omagua	Parakana	Parintintin	Siriono	Surui	Tapirape	Tembe	Tenharim	Tupi	UrubuKaapor	Urueuwauwau	Warazu	Wayampi	WayampiJ	Xeta	Yuki
197_sweetpotato	i t ɨ k		s ɨ t e g	j ɨ t i r ĩ		j ɨ t ɨ k	dʒ i t͡ʃ i k	t e ʐ ɨ k	j e t ɨ	z e t i k		z ɨ t ɨ k	j e t ɨ	dʒ e t ɨ	j e t ɨ	j e t ɨ		j e t ɨ k	j e t ɨ k	j i t i k a	u r i u r u	b a t a t a		t͡ʃ ɨ t ɨ g	j i t ɨ g	ɲ ĩ t ĩ	s e t ɨ g	t͡ʃ e t ɨ k	z e t ɨ k	j i t ɨ g	j e t ɨ k	j ɨ t ɨ k	i t ɨ k	ð é t i	j e t ɨ p e	k a r a	b a t a t a	
198_swimm	ɲ a h o g			i t a	w e w o t͡ʃ	u β e β u j	ɨ t a w		ɨ t a	ʔ ɨ t a		ɨ ʔ t a w	ɨ t a	ʔ i t a	ɨ t a	ɨ t a		ʔ ɨ t a p		ɨ a t a		w i t a	ɨ a t a	t͡ʃ e m o p i p a	ɨ t a β a t a	i t a		ʔ ɨ ɨ t ã		ɨ t a β a t a	ʔ ɨ t a β	j u p e t ẽ	ɨ p e t ã	ʔ i t a	ɨ a			i t a t a
199_tail	β a h a j ə	e i kʷ ã	m e r u s a	h u β ã ĩ	w a s	w a j	u w a j	u w a j	h u gʷ a i	u w a j	h a w a j	u a j	h u gʷ a j	u gʷ a j	t u gʷ a j	u w a i		w a j	w a j	t͡s u i	u w a j p o	u a j a	s u j	β a t͡ʃ a	gʷ a j	o kʷ e ɨ	w a s	o w ã j	u w a j	gʷ a h a j ə	u gʷ a j	u w a j	gʷ a h ã j ə	u w a ɨ	u w a j	u w a j		u gʷ a i
19_bite	h u ʔ u	u ʔ u		ʔ u ʔ u	o ʔ o	o ʔ o	t͡ʃ u	t u ʔ u	s u u	t͡s u ʔ u	t͡ʃ u ʔ u	t͡ʃ i ʔ u	s u ʔ u	t͡ʃ u ʔ u	s u ʔ u	s u ʔ u	t͡ʃ u u	u ʔ u	u ʔ u	k a r u t a	k a t u ʔ u	s u ʔ u	k a r u t a		h u ʔ u	s ɨ u	o ʔ o	o ʔ o	t i ʔ u	h u ʔ u	s u ʔ u	s u ʔ u	h u ʔ u	h u ʔ u	s u ʔ u	s u ʔ u	t͡ʃ o	s u u
1_all	p a β		ʔ a ŋʷ a p a m	p a	p a p	p a p	u p a k a t u	m o m a t i	p ã w e	p a	p a		o p a	p a	o p a	p ã v ã		p a p	p a p	u p i	t o r a n i a	p a	u p a		p a β	h a	p a m	p ã w	p a w	p a β	p a β	u p a	p a β	m a	p a	p a	p o	χ a
200_tapir	t a p i ʔ i r	t a p ɨ ʔ ɨ	t a p i ʔ i r	t a p u ʔ ɨ	t a p i ʔ i r	t a p i ʔ i r	t a p i r		m b o r é w i	t a p i ʔ i r	t a p i ʔ i r	t a p i ʔ i r	m b o r é β i	m b o r e	m b o r é β i		b r e β i	t a p i ʔ i t	t a p i ʔ i r	t a p i r a	w e w a t o	t a p i ʔ i r	s a t͡ʃ a v a c a	t a p i ʔ i r	t a p i ʔ i r	e ã kʷ ã t o j	t a p i ʔ i r	t ã p i ʔ i t	t a p i ʔ i r	t a p i ʔ i	t a p i ʔ i r	t a p i ʔ i r	t a p i r	t a p ɨ ʔ ɨ	t a p i ʔ i	t a p i ʔ i r	t a p i r a dʒ o	
201_teach		m u ʔ a		m u e	m o ʔ e	m u ʔ e	m o e		m o e	b o ʔ e	m u m u ʔ ũ	m u ʔ e	mb o ʔ e	mb o ʔ e	m o ʔ e	mb o ʔ e		m o ʔ e	m u ʔ e	j u m i t a	m u u ʔ e	mb u é	j u m u j t a	m o ʔ e	m o ʔ e			m a ʔ e	m u ʔ e	m o ʔ e	m o ʔ e	m u ʔ e	m o ʔ e	m o ʔ e	m o e			b a r a k w a
202_tellnarrate	m õ m e ʔ u	m u m e ʔ u		m e m e ʔ u	kʷ a w e ʔ e ŋ	m u m e ʔ u	m o m e w	e j õ j	m o m e u	m e b e ʔ u	m u m u ʔ ũ	m u m e ʔ u	m o mb e ʔ u		m o m e ʔ u	m o mb e ʔ u		k a w e ʔ e ŋ	m o m e ʔ u	t͡s a n a t a	e n o j	m e u	ɨ p a p a r i	m o m e ʔ o	m õ m e ʔ u	u e		k o m e ʔ o	m u m e ʔ u	m õ m e ʔ u	m o m e ʔ u	m e ʔ u	m õ m e ʔ u	m o m e ʔ u				m e b e
203_terminatefinish	p a β			p ã	p a p	p a p	p a m	p a p	p a	b a	p a	p a w	p a	p a	j a p o p a		k r e ɨ	p a p	p a p	u p a t a	p a p	p a	u p a t a	p a w	p a β	r ã m o n t e		p ã w	p a w	p a β	p a β	p a	p a β	p a	p a	p a	a r á d i a	b e r o
204_termite				k o p i ʔ i	k o p i ʔ i	k u p i ʔ i	k u p i	k u p i ʔ a	k u p i i	k u p i i	k u p i ʔ i	k u p i ʔ i		k u p i ʔ i	k u p i ʔ i	k u p ɨ i		k u p i ʔ i	k u p i ʔ a	k u p e a	ŋ u p i ʔ a	k u p i i			k u p i ʔ i		k u p i ʔ i		k u p i ʔ i	k u p i ʔ i	k u p i ʔ i	k u p i ʔ i		k u p ɨ ʔ ɨ	k u p ĩ ʔ ĩ	k u p i ʔ ĩ	p a i t k r i ʔ	
205_testicles			a p j a	a p i ʔ a		a p i ʔ a			t a p i a	a p i ʔ a		h a p i ʔ a	a p i ʔ a	t a ʔ ɨ̃ i	t a ʔ ɨ̃ i	t a p i a	p i a	a p i ʔ a		t͡s a p i a			t͡s a p i a	a p i ʔ a	a p i ʔ a	t͡ʃ i a	a m e ʔ a		a p i ʔ a	a p i ʔ a	a p i a			a p ɨ ʔ a	a p i ʔ a	a p i ʔ a	h a p i a	r i a
206_thick	a n a m								p o w a s u	a n a m		j a n a g a t u	a n ã	a n a	p o h ɨ i	i p i				k u r u k u r u	i w a t o		n u a j a ʃ i	p a o h o	a n a m	e a n a	p u r u ŋ		a n a m	a n a m	a n a m	a n a m	a n a m	ð a n a	a n ã	t a ʔ ɨ r o w ã		
207_thing	β a ʔ e	m a ʔ a		m e ʔ e	m a ʔ e	m a m a ʔ e	m a e	k a t	mb a e	m a e	m a ʔ ẽ	m a ʔ e	m a ʔ e	m a ʔ e	m a ʔ e	m a e	b w e	m a ʔ a n w a t	m a ʔ e	m a r i		m ã ʔ ã		m a ʔ e	β e ʔ e	m a e		m a ʔ e	m a ʔ e	β a ʔ e	m a ʔ e	m a ʔ e	β a ʔ e	m a e ʔ e	m a m a ʔ e			b a
208_three	mb o h a p ɨ r a	m u a p ɨ ʔ ĩ	m o a p ɨ	p a u w ĩ	n a ʔ i r o i h i	i r o m a ʔ e	m o h a p ɨ	m o j t a r i k a	m o a p ɨ	m a p ɨ t		n a ʔ i r u z	mb o h a p ɨ	m oa p ɨ	m oa p ɨ	m o z a p i		m oa p ɨ t	m u a p ɨ t	m u t͡s a p ɨ r ɨ k a	m ɨ e ʔ ɨ m	m u s a p i r i	m u s a p r ɨ k a	h e ʔ ɨ t͡ʃ ɨo	mb o h a p ɨ r a	t͡ʃ e r e m õ h i r i	t a p ɨ t a	m a ã p ɨ t		mb o h a p ɨ r a	m o s a p ɨ r	m a h a p ɨ r	m o k o ŋ g a t u	m ɨ r u	m a a p ɨ	m o s a p ɨ	m o k a t ẽ j	i j e s ẽ ẽ
209_thorn	j u h u	j u		j u	s o o w a	d͡ʒ u h	n u w ə t͡ʃ i		j u u	i ɲ õ	j u	t͡s u	j u	dʒ ũ	j u	j u	a t͡ʃ ĩ	a t͡s ĩ	j u	j u w a	h u	j u	j u a	t͡ʃ o β	j u h u	t͡ʃ u		t͡ʃ õ	t͡s u	j u h u	j u	j u	j u h u	ð u	j ũ	j õ		
20_black	ɨ p ɨ t ũ n ã	p ɨ t ũ	n i m u r õ		p i h o n	p i o n	p i u n	k i l a w	h ũ	h u n	p i h ũ	p i h u n	p e h ũ	ũ	h ũ	ũ	n j o ʔ õ	p i t͡s u n	ũ n	t͡s u n i	h u n	p i ʃ u n a	s u n i	p i õ n	ɨ p ɨ t ũ n ã	õ d e	p ɨ s u n	o n	p i h u n	ɨ p ɨ t ũ n ã	p i ʃ u n	p i h u n	ɨ p ɨ t ũ n ã	ũ	p i j̃ ũ	p i j ũ	h ũ n t a j	t õ d a r u
210_thunder	n a r a ŋ	t u p ɨ̃	i m e r e r e t	p e p u	t u p ɨ̃	ɨ w a k o n a r ɨ ŋ	t u p ã		a m a r ɨ á p u	t u p ã	t a p ã	ə m ə n ə n o g	a m ã p u n u	t u p ã kʷ e r e	ʔ a r a s u n ũ	o s u n u ŋ			t u p ã	t u p a	h u r u r e	t r o v ã		t o p o a	t u p ã	a m ã n d ɨ u	t u p o		a m a n s u n a	t u p ã	t u p ã	t u p ã	n a r a ŋ	j a p u	t o p ã	t o p ã	ĩ j a dʒ e	t o t o n a j
211_throat				ʔ ã j̃					a s e o	k u l u k a g	j a t ɨ̃	ʔ a z	a s e ʔ o	a ɨ ʔ o	a h ɨ ʔ o	j e s ɨ ʔ o		a i kʷ a t	j u e ʔ o k			k u r u k a	u r u r u	a m a ʔ ɨ β		t͡ʃ o s o i					a s e ó k a	k u r u kʷ a		ð i h í ʔ o i	k u l u k a ʔ o			s o k ɨ a t a
212_tick	j a t e β u g	j i t e h u	s a t e β o g ia	j a t e w o					j a t eu	z a t eu s i n e		z a t ɨ h u k	j a t e β u	dʒ a t e β u	j a t e v u	j a t e b u		j e t e β u k	j a t e w u k	m a p i a r i	w e w a t	k a r a p a t u	p ɪ r a t a	t͡ʃ a t e ʔ o g	j a t e β u g	t e b u	k a t eu g	t ã t e w o k	z a t e h u k	j a t e β u g	j a t e β u k	j e t eu k	j a t e β u g	m u t é w i	j a t eo	j a t eo	ɲ a t e w ɨ	
213_tie	a p ɨ t͡ʃ ĩ	o w a t i			a m a ŋ a	a p ɨ t͡ʃ i	j a p ɨ t i	a t͡ʃ ĩ	a p ɨ̃ t i	n o ŋ	j a m i t͡ʃ ĩ	z ã p i t͡ʃ i	p ɨ t ĩ	a p ɨ t ã	a p ɨ t i	p ɨ̃ t͡ʃ ĩ		hʷ a t	m a	t ɨ k ɨ t a	k ɨ t ɨ t	a p u t i	t ɨ k ɨ t a	a m a g a	a p ɨ t ĩ	t͡ʃ i i s ĩ	kʷ a r	w a n	a p ɨ t ɨ	a p ɨ t ĩ	a p ɨ t ĩ	p u kʷ a r	a p ɨ t ĩ	ə p i t͡s ɨ	a p ã s i			
214_tired	k a n e ʔ õ			t͡ʃ i r i m a	k a n i ʔ o	k a n i ʔ o	k a n e u		k a n ɨ	k a n e õ	k a r a ʔ a h ɨ	k a n e ʔ o	k a n e ʔ õ	k a n e ʔ õ	k a n e ʔ õ			k a n e õ	i f u a k a p a p	ɨ p u r i	e r a	kʷ e r e	u kʷ a r i	k a n i ʔ o	kʷ e r a j	k e n e ã		k a n e ʔ õ	k a n e ʔ o	p ɨ k a n e ʔ o	k a n e ʔ õ	e ʔ õ	k a n e ʔ õ	p ɨ t j u w a	a i w	k a n e ʔ õ	k a n e a	k u r a j
215_tobacco	t a t a t͡ʃ i ŋ a β a	p e t ɨ̃	p e t ɨ m	p e t ɨ̃	p e t ɨ m	p e t ɨ m	p e t a m	p e	t ã t ã t i	p e t u m	m ɨ t ɨ	p e t ɨ m	t a t a t ɨ̃	p e t ɨ̃	a t a t ĩ	t a t a t ĩ	t a t͡ʃ ĩ	p e t ɨ m		t a t a t i n i	s u h u		t a t a t i n i	p e t ɨ m o p i ʔ a r	m o h a t a t ĩ h a β a	t a t a ʃ ɨ̃	p e t ɨ m	p e t ɨ m	p e t ɨ m		p e t ɨ m	p ɨ t ɨ m	m o t a t͡ʃ ĩ g a	p é t i	p e t ɨ̃	p e t ɨ̃	a b i j ú	t a t a t͡ʃ i
216_tomorrow	k o ʔ e m a m e	a i w a		h a ʔ ɨ w e	o s e ʔ i w e	a r i m o	p ɨ a dʒ e w e	k o ʔ e m	p ɨ a r e v e	k o e m e	i kʷ a m e h ẽ		k o ʔ e	k õ e r a	k o ʔ r õ	a ŋ i i b e		o ʔ i r a n	a i ʔ i w e		m o ŋ k i ʔ i t e	i r a n e	k a m u t u n i	o t͡ʃ e ʔ i w e	k o ʔ e m a m e	k õ õ		a t͡ʃ e i w e	p ɨ h a w é	k o ʔ e m a m e	o i r ã	k o ĩ	k o ʔ e m a m e	k ú i r e	k o w i		p o n i m e	j i t͡ʃ ã
217_tongue	k õ a		a p e k ũ	a p e k õ	k o a			ẽ k u	k ũ	a w u	j a m u k ũ	a p e k u	k u	k ũ	k ũ	a p ẽ k ũ		k õ	k u	k u m ɨ r a	ẽ k u	k ũ	k u m ɨ r a		k õ a	e k õ		k õ		k õ	a p e k ũ	e mb e	k õ a	k u	a p e k ũ			ẽ k j õ
218_tree	ɨ β	i w i r ã	ʔ ɨ w a	i	ʔ ɨ w	ɨ w ɨ r	ɨ w ɨ r a	ʔ ɨ p	ɨ w ɨ r a	w ɨ l a	m i r a	ɨ w ɨ r a	ɨ β ɨ r	ɨ w ɨ r a	ɨ β ɨ r a	ɨ β ɨ r a	w ɨ r a	ɨ w ɨ r a	ʔ ɨ p	ɨ w ɨ r a	ʔ ɨ p	m i r a	ɨ w ɨ r a	ʔ ɨ β	ɨ β	i r a	ʔ ɨ w a	h ɨ w ɨ r ã	i w i r	ɨ β	ɨ w ɨ r	m i r a	ɨ β	i w í r a	ʔ ɨ	ʔ ɨ	a w e r a	i r a
219_turtle	j a v o ʃ ia	j a b u t i	t a w a s ia	ɲ a t͡s ɨ			ʒ ao t i	t a w o z ɨ	k a r u m e	t o s i	k a m i ʃ a	z au ʃ i p e h o	k a r u m e	k a r u m e	k a r u m e		k r o m m e		j o w o s i p w uu	l i p i t͡s u	w a w o r i	j u r a r a			j a β o t i	k õ n õ m e		t͡ʃ ã w a t͡ʃ io	p a r a ʔ ɨ w p e	j a β o t i	j u r a r a		j a β o ʃ ia p e r ea	ð o w o t͡s ɨ	p i l i t a	t a w a r u		k e r ẽ m b e
21_blow	p e j u	w a w ɨ		u a w i	m o n ɨ ŋ	m o n ɨ k	p ei̯ u	p e t u	p e j u	p e dʒ u	p ɨ	p e z u	p e j u	p e dʒ u	p e j u	p e j u	p e j u	p e j u		t͡s a p u	p e h u	p e v u	s a p u	p ɨ	p e j u	ɨ t͡ʃ u		p e t͡ʃ o	p e z u	p e j u	p e j u	p e j u	p e j u	p e ð u	p e j u	p e j u	p e dʒ u	i j u
220_two	m o k õ j	m u k ũ	m u k ũ j	m u k ũi	m o k o j	m o k o j	m o k õ j	m o k õ j	m o k õ j	m o k õ j	m a k ũ j	m o k o z	m o k õ j	m o k o j̃	m o k õ j	j u n i o		m o k õ j	m u k ũ j	m u k u i k a	t ɨ p ɨ	m ũ k ũ j	m u k u j k i a	m o k o j	m o k o ɲ	d͡ʒ e r e m o	m u k u j	m o k õ j	m u k u j	m õ k o j	m o k õ j	m o k õ j	m õ k o j	m o k w e i	m o k ũ j	m o k ũ j	m ɔ k ã j	j e s e
221_ugly	t e ʔ β a r	p w i h ɨ			a w a ɨ p a m	a i β e r			k a v ĩ a		m ɨ n ɨ h ɨ̃	p w i h i	p i t͡ʃ ɨ β ɨ	β a i k u e	β a i			j a ʔ i w e r		a ɨ t͡s e	k a h u ʔ i	p u ʃ i w e r a	a i s ɪ	p i ʔ e i ʔ ɨ m	t e ʔ β a r	e i k ã				t e ʔ β a r	a i β	r ã i	t e ʔ β a r	a ɨ ʝ e	j a i w e			n a n õ ŋ i a
222_unclemobr	t u t ɨ r	t u t ɨ	i ʃ u p a w ɐ	u d a	t o t ɨ r a			t u t ɨ t	t u t ɨ	p a ʔ i		t u t ɨ r	t u t ɨ	t u t ɨ		m i a ŋ a	t u t ɨ	t u t ɨ t		p a i	a m ũ	t u t i r a	t u t ɨ r a	k ɨ β ɨ r a h ɨ	t u t ɨ r	t͡ʃ a r e	t u t ɨ r	t o t ɨ t	t u t ɨ r	t u t ɨ r	t u t ɨ r	i h ẽ m ã i		t ú t i	p a ʔ i			t ã ĩ r u k i a t ũ n d a
223_untie	r a β					m u i t		z a p	j o r a	j e r a		kʷ a r a w	j o r a	dʒ o r a	j o r a	j o r á		p o i		t ɨ k ɨ t a w a r ã		j u r a w	j u r a w a k a	m o h i n	r a β	nd o s o	w a r a w	k a n a m	z u r a w	r a β	o r a β	j i r a r	r a β	ð u r a	m o k i		p o r a	m o r o k i á
224_urinate	k u r u g	k u r u		k u r u	k o r o ŋ	k o r u k	k a r u k	k a l u k	kʷ a r u	k a r u	k a k a r u	k a r u k	kʷ a r u	kʷ a r u	kʷ a r u	kʷ a r u	k a r u	k u r u k		kʷ a r u k a	w e h i	k a r u k a	kʷ a r u k a	k o r o g	k u r u g	kʷ a r u	k u r u k a w		k a r u k	k u r u g	k a r u k	k a ʔ a r u	k u r ɨ k	kʷ a r u	k a l u		kʷ a r o	kʷ a r u
225_vein				a j ɨ t͡ʃ e		a j u			a j ɨ	a ʤ ɨ g		u w ɨ r a p e	a j u	u g u j r a p e				a j ɨ k		t͡s a j k a		s a j k a	s a j ɨ k a	w ɨ o m	a j ɨ k	e r a t͡ʃ i	a s ɨ g		a z u k		a j u k	r ɨ m b o		a ð i w e	a j i ɨ	a j i e	a ʒ ɨ	r a j i
226_vomit	p o p o j ɨ	e ʔ ẽ		p w i h i			w e n	e ʔ e n	gʷ ẽ e	u g	h u	u h u k	gʷ e ʔ ẽ	mb o j e β ɨ	gʷ e ʔ ẽ	w ẽ ʔ ẽ			m o p ɨ ʔ a p o j ɨ	w e n e		w e n a	w ɪ n a	β e ʔ e n		kʷ e e					m o j e β ɨ r	w e ʔ e n	p o j u	w e w e ʔ e				kʷ e
227_vulture			u r u β u	i r i β u	o r o w o	u r u v u	u r u w u	ɨ ʐ ɨ w u	u r u h u gʷ a	u r u b u	u r u	a p i t a w	u r u β u	u r u β u	ɨ r ɨ v u	u r u b u		ɨ r ɨ w u	u r u w ua	u r u p u	u r u w u	u r u b u	u r u p u	o r o w o	h u r u β u h u	u r u b u	u r u w u	h ɨ r ɨ w o	u r u ʔ u	h u r u β u h u	u r u β u	k a r a k a r a		u r u w u	u r u w u p i j ũ	u r u β u p i j ũ	h a r a r a w	u r ú w u
228_walk	a t a	a t ã		a t ã	a t a	a t a	a t a	e k o	w a t a	a t a	w a t a	a t a	gʷ a t a	gʷ a t a	gʷ a t a	w a t a		a t a	a t a	w a t a	w ɨ r ɨ	w a t a	u w a t a	a t a	ʔ a t a	kʷ a t a	w a t a	ã t ã	w a t a	ʔ a t a	a t a	w a t a	a t a	w a t a	a t a	a t a		kʷ a t a
229_want	p o t a r	p u t ã		p o t a n	p o t a n	p o t a t	p u t a t	kʷ a k u p	p o t a	p o t a n e	t ɨ r ɨ m ɨ̃	p u t a r	p o t a	p o t a	p o t a	p o t a		p o t a t	r e k o	t͡s e t a	k ɨ ʔ s a t	p u t a r i	s ɪ t a	p o t a n	p o t a r	o ʃ ɨ		p a t a n	p u t a r	p o t a r	p o t a r	p u t a r	p o t a r	p o t a r	p ɔ t a	t o p i		s é r e t e
22_bone	k ã ŋ ã	k ɨ̃	k a ŋ a	t͡ʃ i	k ɨ ŋ	k ɨ̃ ŋ	k a ŋ	k a ŋ	k ã gʷ e	k a w a n	k ã	k ə g	k ã ŋ	k a ŋʷ e	k a ŋ gʷ e	k ã ŋʷ e r	k ã	k a ŋ	k a ʔ g	k a n u a r a	k a ŋ	k ã w e r a	k a n u a r a	k ɨ g	k ã ŋ ã	k iã ŋ e	k õ ŋ	k ɨ g	k a ŋ	k a ŋ k ã ŋ ã	k a ŋ	ʃ ã ŋʷ e r	k ã ŋ ã	k a w e	k a ŋʷ e	k a ŋʷ e r	k a	k j ã g w e
230_wash	h e j	h a		p i t u k a	m o h o ŋ	f u t u k a	j o j		p u t u k a	k u s u g	m i t i k a	h e z	j o h e j	j o i	j o h e j	j o s e i		p o t u k a	p o e í	t͡s i k u t a		m u j a s u k a	s u k u t a	p o h e i	p o t u k a	t͡ʃ o s e ɨ		p a t o k ã		p o t u k a	p a t u k a	k u t u	h e j	p i t u k a	k u t u			i r e
231_wasp	k a β	k ã				k a w	k a w		k a v ẽ e	k a	k a	k a w	k a β	k a β e	k a v a	k a u	k ɨ v e ʔ ẽ	k a p	k a p	k a w a	ŋ a p	k a w a	k a w a	k a w	k a β	kʲ a	k a w	k a m	k a w	k a β	k a β	k a	k a β	k a u	k a a		k ɨ a	
232_water	ɨ h ɨ a	ɨ		i	ʔ ɨ	ɨ	ɨ	ʔ ɨ	ɨ ɨ	ʔ ɨ	ʔ ɨ	ʔ ɨ	ɨ	ɨ	ɨ	ɨ		ɨ	ʔ ɨ	u n i	ʔ ɨ	i í	u n i	ʔ ɨ	ɨ h ɨ	i		h ɨ	ʔ ɨ	ɨ h ɨ	ɨ	ɨ	ɨ h ɨ	i	ɨ			i
233_weexcl	o r e	u r a	a r e	m ɨ d e	o r e	o r e	o r e	a ʐ o	o r e	o l e	a r e á	u r e	o r e	o r e	o r e	o r e	o r e	o r e	o r e	i n i		j a nd e	t a n a	o e	o r e	u r e		a r e	u r e	o r e	o r e	j a n e	o r e	o r e	o r e	o r e	a r e	o r e
234_weincl	ɲ a nd e	j e n e		b ɨ d e	t͡s a n e	d͡ʒ a n e	j a n e	t͡s a n e	j á nd e	n õ d e	a r e á	z a n e	j a nd e	j a ʔ e	j a n e	j a nd e		j e n e	j a n e	i n i	a i t o	j a nd e	j i n i	t͡ʃ a n e	ɲ a nd e	n a nd e		t͡ʃ a n e	z a n é	ɲ a nd e	j a nd e	j a nd e	a r e	ð a n e	j a n e			n ã d e
235_wet	a k ɨ̃ m		a k ɨ m		a k ɨ m	a k ɨ m	r u r u		ã k ɨ	t ɨ ʔ u t	t a ʔ a m u h ũ	ə k ɨ m	ã k ɨ̃	a k ɨ	a k ɨ̃	ã k ĩ		a k ɨ m	a k ɨ m	t ɨ a	a p u k	a k ɨ m	t ɨ a	a k ɨ m	k ɨ̃ m	ɲ i a	a k ɨ̃ m	ã k ɨ m	ə k ɨ m	a k ɨ̃ m	a k ɨ m	ã k ɨ m	a k ɨ̃ m	ð i a	s u ʔ ũ	a k ĩ	a ɣ i á p a	i s a i
236_white	t ĩ ŋ ã h ĩ m	t͡ʃ ĩ		t ĩ	t͡ʃ i ŋ	t͡ʃ i ŋ	t i ŋ	t i ŋ	t ĩ i	t͡s i ŋ	t͡ʃ ũ	t͡s i ŋ	t ĩ	t͡ʃ ĩ ĩ	m o r o t ĩ	t͡ʃ ĩ	t͡ʃ ĩ	t͡s i ŋ	s i ŋ	t i n i	k ɨ t͡s i ŋ	t i ŋ a	t i n i	t͡ʃ i g	t ĩ ŋ ã h ĩ	ʃ ĩ	t͡ʃ ɨ ŋ	s i ŋ	t ĩ ŋ	t ĩ ŋ ã h ĩ	t i ŋ	ʃ ĩ	t ĩ ŋ ã h ĩ	t͡s ɨ	s ĩ	s ĩ ŋ		t͡ʃ i
237_wife	g a r e m i r e h ẽ	e m i r i k o	e m i r e k o	e m ɨ d ɨ k a	a t ɨ	e m i r i k a r	e m i r e k o	a t ɨ	e mb i r e k o	r e r e kʷ a t	h a m i r e k o	e m i r e k o	e m i r e k o	ẽ m i r e k o	e mb i r e k o	e m i r e k o	b r e k o	e m i r e k o	m i r e k o	e m i r i k u a		i m i r i k u	m i r i k ua	t͡ʃ i r a t ɨ g	e m i r e k o	e d i r e k o	e m i r e k o	ã t ɨ	e m i r e k o		e m i r e k o	a k e h a r	i m i r i k o	e m ɨ r e k o	l e kʷ a	e r e kʷ a	m i r a d̥ a	b i a n é s i
238_wind	ɨ w ɨ t u			i w i t ɨ	ɨ w ɨ t o	ɨ β ɨ r a	ɨ t u	ɨ w ɨ t	ɨ v ɨ t u	w ɨ t u	w u t u	ɨ w ɨ t u	ɨ β ɨ t u	ɨ β ɨ t u	ɨ β ɨ t u	ɨ β ɨ t u			ɨ β ɨ t u	ɨ w ɨ t u	ɨ w ɨ t u	w i t u	ɨ w ɨ t u	ɨ β ɨ t o	ɨ w ɨ t u	k ɨ r ɨ r ɨ ã		ɨ w ɨ t o		ɨ w ɨ t u	ɨ β ɨ t u	ɨ w ɨ t u	ɨ w ɨ t u	i w í t u	ɨ w ɨ t u		a w o t o	i β i t u gʷ a s u
239_wing	p e p o	p e p u	p e p o	p e p a	p e p a	p e p o	p e p o	p e p o	p e p o	p e p o	i p a p o	p e p o	p e p o	p e p o	p e p o	p e p o	p e p o	p e p o	j ɨ w a	p e p u	p e p o	p e p o	p ɪ p u	p e p a	p e p o	e o		p e p a	p e p o	p e p o	p e p o	i p ɨ p o	p e p o	p é p o	p e p o k ã	p e p u k ã	p e p a	
23_boy		k u n u m ĩ			k o n o m i	k u n u m i	m i t ã ŋ	k a m i n o a t	k u n ũ m i	a w a kʷ e l a l a ʔ i l		kʷ a r e r	k u n ũ m ĩ	k u n u m i	m i t ã	k u n u m i	e m b o g i	k u n u ʔ u m	k u n u m i	k u n u m i	k u r u m	k u r u m ĩ	t͡ʃ u n a n i	k o n õ m i	p ɨ ʔ a	t͡ʃ u kʷ a a k e	k o n o m i	k o n o m ĩ	k u n u m i	kʷ i m a ʔ e	k u r u m ĩ	k u n u m i r a ɨ r	k u r u m ĩ	k u n u m ɨ	j a ʔ ɨ kʷ i m a ʔ e		t͡ʃ ĩ ə̃ kʷ ã j	
240_wing2	p e p o ə	p e p o		p e p a	a b a		a w a	a p	a gʷ e	p e p o	a	a w e r	gʷ i r a	a gʷ e	a i h a	mb a ʔ e p e p o		p e p o	p e p o	w ɨ r a t͡s a	a p	s a w a	s a w a	a w	p e p o	e o			a w	p e p o	a β	a	p e p o	a w e	p e p ɔ			e r o o
241_woman	k u ɲ ã	k u j ã	k u ɲ ã ŋ a	k u ɲ i	k o s o	k u ɲ ɨ̃	k u j ã	k u j ã	k ũ ŋ a	w ã ĩ w ĩ	kʷ a j ã	i h ɨ a ʔ u	k u j ã	k ũ ŋ ã	k u ɲ a	k u j ã	k u j ã	k u j ã	k ũ j ã	w a i n a	h a r ɨ p o r i a	k u j ã	w a y n u	k o t͡ʃ u	k u ɲ a	k u ɲ ã	k u s o	k o t͡ʃ ɨ̃	k u z ə	k u ɲ ã	k u ɲ ã	k u j ã	k u ɲ ã	k u ð ə	k u j ã	k u j ã	k o ɲ a	k j u j a
242_worm		e w i ʔ i		h e β o ʔ i	e w o ʔ i	e w o ʔ i	e o i		a s o	i w o ʔ i		a m i r i k u r	ɨ β ɨ a s o	h e β o ʔ i	h e β o i ʔ i	t͡s e b o ʔ i		e w o ʔ i	e w õ ʔ i	t͡s ɨ w ɨ j	u w i	ʃ i b u i	u r a	e β o ʔ i	e β o ʔ i	o s o		e w a			e b o ʔ i	s o w o ʔ i		h e w o ʔ i	e β o ʔ i	e β o ʔ i		b a r a s o
243_yellow	j u β	j u				dʒ u p	j u w a j	t u w	j u	t a w a	j u	j u a h ɨ	j u	dʒ u	s a ɨ j u	j u		j u p		i ʔ u	k a ʔ a j	t a w a	i j u	t a r a w e w a t͡ʃ i g	j u β	e t͡ʃ u			z u	j u β	j u β	j u	j u β	ð u k i r i		j u		a j u
