Cognate_ID,Azeri,Baraba,Bashkir,Chuvash,CodexCumanicus,CrimeanTatar,Dolgan,Gagauz,KaraKalpak,KarachayBalkar,Karaim,Kazakh,Khakas,Khalaj,Kirghiz,Kumyk,MiddleChulym,Nogai,NorthAltai,OldUyghur,Salar,SarygYugur,Shor,SouthAltai,Tatar,Tofa,Turkish,Turkmen,Tuvan,Uighur,Uzbek,Yakut
217_thinkv,d y ʃ y n,o j l a,u j l a,ʃ u ɣ ə ʃ l a,s a g i n,o j l a,,d y ʃ y n,o j l a,o j l a,s a ɣ ɯ n,o j l a,s a ɣ ɯ n,s a n,o j l a,o j l a ʃ,p øː g u n,o j l a,s a n a,s a q ɯ n,,s a q ɯ n,p ø g y n,s a n a,u j l a,s a ɣ ɯ n,d y ʃ y n,,b o d a,o j l a,o j l a,s a n a
218_this,b u,b u,b ɯ l,k u,b u,b u,b u,b u,b u l,b u,b u,b u l,p u,b o,b u,b u,p u,b u,p o,b u,b u,p u,p o,p u,b u,b o,b u,b u,b o,b u,b u,b u
219_three,y tɕ,ø tɕ,ø s,v i ɕː ĭ,u tɕ,y tɕ,y s,y tɕ,y ʃ,y tɕ,y tɕ,y ʃ,y s,yː tɕ,y tɕ,y tɕ,y tɕ,y ʃ,y tɕ,y tɕ,u ʃ,y ʃ,y ʃ,y tɕ,ø tɕ,y ʃ,y tɕ,y tɕ,y ʃ,y tɕ,u tɕ,y s
21_black,ɢ a r a,q a r a,q a r a,χ u r a,k a r a,q a r a,k a r a,k a r a,q a r a,q a r a,k a r a,q a r a,χ a r a,q a r a,q a r a,q a r a,q a r a,q a r a,q a r a,q a r a,q a r a,q a r a,q a r a,q a r a,q a r a,q a r a,k a r a,ɢ a r a,q a r a,q a r a,q ɔ r a,χ a r a
220_throatn,b o ɣ a z,,t a m a q,p ɯ r,t a m a c,b o ɣ a z,k a b ɯ r g a,b u a z,t a m a q,t a m a q,t a m a q,t a m a q,t a m a χ,b o ɣ ɯ z,t a m a q,t a m a q,t a m a q,t a m a q,p a k uː r,t a m ɣ a q,p o ɣ t a χ,p o ɣ ɯ s,t a b a q,t a m a q,t a m a q,b oː s,b o ɣ a z,b o ɣ a z,b oː s t aː,t a m a q,t ɔ m ɔ q,t a m a χ
221_throwv,a t,t a ʃ l a,t a ʃ l a,p ə r a χ,,a t,b ɯ r a k,a t,ɯ l a q t ɯ r,a t,a t,l a q t ɯ r,t a s t a,h a t,t a ʃ t a,t a ʃ l a,t a s t a,b ɯ l a q t ɯ r,tɕ e l,k e m i ʃ,,t a r d a,t a ʃ t a,t a ʃ t a,t a ʃ l a,q a ɣ,a t,t a ʃ l a,d a ʒ a,t a ʃ l a,t a ʃ l a,b ɯ r a χ
222_tiev,b a ɣ l a,p a w l a,b æ j l æ,ɕ ɯ χ,,b a ɣ l a,b aː j,b aː l a,b a j l a,b a j l a,b a v l a,b a j l a,p a l ɣ a,v aː,b a j l a,b a j l a,p a ɣ l a,b a j l a,p o ɣ,b a,p a ɣ l a,p o ɣ,p a ɣ l a,b u l a,b æ j l æ,b a ɣ l a,b a ɣ l a,b a ɣ l a,b a ɣ l a,b a ɣ l a,b ɔ ɣ l a,b aː j
223_tobecomerottenv,tɕ y r y,,s e r e,ɕ ø̆ r,,tɕ y r y,h ɯ t ɯ j,tɕ y r y,ʃ i r,tɕ i r,ts i r i,ʃ ĭ r,ĭ r ĭ k t e,tɕ i rː y,tɕ i r,tɕ i r i,s aː s,ʃ i r i,i r i,j i r y,tɕ y r,j i z,i r i k t e,tɕ i r i,tɕ e r,tɕ ɯ d ɯ,tɕ y r y,tɕ y j r e,i r i,tɕ i r i,s a s,s ɯ t ɯ j
224_tomorrow,,ɛ r t ɛ n,i r t æ g æ,ɯ r a n,t a n d a,j a r ɯ n,h a r s ɯ n,j a r ɯ n,e r t e ŋ,t a m b l a,t a n d a,e r t e ŋ,t a ŋ d a,,e r t e ŋ,t a ŋ a l a,t a ŋ n a,e r t e n,t a ŋ d a,j a r ɯ n,eː t ɛ,t a ɣ ɯ n,t a ŋ d a,e r t e n,i r t æ g æ,t u r a j,j a r ɯ n,e r t i r,e r t e n,æ t æ,e r t a g a,s a r s ɯ n
225_tonguen,d i l,t i l,t e l,tɕ ĭ l ɣ e,t i l,t i l,t ɯ l,d i l,t i l,t i l,t i l,t ĭ l,t ĭ l,t i l,t i l,t i l,t ĭ l,t i l,t i l,t ɯ l,ts i l,t e l,t i l,t i l,t e l,d ɯ l,d i l,d i l,d ɯ l,t i l,t i l,t ɯ l
226_toothn,d i ʃ,,t e ʃ,ʃ ə l,t i s,t i ʃ,t iː s,d i ʃ,t i s,t i ʃ,t i s,t ĭ s,t ĭ s,t iː ʃ,t i ʃ,t i ʃ,t ĭ s,t i s,t i ʃ,t i ʃ,t i tɕ,t ɯ s,t i ʃ,t i ʃ,t e ʃ,d ĭ ʃ,d i ʃ,d i ʃ,,tɕ i ʃ,t i ʃ,t iː s
227_treen,a ɣ a ʥ,a ɣ a ts,a ɣ a s,j ɯ v ə ɕ,t e r a c,t e r e k,m a s,aː tɕ,a ɣ a ʃ,t e r e k,t ø r æ k,a ɣ a ʃ,a ɣ a s,h a ɣ a tɕ,ʥ ɯ ɣ a ʨ,t e r e k,aː tɕ,t e r e k,a ɣ a ʃ,ɯ ɣ a tɕ,a ɣ a tɕ,t e r e k,a ɣ a ʃ,a ɣ a ʃ,a ɣ a tɕ,n e ʃ,a ɣ a tɕ,a ɣ a tɕ,ɯ j a ʃ,j a ɣ a tɕ,,m a s
228_true,d o ɣ r u,tɕ ɯ n,,tɕ ə n,tɕ i n,d o ɣ r u,k i r d i k,d oː r u,ʃ ɯ n,k e r t i,d o ɣ r u,ʃ ɯ n,s ɯ n,t o ɣ r ɯ,ʨ ɯ n,g e r t i,s ə n,u ʃ ɯ n,tɕ ɯ n,tɕ ɯ n,tɕ e ŋ,tɕ ɯ n,ʃ ɯ n,tɕ ɯ n,tɕ ɯ n,ʃ ɯ n,g e r tɕ e k,tɕ ɯ n,ʃ ɯ n,tɕ i n,,k ɯ r ʥ ɯ k
229_turnv,d ø n d æ r,,b o r,p ŏ r,,,t u o r a t,d ø n d y r,b u r,b u r,ts i v i r,b u r,a j l a n d ɯ r,tɕ æ v i r,b u r a,b u r,,b u r,a j l a n d ɯ r,e v i r,,,p u r,b u r u,b o r,,d ø n d y r,ø w y r,e r g i l d i r,b u r,b u r a,e r g i t
22_bloodn,ɢ a n,q a n,q a n,j u n,k a n,q a n,k aː n,k a n,q a n,q a n,k a n,q a n,χ a n,q aː n,q a n,q a n,q a n,q a n,q a n,q a n,q a n,q a n,q a n,q a n,q a n,q a n,k a n,ɢ aː n,χ a n,q a n,q ɔ n,χ aː n
230_two,i k i,e k i,i k e,i k ĭ,e k i,e k i,i kː i,i k i,e k i,e k i,e k i,e k ĭ,ĭ k ĭ,æ kː i,e k i,e k i,i g ĭ,e k i,e k i,e k i,i ʃ k i,i ʃ k e,i j g i,e k i,i k e,iˁ h i,i k i,i k i,i j i,i kː i,i kː i,i kː i
231_vomitv,ɢ u s,,q o θ,χ ŏ s,c u s,q u s,,k u s,q u s,q u s,k u s,q u s,χ u s,q u s,q u s,q u s,q u s,q u s,q u s,q u s,,q u s,,q u s,q o s,q uˁ s,k u s,ɢ u s,q u s,q u s,q u s,χ o t u o l aː
232_walkv,j e r i,j ø r,j ø r ø,ɕ y r e,j u r,j y r,b a r,g e z,ʒ y r,ʥ y r y,j y r y,ʒ y r,tɕ ø r,j o r ɯ,ʥ y r,j y r y,tɕ ø r,j y r,tɕ o r,j o r ɯ,j y r,p a r,tɕ ø r,b a s,j ø r,tɕ o r u,j y r y,j ø r e,tɕ o r u,ʒ y r,j u r,χ aː m p
233_warm,,,j ɯ l ɯ,ə ʒ ə,i sː i,s ɯ ʥ a q,i t iː,s ɯ ʥ a k,ʒ ɯ lː ɯ,ʥ ɯ l ɯ,j ɯ l ɯ,ʒ ɯ l ɯ,tɕ ɯ l ɯ ɣ,h i sː iː,ʥ ɯ l uː,j ɯ l ɯ,tɕ ə l ə ɣ,j ɯ l ɯ,j ɯ l ɯ ɣ,j ɯ l ɯ ɣ,ɯ sː ɯ,j i l ɯ ɣ,tɕ ɯ l ɯ ɣ,ʥ ɯ l u,ʥ ɯ l ɯ,tɕ ɯ l ɯ ɣ,ɯ l ɯ k,j ɯ l ɯ,tɕ ɯ l ɯ ɣ,i lː i q,i l i q,s ɯ l aː s
234_washv,j u,j u,j ɯ w,ɕ u,j uː n,j u v,h uː j,j ɯ k a,ʒ u w,ʥ u w,j u v,ʒ u,tɕ u ɣ,j uː,ʥ uː,ʥ u w,tɕ u n,j u w,j a j q a,j u,j u,j u,tɕ u n,ʥ u n,j u w,tɕ u,j ɯ k a,j u w,tɕ u ɣ,ʒ u j,j u v,s uː j
235_watern,s u,s u,h ɯ w,ʃ ɯ v,s u,s u w,uː,s u,s u w,s u w,s u v,s u,s u ɣ,s u w,s uː,s u w,s u ɣ,s u w,s u ɣ,s u v,s u,s u,s u ɣ,s uː,s u,s u ɣ,s u,s u w,s u ɣ,s u,s u v,uː
236_weavev,t o χ u,s o q,h u q,t ø̆ r t,,t o q u,,d o k u,t o q ɯ,s o q,s o χ,t o q u,s o q,t o q u,s o q,s o q,,s o q,,t o q ɯ,,s o q,,s o q,s u q,,d o k u,d o q a,a r ɣ ɯ,t o q u,t o q i,ø r
237_wet,j a ʃ,,e w e ʃ,,,s ɯ l a q,nʲ ɯ l tɕ a g a j,j a ʃ,h ø l,s uː,j a ʃ,s u,ø l,h eː l,s uː,s u w,s u ɣ l u ɣ,s u w,s u ɣ,,o j ʃ i,ʃ ɯ d ɯ q,ø l,s uː l u,s u l ɯ,ø l,ɯ s l a k,ø l,ø l,h ø l,s u v,i n tɕ e ɣ e j
238_what,n æ,n e m æ,n i,m ĭ n,n e,n e,,n e,n e,n e,n e,n e,n i m e,n ɛː s ɛ,e m n e,n e,n ø m e,n e,n e,n e,n æ,n i,n oː,n e m e,n i,tɕ y,n e,n æ m e,ʨ yː,n i m æ,n i m a,t u o χ
239_when,h a tɕ a n,q a tɕ a n,q a s a n,χ ŏ ʑ a n,q a z a n,n e + v a q ɯ t,k a h a n,a tɕ a n,q a ʃ a n,q a tɕ a n,k a ts a n,q a ʃ a n,χ a ʥ a n,q a ʨ aː n,q a tɕ a n,q a tɕ a n,q a ʥ a n,q a ʃ a n,q a ʥ a n,q a tɕ a n,q a ʥ a n,q a ʨ a n,q a tɕ a n,q a tɕ a n,q a j tɕ a n,q aˁ h i n,n e + z a m a n,h a tɕ a n,q a ʒ a n,q a tɕ a n,q a tɕ ɔ n,χ a h a n
23_blowv,æ s,e s,i θ,v ø̆ r,s o q,e s,y r,e s,e s,y r,i r,y r l e,y r,h æ s,s o q,e ʃ,y r,e s,k i r,y r,f y r,e n e t,y b y r,y r,i s,y r,e s,ø s,y r,æ s,e s,y r
240_where,h a r a d a,q a j d a,q a j ð a,ə ɕ t a,q a j d a,q a j d a,k a nː a,n e r e d i,q a j d a,q a j d a,k a j d a,q a j d a,χ a j d a,q aː,q a j d a,q a j d a,q a j d a,q a j d a,q a j t,q a j u d a,q a j d a,q a j t a,q a j d a,q a j d a,q a j d a,q a j d a,n e r e d e,n i r e d e,q a j d a,q e n i,q a j e r d a,χ a nː a
241_which,h a n s ɯ,q a j s ɯ,q a j h ɯ,χ ŏ ʒ ŏ,q a j m,q a j s ɯ,k a h ɯ s,a n g ɯ s ɯ,q a j s ɯ s ɯ,q a j s ɯ,q a j s ɯ,q a j s ɯ s ɯ,χ a j z ɯ,,q a j s ɯ,q a j s ɯ,,q a j s ɯ s ɯ,q a j a z ɯ,q a nʲ,q a j s ɯ,q a j s ɯ,q a j z ɯ,k a ʒ ɯ,q a j s ɯ,q a j s ɯ,h a n g i s i,h a j s ɯ,q a j ɯ z ɯ,q a j s i,q a j s i,χ a j a
242_white,a ɣ,a q,a q,ʃ u r ə,a c,a q,,a k,a q,a q,a k,a q,a χ,h y r y n,a q,a q,a q β u s,a q,a q,y r y ŋ,a χ,a q,a q,a q,a q,a q,,a q,a q,a q,ɔ q,y r y ŋ
243_who,k i m,k i m,k e m,k a m,k i m,k i m,k i m,k i m,k i m,k i m,k i m,k ĭ m,k e m,k i m,k i m,k i m,k ĭ m,k i m,k e m,k e m,k e m,k i m,k e m,k e m,k e m,q u m,k i m,k i m,q ɯ m,k i m,k i m,k i m
244_wide,g e n i ʃ,k æ ŋ,k i ŋ,s a r l a g a,,k e ŋ,k e t i t,g e n i ʃ,k e ŋ,k e ŋ,k e n,k e ŋ,tɕ a l b a χ,k iː ŋ,k e ŋ,g e ŋ,ʨ a l β a q,k e ŋ,k e ŋ,k e ŋ,,k e ŋ,tɕ a l b a q,k e ŋ,k i ŋ,aˁ l h ɯ ɣ,g e n i ʃ,g i ŋ,,k æ ŋ,k e ŋ,k i e ŋ
245_windn,j e l,j e l,j e l,ɕ i l,j e l,j e l,t ɯ a l,,ʒ e l,ʥ e l,j e l,ʒ e l,tɕ i l,j e l,,j e l,tɕ æ l,j e l,,j e l,j e l,j i l,,,ʥ i l,q a t,,j e l,χ a t,,,t ɯ a l
246_wingn,ɢ a n a d,q a n a t,q a n a t,ɕ u n a t,h a n a t,q a n a t,k ɯ n a t,k a n a t,q a n a t,q a n a t,k a n a t,q a n a t,χ a n a t,,q a n a t,q a n a t,q a n a t,q a n a t,q a n a t,q a n a t,q a n a t,q a n a t,q a n a t,q a n a t,q a n a t,h a n a t,k a n a t,ɢ a n a t,tɕ a l ɣ ɯ n,q a n a t,q a n ɔ t,k ɯ n a t
247_with,i l æ,p i l e n,m e n æ n,b a,b i r l a,i l e,n a n,n a n,m e n e n,b l a,b ɯ l a,m e n,d a ŋ,l a,m e n e n,b u l a n,n a ŋ,m a n,v l a,b i r l e,l a,p i l i n,p ɯ l a,l a,b e l æ n,b ĭ l e,i l e,b i l e n,b i l e,b i l æ n,b i l a n,n a n
248_womann,ɢ a d ɯ n,q a t ɯ n,q a t ɯ n,χ ĭ r a r ə m,k a t u,q a d ɯ n,,k a r ɯ,q a t ɯ n,t i ʃ i r ɯ w,q a t ɯ n,,i p tɕ ĭ + k ĭ z ĭ,k i ʃ i,,q a t ɯ n + g i ʃ i,q a t k ĭ z ĭ,χ a t ɯ n q ɯ z,q a t,t i ʃ i,q aː t ɯ n + k eː ʃ,s æ ʒ d ɯ ɣ,t i ʒ i + k i ʒ i,y j k i ʒ i,χ a t ɯ n q ɯ z,q oˁ r h ɯ nʲ a q,k a d ɯ n,,χ e r eː ʒ e n + k i ʒ i,,χ ɔ t i n,
249_woodn,a ɣ a tɕ,a ɣ a tɕ,a ɣ a s,j ɯ v ə ɕ,a g a tɕ,a ɣ a tɕ,m a s,aː tɕ,a ɣ a ʃ,a ɣ a tɕ,a ɣ a ts,a ɣ a ʃ,a ɣ a s,h a ɣ a tɕ,ʥ ɯ ɣ a ʨ,a ɣ a ʨ,aː tɕ,a ɣ a ʃ,a ɣ a ʃ,ɯ ɣ a tɕ,a ɣ a tɕ,j ɯ ɣ a ʃ,a ɣ a ʃ,a ɣ a ʃ,a ɣ a tɕ,n e ʃ,o d u n,a ɣ a tɕ,ɯ j a ʃ,j a ɣ a tɕ,j ɔ ɣ ɔ tɕ,m a s
24_bonen,s y m y k,s y ø k,h ø j æ k,ʃ ŏ m ŏ,s o u a t,k e m i k,o ŋ u o k,k e m i k,s y j e k,s y j e k,s i v e k,s y j e k,s øː k,,s øː k,s y j e k,s øː k,s y j e k,s øː k,s y ŋ y k,s e n i χ,s ɯ m ɯ q,s øː k,s øː k,s ø j æ k,s øː k,k e m i k,s y ŋ k,s øː k,s ø ŋ ɛ k,s u j a k,u ŋ u o χ
250_woodsforestn,a ɣ a tɕ,o r m a n,u r m a n,v ŏ r m a n,o r m a n,o r m a n,m a s,d aː,,a ɣ a tɕ,o r m a n,o r m a n,a ɣ a s,,,o r m a n,aː ʨ a r oː z ə,o r m a n,a ɣ a ʃ + a r a z ɯ,a r ɯ ɣ,a r ɯ ɣ,,a ɣ a ʃ,a ɣ a ʃ,u r m a n,n e ʃ + q aˁ t ɯ,o r m a n,,ɯ j a ʃ,o r m a n,o r m ɔ n,t ɯ a
251_wormn,ɢ u r d,q o r t,s e l æ w s e n,χ u r t,k u r t,q u r t,,k u r t,q u r t,q u r t,k u r t,q u r t,χ u r t,q uː r t,q u r t,χ u r t,q u r t,q u r t,q u r t,q u r t,s u g u l ʥ ɯ ŋ,,q u r t,q u r t,q o r t,q uˁ r t,k u r t,ɢ u r ʨ u q,q u r t,q u r u t,ʨ u v a l ʨ a ŋ,
252_yearn,i l,j ɯ l,j ɯ l,ɕ u l,g i l,j ɯ l,,j ɯ l,ʒ ɯ l,ʥ ɯ l,j ɯ l,ʒ ɯ l,,j i l,ʥ ɯ l,j ɯ l,tɕ ɯ l,j ɯ l,tɕ ɯ l,j ɯ l,j e l,j ɯ l,tɕ ɯ l,ʥ ɯ l,,tɕ ɯ l,j ɯ l,j ɯ l,tɕ ɯ l,ʒ i l,j i l,s ɯ l
253_yellow,s a r ɯ,s a r ɯ,h a r ɯ,,s a r i,s a r ɯ,h a h a r k a j,s a r ɯ,s a r ɯ,s a r ɯ,s a r ɯ,s a r ɯ,s a r ɯ ɣ,tɕ a q ɯ r,s a r ɯ,,s aː r ə ɣ,s a r ɯ,s a r ɯ,s a r ɯ ɣ,s a r ɯ,s a r ɯ ɣ,s a r ɯ ɣ,s a r ɯ,s a r ɯ,s a r ɯ ɣ,s a r ɯ,s a r ɯ,s a r ɯ ɣ,s e r i q,s a r i q,a r a ɣ a s
254_yesterday,d y n æ n,,k i s ɛ g e,ĭ n e r,t u n a c u n,t y n e v i n,b e g e h eː,d y n,k e ʃ e,t y n e n e,t y n e g y n,k e ʃ e,k i ʥ eː,æ ŋ g y r,k e tɕ eː,t y n e g y n,k æ ʥ eː,t y n e g y n,k e ʥ e,,k eː ʥ e,t u ɣ ɯ n,k e tɕ e,k e tɕ e,k i tɕ æ,d yː n,d y n,d y j n,d yː n,t y n y g y n,k e tɕ a,b e ɣ e h eː
25_bottomn,d i b,t y p,t ø p,t ø̆ p,t u b,t y p,t y g e k,d i p,t y p,t y b,t y p,t y p,t y p,t ɛː,t y p,t y p,t y p,t y p,t y p,,a ʃ aː ɣ ɯ,t ɯ p,t y b y n,t y p,t ø p,d y p,d i p,d y j p,d y p,t y p,t a g,t y g e χ
26_brainn,b e j i n,m i j æ,m e j e,m i m e,m e ŋ,m i j,,b e j i n,m i j,m ɯ j ɯ,m i j,m ɯ j,m i i,m e i n,m e e,m i j,m i i s,m ɯ j,m e e s,m e j i,m e ŋ e s,,m iː s,m e e,m i,m eː,b e j i n,b e j n i,m e e,m e j æ,m i j a,m e j iː
27_branchn,b u d a ɢ,b o t a q,b o t a q,t u r a t,b u t a c,p ɯ t a q,t a l a k,b u d a k,p u t a q,b u t a q,b u t a k,b u t a q,,,b u t a q,b u t a q,,b u t a q,p u d a q,b u t ɯ q,p u t a χ,tɕ u q q o,,b u d a q,b o t a q,b uˁ t u q,b u d a k,,b u d u q,p u t a q,,
28_breakv,s ɯ n d ɯ r,s ɯ n d ɯ r,h ɯ n d ɯ r,ɕ ø̆ m ø̆ r,s i n d u r,s ɯ n d ɯ r,,k ɯ r,s ɯ n d ɯ r,s ɯ n d ɯ r,s ɯ n d ɯ r,s ɯ n d ɯ r,s ɯ n d ɯ r,s iː,s ɯ n d ɯ r,s ɯ n d ɯ r,s ə n d ə r,s ɯ n d ɯ r,s ɯ n d ɯ r,s ɯ,s u n d u r,s ɯ,s ɯ n d ɯ r,s ɯ n d ɯ r,s ɯ n d ɯ r,s ɯˁ q,k ɯ r,d ø w,s ɯ q,s u n d u r,s i n d i r,t o h u t
29_breastnchestn,k ø k y s,k ø k r ɛ k,k y k r æ k,k ŏ g ŏ r,k ø k s u g,k o k y s,t y ø s,g yː s,k ø k y r e k,k ø k y r e k,k ø k r ɛ k,k ø k r e k,k ø g ĭ s,k iː e s,k ø k y r ø k,k ø k y r e k,t ø s,k ø k i r e k,k ø g y s,k ø g y z,k y p r æ χ,g ø s,t ø ʃ,k ø g y s,k y k r æ k,t ø ʃ,g ø ɣ y s,k y k r e k,,k ø k r ɛ k,k o k r a k,t y ø s
2_1plpronoun,b i z,b i z,b e ð,e b i r,b i x,b i z,b i h i g i,b i z,b i z,b i z,b i z,b ĭ z,p ĭ s,b i z,b i z,b i z,p ĭ s,b i z,p i s,b i z,p i s e r,m ɨ s,p i s,b i s,b e z,b i s t e r,b i z,b i z,b i s,b i z,b i z,b i h i g i
30_breathev,a l,t ɯ n,t ɯ n,s ɯ v l a,t i n,a l,t ɯː n,s o l u,a l,s o l u,t ɯ n,a l,t ɯ n,,a l,t ɯ n ɯ s,t ə n ŋ a,t ɯ n ɯ s,,t ɯ n,,,t ɯ n,t ɯ n,t ɯ n,t ɯ n,s o l u k,a l,t ɯ n,t i n,ɔ l,t ɯː n
31_burnintrv,j a n,j a n,j a n,ɕ u n,c y j,j a n,g y d eː r i j,j a n,ʒ a n,k y j,j a n,ʒ a n,k ø j,k i e n,ʥ a n,j a n,k o j,j a n,k y j,k y n,k ø j,k y j,k ø j,k y j,j a n,q ɯˁ p,j a n,j a n,q ɯ p,j a n,j ɔ n,u m a j
32_carryv,a p a r,a l ɯ p,a l ɯ p,i l z e,,a l ɯ p,i l t,t a ʃ ɯ,a l ɯ p,a l ɯ p,a l ɯ p,a l ɯ p,a,,a l ɯ p,a l ɯ p,a,a l ɯ p,a p a r,e l t,t aː ʃ ɯ,a l,a p a r,a p a r,k y t ɛ r e p,i t,t a ʃ ɯ,g ø t e r,a p,e l i p,ɔ l i b,i l t
33_cheekn,j a n a ɢ,j a ŋ a q,j a ŋ a q,p i t + ɕ ŏ m a r d i,,j a n a q,h ɯ ŋ aː k,j a n a k,,ʥ a j a q,j a j a k,b e t,n aː χ,,b e t,j a j a q,ʨ aː ɣ ə m,b e t,j aː q,,j a n a χ,j a ŋ a q,n aː q,ʥ a a q,j a n a q,,j a n a k,j a n a q,tɕ aː q,m æ ŋ z a,j u z,i e d e s
34_chewv,tɕ e j n æ,,s æ j n æ,tɕ ŏ m l a,c u ŋ,tɕ a j n a,ɯ ʃ t aː,tɕ i j n e,ʃ a j n a,tɕ a j n a,tɕ a j n a,ʃ a j n a,t a j n a,tɕ æ j n æ,tɕ a j n a,tɕ a j n a,t a j n a,ʃ a j n a,ʃ a j n a,,tɕ æ j n æ,,t a j n a,tɕ a j n a,tɕ æ j n æ,t a j n a,tɕ i ɣ n e,tɕ e j n e,d a j n a,tɕ a j n a,tɕ a j n a,ɯ s t aː
35_childkintermn,u ʃ a ɢ,p a l a,b a l a,a tɕ a,o g u l,b a l a,,u ʃ a k,b a l a,b a l a,b a l a,b a l a,p a l a,b a l a,b a l a,b a l a,k æ tɕ,b a l a,b a l a,o g l a n,p a l a,m u l a,p a l a,b a l a,b a l a,u r u ɣ,ʨ o ʥ u k,tɕ a ɣ a,tɕ a ʃ + u r u ɣ,b a l a,b ɔ l a,
36_chinn,tɕ æ n æ,i n æ k,e j æ k,,i ŋ a c,,h æ ŋ i j æ,tɕ e n æ,i j e k,,,ĭ j e k,e e k,,e e k,,eː g ĭ,i j e k,e e k,e ŋ e k,e n i χ,,eː k,e e k,i j æ k,e r i n,tɕ e n e,e ŋ e k,s e g e l,e ŋ æ k,i j a k,s e ŋ i j e
37_clawn,ʥ a j n a ɢ,,t ɯ r n a q,tɕ ĭ r n e,t e r m a c,t ɯ r n a q,t a r b a k,t ɯ r n a k,t ɯ r n a q,t ɯ r n a q,t ɯ r n a χ,t ɯ r n a q,t ɯ r ɣ a χ,,t ɯ r m a q,t ɯ r n a q,t ə r ɣ a q,t ɯ r n a q,t ɯ r v a q,,,,t ɯ r ɣ a q,t ɯ r m a χ,t ɯ r n a q,d ɯ r b a q,t ɯ r n a k,d ɯ r n a q,d ɯ r b a q,t i r m a q,t i r n ɔ q,t ɯ ŋ ɯ r a χ
38_cloudn,b u l u t,p o l o t,b o l o t,p ø̆ l ø̆ t,b u l u t,b u l u t,b ɯ l ɯ t,b u l u t,b u l t,b u l u t,b u l u t,b u l t,p u l u t,b u l ɯ t,b u l u t,b u l u t,p u l u t,b u l ɯ t,p u l u t,b u l ɯ t,p u l u t,p u l u t,p u l u t,b u l u t,b o l ɯ t,b u l u t,b u l u t,b u l u t,b u l u t,b u l u t,b u l u t,b ɯ l ɯ t
39_cold,s o j u ɢ,,h ɯ w ɯ q,s i v ĭ,s a o ɢ,s u v u q,t ɯ m n ɯː,s uː k,s u w ɯ q,s u w u q,s u v u k,s u ɯ q,s oː χ,s o v u q,s uː q,s u w u q,s oː q,s u w ɯ q,s oː q,s o ɣ ɯ q,s o χ,t o t,s oː q,s oː q,s u ɯ q,s oː q,s o ɣ u k,s o w u q,s oː q,s o ɣ u q,s ɔ v u q,t ɯ m n ɯː
3_1sg,m æ n,m i n,m i n,e b ĭ,m e n,m e n,m i n,b æ n,m e n,m e n,m e n,m e n,m i n,m æ n,m e n,m e n,m æ n,m e n,m e n,b e n,m e n,m e n,m e n,m e n,m i n,m e n,b e n,m e n,m e n,m æ n,m e n,m i n
40_comev,gʲ ɛ l,k e l,k i l,k i l,k e l,k e l,k e l,g e l,k e l,k e l,k e l,k e l,k i l,k æ l,k e l,g e l,k æ l,k e l,k e l,k e l,g e l,k e l,k e l,k e l,k i l,k e l,g e l,g e l,k e l,k æ l,k e l,k e l
41_coughv,ø s k y r,,j y t æ l,y z ə r,o s c u r,ø k s y r,h ø t ø l øː,yː s y r,ʒ ø t e l,ʥ ø t g y r,ø t k y r,ʒ ø t e l,tɕ i d ĭ l,i e s y r,ʥ ø t ø l,j ø t k y r,,j ø t k i r,,,,j y t e r,tɕ e d i r,j ø d y l d e,j ø t k e r,tɕ ø d y r,ø k s y r,y s g y r,tɕ ø d y r,j ø t æ l,j o t a l,s ø t ø l y n
42_countv,s a j,,h a n a,,,s a j,a k,s a j,s a n a,s a n a,s a j,s a n a,s a n a,s aː n a,s a n a,s a n a,s a n a,s a n a,s a n a,s a n a,s a n a,s a n a,,,s a n a,s a n a,s a j,s a n a,s a n a,s a n a,s a n a,aː χ
43_coverv,ø r t,j a p,j a p,v i t,j a p,q a p a t,h a p,ø r t,ʒ a p,ʥ a b,j a p,ʒ a p,tɕ a p,,ʥ a b,j a p,tɕ a p,j a p,j a p,j a p,ø t,k e m i r,tɕ a p,ʥ a p,j a p,ʨ ɯˁ p,k a p l a,j a p,ʃ ɯ p,q a p l a,j ɔ p,s a p
44_crushgrindv,y j y t,t a r t,t a r t,a v ə r,,tɕ e k,i l b i r i t,,t a r t,t a r t,t a r t,t a r t,t a r t,,t a r t,t a r t,,t a r t,t eː r b e nː e,j a n tɕ,,u ɣ,t a r t,t eː r m e n d e,t a r t,t eː r m e l e,ø v y t,y w e,d eː r b e l e,t a r t,t ɔ r t,t a r t
45_cryweepv,a ɣ l a,s ɯ q t a,i l a,m a g ə r,,a ɣ l a,ɯ t aː,aː l a,ʒ ɯ l a,ʥ ɯ l a,j ɯ l a,ʒ ɯ l a,ɯ l ɣ a,h ɯ ɣ l a,ɯ j l a,j ɯ l a,s ə q t a,j ɯ l a,ɯː l a,ɯ ɣ l a,j ɯ ɣ l a,j ɯ ɣ l a,ɯ l ɣ a,ɯ j l a,j ɯ l a,ɯ ɣ l a,a ɣ l a,a ɣ l a,ɯ ɣ l a,ʒ i ɣ l æ,j i ɣ l a,ɯ t aː
