Cognate_ID,Batek_Deq_Koh,Batek_Deq_Terengganu,Batek_Teh_Lebir,Batek_Teh_Taku,Batek_Teq,Ceq_Wong,Jah_Hut,Jahai_Banun,Jahai_Rual,Kammu,Kensiw_Kedah,Kensiw_Perak,Khmer_Siem_Reap,Khmer_Surin,Kintaq,Lanoh_Kertei,Mah_Meri,Maniq,Menriq_Lah,Menriq_Rual,Mon,Semai_Kampar,Semai_Ringlet,Semaq_Beri_Berua,Semaq_Beri_Jaboy,Semelai,Semnam_Bal,Semnam_Malau,Temiar_Kelantan,Temiar_Perak,Tenen_Paborn,Tenen_Palian
54_knife,w ɛ ɲ,w ɛ ɲ,w ɛ̃ s,w ɛ̃ s,w ɛ̃ s,w a ɲ,ɲ ɛ m,t a j i ʔ,t a j i ʔ,m ì/i i t,h a c,h a c,k ə b ə t,k ə m e t,h a c,,h a w,m a n ɛ t,w ɛ̃ s,w ɛ̃ s,ɓ u n,j uː c,p i s oː w,w ɑ j,w a j,w ɒ j,t u ŋ k əː j,,ʔ ə w ɔ j,c n ɛː r,m n ɛ t,h ʁ ɔ t
55_know,t a h o ʔ,t a h u ʔ,l t ʔ i t,l t ʔ i t,t a h o ʔ,h a r ə n,s ə r ə ʔ,ʔ t ʔ e t,l t ʔ e t,n ʔ əː ŋ,h j ɨ p,h j ɘ p,d ʌ ŋ,d e ɲ,h j ɨ p,l i p,s ə r ə ʔ,h a ʔ ɨ p,l t ʔ e t,ʔ t ʔ e t,t ɛ m,p a n iː ʔ,p a n e j,kʰ ɛ ʔ,kʰ ɛ ʔ,kʰ ɛ ʔ,l iː p,l iː p,l ɛ k,l ɛ k,,h ʔ ɨ p
56_laugh,p i ʟ ŋ a ʟ,p i l ɲ a l,l k l u k,l k l u k,l k l ɨ k,gː l ɨ k,l ə ʔ l ɔ k,l k l u k,s i t k ə t,k r á/a a s,l k l u k,n k l u k,s a ʌ c,s ʌː c,l k l u k,l k l u k,g l ɔ k,p i k l u k,l k l u k,l k l u k,,l u k,l u k,g l ɔ k,g l ɔ k,g l ɔ k,l k l uː k,l g l u g,l u g,l g l u g,l i k l u k,l i k l u k
57_leaf,h a l i ʔ,h a l i ʔ,h a l i ʔ,h a l i ʔ,h a l i ʔ,h a l i ʔ,h l a ʔ,h a l i ʔ,s l a ʔ,l á/a,h l i ʔ,h l i ʔ,s l ʌ k,s l ʌ ʔ,h l i ʔ,s l a ʔ,d a w o̤ t,h a l i ʔ,h a l i ʔ,h a l i ʔ,k ə n a h,s l ɒː ʔ,s l aː ʔ,s a l a,s a l a h,d a w u n,s l aː ʔ,s l aː ʔ,s ə l aː ʔ,s l aː ʔ,h l i ʔ,s ɛ m
58_leftside,k i ʁ i ʔ,,k i r i ʔ,w ɛ̃ ʔ,k i r i ʔ,j a l,k i r i ʔ,w ĩ ʔ,w ĩ ʔ,w è/e,ɲ ɛ̃ ʔ,ɲ ɛ̃ ʔ,cʰ v ɛ eː ɲ,cʰ v eː ɲ,w ĩ ʔ,j ɛ l,k i r i ʔ,ɲ ɛ ʔ,w ɛ̃ ʔ,w ɛ̃ ʔ,p a i,k ŋʷ iː l,w iː l,k i r i ʔ,m a l a ŋ,s a w ɛ l,w ɛː l,j ɛː l,j ɛ l,j ɛ l,k ɔ ʔ,ʔ i ɲ ɛ ʔ
59_live,g ɔ s,g ɔ s,g ɔ s,g ɔ s,g ɔ s,g ɔ s,r e s,g ɔ s,g ɔ s,p r ʔ ɨ a l,g ɔ s,g ɔ s,r ŏ ɔ h,r ŏ a h,g ɔ s,g ɔ s,ɰ i s,g a m ɔ s,g ɔ s,g ɔ s,m ɔ̤ ŋ,r e s,s uː j,l ɔ h,d l o h,ʔ r i s,g ɔː s,g u oː s,g ɔː s,g ɔː s,,g a m ɔ s
5_big,b ɘ w,b ə w,m n a ʔ,b ə w,b ɘ w,m n ɨ ʔ,m ə n a ʔ,b ə w,b ə w,n á/a m,t b ɨ ʔ,t b ɘ ʔ,tʰ ɔ m,tʰ o m,t b ɨ ʔ,c k ɛ j,k a d a m,ʔ ə h a w,b ə w,b ə w,n̥ o̤ k,n t uː j,n t oː j,p a g ɑ h,p a ʁ a h,tʰ ə j,ʔ i b uː ʔ,ʔ i b uː ʔ,m ə n uː ʔ,r a j a ʔ,ʔ a h a w,c a w
60_liver,ʁ o s,z o s,r o s,r o s,r o s,r o s,r ə s,r o s,k l a p,t l’ ɔː m,k l a p,k l a p,tʰ l a ə m,tʰ l ʌː m,k l a p,ʔ n r ɨ s,g r e h,r u s,r o s,,k r ɐ̤ h,r iː s,,g r e s,g ʁ ɛ s,g r e s,j iː s,j iː s,h u p,,ʁ o s,ʁ o s
61_long,b ə t ɪ c,b ə t e c,b t i c,b t i c,,j /ə s ɨ ŋ,c r ɨ ŋ,b t e c,b t e c,w à/a a ŋ,b t u c,b t u c,v ɛ e ɲ,w eː ɲ,b t u c,j r e ʔ,j ə l ə̤ k,h a t i e k,b t e c,b t i c,k l o̤ i ŋ,c ə r ɨ k,c ə r ɨ k,j l a ŋ,j l ɨ ŋ,j l ə ŋ,j j eː ʔ,j j e ʔ,j ə r o ʔ,j r o ʔ,,h t i ɛ c
62_louse,c e ʔ,c e ʔ,t u m a ʔ,t o m a ʔ,t u m a ʔ,c ɛ ʔ,c ɛ ʔ,c i ʔ,t o m ɛ ʔ,s é/e,c e ʔ,m n e ɲ,c a j,c a j,c e ʔ,c ɛ ʔ,c i,,c e ʔ,t o m a ʔ,t o ə,c ɛː ʔ,c ɛː ʔ,c i,c i h,c i,c ĕ ʔ,c e ʔ,c ɛ ʔ,c ɛː ʔ,h a ŋ uː,h ɔ w
63_male,t ə m k a l,t ə m k a l,t m k a l,t m k a l,t m k a l,t u ŋ k a l,k a ʔ k ɔ ɲ,t m k a l,t m k a l,c m p r ʔ ɔ,t m k a l,t m k a l,p r ɒ h,p r ɔ h,t m k a l,t e ʔ,l ə m ɔ l,t ə m k a l,t m k a l,t m k a l,ɲ ɛ̤ h + k r a o h,k r aː l,k r ɐː l,ʔ i p ə ʔ,ʔ i p ə ʔ,r l m ɔ l,ʔ ŋ k oː ɲ,ʔ ŋ k oː ɲ,b a b əː h,b a b ɘː h,t u ŋ k a l,t m k a l
64_many,k ɔ m,k ɔ m,k ɔ m,k ɔ m,k ɔ m,b s o ʔ,b a ʔ l ɨ ʔ,k ɔ m,k ɔ m,w ò/o h,j n u h,b a l ɘ ʔ,c r a ʌ n,c r ʌː n,j n u h,l b ɛ h,n̥ ɔ m,b ɛ m,k ɔ m,k ɔ m,k l a̤ ŋ,j ʔ oː j,j ʔ ɔː j,b a l ɑ ʔ,p a ʁ a h,ʔ r ə j,l b ɛ̆ h,j n u h,l ə b e h,l b e h,,b ɛ m
65_meat,s ɛ c,ʔ a j,s ɛ c,s ɛ c,s ɛ c,ʔ ɑ j,s ɛ c,s ɛ c,s ɛ c,à/a h,s e c,s ɛ c,s a c,s a c,s e c,s e c,d a g e̤ k,s e c,s ɛ c,s ɛ c,p j o̤ n,s ɛ c,d a g i ŋ,ɲ s ə c,n s ə t,s ə c,s ĕ c,s e j,s e j,s e c,s e c,s ɛ c
66_moon,b u l a n,b o l a n,b u l a n,b o l a n,b o l a n,k c ɛ ʔ,b u l a n,b u l a n,b o l a n,m ò/o ŋ,k c e ʔ,g c ɛ ʔ,kʰ a ɛ,kʰ ɛː,k c e ʔ,b o l a n,b u l a̤ t,k a c e ʔ,b u l a n,b o l a n,h ə t a o ʔ,g c ɛː ʔ,g c ɛː ʔ,b o l a n,b o l a n,b u l a n,b u l aː n,b o l aː n,g ə c ɛ ʔ,g c ɛ ʔ,k a c e ʔ,k c e ʔ
67_mother,n a ʔ,n a ʔ,b ɘ ʔ,n a ʔ,n a ʔ,m o j,ʔ i d ə ʔ,b ɨ ʔ,b ɨ ʔ,m à/a,n a ʔ,n a ʔ,m a ɛ,m ɛː,n a ʔ,ɲ ɔ ʔ,g ə n d e ʔ,n a ʔ,b ɘ ʔ,n a ʔ,ʔ ə m ɛ̤ ʔ,ʔ a m ɛː ʔ,ʔ a m ɛː ʔ,m ə j,m ə j,ʔ m a ʔ,n aː ʔ,n aː ʔ,b oː ʔ,ɲ ɔː ʔ,j ɛ s,n a ʔ
68_mountain,c ə b a ʔ,g o n o ŋ,c b a ʔ,c b a ʔ,c b a ʔ,m n ĩ m,b n ɨ m,j l m ɔ l,g u n u ŋ,m ò/o k,c b a ʔ,c b a ʔ,pʰ n o m,pʰ n ʊ m,c b a ʔ,j l m ɔ l,s ɔ̤ k,b a t u ʔ,c b a ʔ,g u n u ŋ,t ɛ̤ j,l ɔː t,l oː t,m n ə m,m n ə m,b ə n ʉ m,p ɔː ʔ,p ɔː ʔ,j ɛ l m ɔ l,j l m ɔ l,b t u ʔ,b t u ʔ
69_mouth,t ə n ɨ t,t ə n ɨ t,h ã ɲ,h ã ɲ,h ã ɲ,h ɑ ɲ,m u l o t,h ɛ̃ ɲ,h ɛ̃ ɲ,t n’ ɔ h,h ã ɲ,h ã ɲ,m ə̆ a t,m ɨ̆ a t,h ã ɲ,ɲ a k,p a̤ k,h a ɲ,h ã ɲ,t n ɨ t,p a i ŋ,m p ɒː k,ɲ j ɲ ɔː j,tʰ n u t,k n o t,m ɔ l ɔ t,ɲ aː k,ɲ aː g,ɲ aː g,ɲ aː k,h a h,h ã ɲ
6_bird,k a w a w,k a w a w,k a w a w,k a w a w,k a w a w,k a w a w,c ɛ m,k a w ɔ̃ t,k a w ɔ̃ t,s í/i i m,k a w a w,k a w a w,s a t + s l aː p,s a t + s l aː p,k a w a w,c ɛ p,c i̤ p,k a w a w,k a w a w,k a w a w,h ə c e m,c ɛː p,c ɛː p,k a w ɑ w,k a w a w,c i m,c eː m,c eː m,c ɛ p,c ɛ p,k a w a w,k a w a w
70_name,k ə n m ɔ h,k ə n m ɔ h,k n m ɔ h,k n m ɔ h,,c o ʔ,ʔ a m ə h,k n m ɔ h,k n m ɔ h,c ʔ ɨː,c ɔ ʔ,c ɔ ʔ,cʰ m ŏ ə h,cʰ m ŏ a h,c ɔ ʔ,k n m ɔ o h,g ə l a,c ɔ ʔ,k n m ɔ h,k n m ɔ h,j ə m ɨ̤ ʔ,m o h,m o h,j n m ɔ h,n a m a ʔ,g l a r,k n m ɔ̆ h,k n m ɔ h,k ə n ʉː h,k n ɘ h,,c ɔ ʔ
71_near,p ə d ə h,p ə d ə h,p d ɛ̃ h,p d ə h,,dʷ a h,ɲ c ɛ m,p d ə h,p n h d ə h,l è/e s,t d ɛ h,t d ɛ h,c e t,b ɪː t,d p a ʔ,p l n d ɔ h,m i ŋ,t ɛ d ɛ h,p d ə h,p d ə h,k r o p,r əː ʔ,ɲ ɔː n,k l o ʔ,k l ɛ̃ ʔ,d d ɛ s,t d aː j,t d a j,ʔ ə ɲ ɔː n,t i l ɔː ʔ,,t d ɛ h
72_neck,ʔ ŋ u t,ŋ u t,ʔ ŋ u t,ʔ ŋ u t,,l ŋ ɛ̃ ʔ,l ŋ ɛ ʔ,t ŋ k ɔ k,t ŋ k ɔ k,k n tʼ ɨ a r,c n ɔ t,c n ɔ t,k ɔː,k ɒː,c n ɔ t,s a g u k,l e h e,h o h,ʔ ŋ u t,t ŋ k ɔ k,k o ʔ,t a ŋ ɛ n,t ŋ k o ʔ,l ŋ ɛ ʔ,l ŋ ɛ ʔ,l ŋ ɛ ʔ,s a g oː k,t ŋ k ɔ g,t a ŋ ə n,t a ŋ ɨː n,d k d o k,h o h
73_new,ʁ e ʔ,z e ʔ,b a r o ʔ,b a r u ʔ,r e ʔ,r ɛ ʔ,p a j,b a r u ʔ,b a r u h,h mː è/e,b a j u ʔ,b a j u ʔ,tʰ m ʌ j,tʰ m ɛ j,b a j u ʔ,b a r u ʔ,m̥ p a j,k a b i,b a r o ʔ,b a r o ʔ,k ə m o e ʔ,p a j,p aː j,s p a j,s p a j,ʔ a r ɛ h,b a j uː ʔ,b a j uː ʔ,p aː j,b a r u ʔ,,k c e ŋ
74_night,h a ŋ ɛ p,h a ŋ ɛ t,g j ə̃ m,t ə w ɔ̃ j,h a ŋ ɛ p,b t o m,s ŋ a t,h r k ɨ t,h r k ɨ t,p sʼ ɨ a m,h ɛ k u t,h ɛ k u t,j ʊ p,j ʊ p,h ɛ k u t,h ŋ ɔ t,d ə j,h a k ɔ t,t ə w ɔ̃ j,g j ə̃ m,h ə t ɔ m,k l ɛ m,s ŋ ə p,p l i t,p l i t,p t ɔ m,h ŋ ɔː t,h ŋ ɔ d,l a j ɛ g,l a j ɛ k,h k ɔ t,ʔ ɔ w a ʔ + k t ɔ ʔ
75_nose,m ɔ h,m ɔ h,m ɔ h,m ɔ h,m ɔ h,m ɔ̃ h,h i d u ŋ,m ɔ h,m ɔ h,m ù/u h,m ɔ h,m ɔ h,c ə m ɔ h,c ə m ɔ h,m ɔ h,m u h,m u h,m ɔ h,m ɔ h,m ɔ h,m ṳ h,m ɔ h,m ɔ h,m u h,m u h,m u h,m ŭ h,m u h,m əː h,m ɨː h,m ɔ h,m ɔ h
76_not,n ɛ ŋ,n ɛ ŋ,b r a ʔ,b r a ʔ,b r a ʔ,h ə ʔ,h ə t,b r a ʔ,b r a ʔ,pʼ əː,b j a ʔ,b j a ʔ,m ə n,m ʌ n + t eː,b j a ʔ,t ɔ ʔ,ŋ ɔ t,h ɨ c,b r a ʔ,b l a p,h ɛ̤,t ɔ ʔ,w a l a h,b e h,b e h,d a ʔ,t ɔ̆ ʔ,t ɔ ʔ,t ɔ ʔ,h ɔ̃ j,,h ə t
77_old,m a n a h,m a n a h,b a k ɛ s,m a n a h,,m a n ɨ̃ h,n ɨ g ŋ,m a n ɛ h,m a n ɛ h,tʰ á/a w,sʷ a h,sʷ a h,c a h,c a h,l a w ɛ ʔ,m a n a h,l e ʔ,k a s ɛ ɲ,b i d a n,b a k ɛ s,k ə r e m,m a n a h,m a n a h,ʔ a l e ʔ,ʔ a j ɔ n,ʔ l e ʔ,b i d oː k,p a d i j,m a n a h,m a n a h,t j ɛ s,m a ʔ e l
78_one,s a ʔ,s a ʔ,n a j,n a j,s a ʔ,n ɑ̃ j,n i w ɛ j,n ɛ j,n ɛ j,m ò/o o j,n a j,n a j,m u o j,m ʊː j,n a j,n i j,m u j,n a j,n a j,n a j,m o̤ a,n a n ə ʔ,n a n ə ʔ,m u j,m u j,m u j,n iː j,n iː j,n e j,n e j,,n a j
79_person,b a t ɛ k,b a t ɛ k,m n r a ʔ,m n r a ʔ,b a t ɛ k,b r i ʔ,j a h,m n r a ʔ,m n r a ʔ,k ò/o n,m n i ʔ,m n i ʔ,n ĕ a ʔ,n ĕ a ʔ,m n i ʔ,s m a ʔ,m̥ a ʔ,m a n i ʔ,m n r a ʔ,m n r a ʔ,m ə n e̤ h,s ŋ ʔ ɔ̃ː j,s n ʔ ɔ̃ː j,s m a ʔ,s m a ʔ,s m a ʔ,s m aː ʔ,s m aː ʔ,s ɛ n ʔ ɔː j,s n ʔ ɔ̃ː j,h a m i ʔ,m n i ʔ
7_bite,k a p,k a p,k a p,k a p,k a p,k a p,r ɛ ɲ,k a p,k a p,p ó/o k,k a p,k a p,kʰ a m,kʰ a m,k a p,k a p,g ɛ̤ k,k a p,k a p,k a p,k i t,k a p,k a p,g ɑ ɲ,g a n,g a ɲ,k ă p,k a p,k a b,k a b,k a p,k a p
80_play,p ə ŋ g o h,,p n g u h,m a j i n,,n i h ɑ ʔ,n i ʔ s ɛ ʔ,m n m i n,m n m i n,t n h’ ɔː j,p n g u h,p n g u h,l eː ɲ,l ɪː ɲ,p n g u h,h i ŋ k a ʔ,m a j i n,p a j ɨ,m a j i n,m a j i n,w o̤ i ŋ,m a n,m n m a n,p a k p ɛ k,p a k p ɛ k,n a k ɑ l,h i ŋ k aː ʔ,h i ŋ k aː ʔ,m a n,h i ŋ k a ʔ,p j ə w,p j ə w
81_quiver,b a n ɨ ʔ,b a n ɨ ʔ,b a n ɨ ʔ,b a n ɨ ʔ,b a n ɨ ʔ,l ɨ k,l ɨ k,b a n ɨ ʔ,b a n ɨ ʔ,t ó/o ŋ + k á/a m,b a n ɨ ʔ,l ɘ k,m p ŏ ɔ ŋ,s r ɔː m,l ɨ k,,t a b o̤ k,m a n ɨ ʔ,b a n ɨ ʔ,b a n ɨ ʔ,,l ə k,l ə k,l ɨ k,t a b o ŋ,l ɨ k,l ə̆ k,,l ə g,l ɘ k,,
82_rain,h ã c,h u j a n,h ɛ̃ c,h ɛ̃ c,ʔ o j a n,s ə m,m i ʔ,h ĩ c,h ĩ c,k m à/a,ʔ u j a n,ʔ u j a n,pʰ l i ə ŋ,pʰ l ɪː ɲ,ʔ u j a n,m i ʔ,g ə m a,ʔ u j a n,h ɛ̃ c,ʔ u j a n,p r o̤ a,m a n iː ʔ,m a n i ʔ,g m a,g m ɑ h,l s ə m,m iː ʔ,m iː ʔ,t əː h,t ɘː h,,ʔ u j a n
83_red,b l a k ã c,b ə r a k ã c,b r a k ã c,b r k ã c,b r a k ã c,s u ə t,r ŋ a p,r h ɨ k,r h ɨ k,j ʔ ɨ m,tʰ ɔ̃ ɲ,tʰ ɔ̃ ɲ,k ə h ɒː m,k ə h ɒː m,tʰ ɔ̃ ɲ,r g ɔ j,m i r a h,b a g ĩ ẽ c,pʰ ə ŋ,b t ɛ h,h ə k i t,cʰ ɛː r,r ŋ aː ɲ,s u r ɔ t,d ŋ a t,m i r a h,tʰ uː ɲ,tʰ uː ɲ,c ə l ə k,c l ɘ k,b g ĩ ɛ̃ c,b g ɛ̃ c
84_rice,p a d i ʔ,p a d i ʔ,p a d i ʔ,p a d i ʔ,p a d i ʔ,b e ʔ,b a ʔ,p a d ɛ j,p a d i ʔ,ŋ’ ɔ,p a d e j,p a d ɛ j,s r ə ɨ,s r o ɔ̯,p a d e j,,b e ʔ,n a s i ʔ,p a d i ʔ,p a d i ʔ,s ɒ ʔ,b ɒː ʔ,c n r ɔː j,p a d i ʔ,b a b a h,b a b a,b aː ʔ,,b aː ʔ,b a ʔ,b l j i k,n a s i ʔ
85_rightside,k a n a n,k a n a n,k a n a n,t e m,k a n a n,t ə m,k a n a n,t e m,t e m,h á/a m,t e m,t e m,s ə d a m,s ə d a m,t e m,t ɨ p,k a n a n,t ɛ m,t e m,t e m,p ɐ ŋ,k ŋ t ɔ p,t ɔ p,k a n a n,k a n a n,s a t ɑ m,t ə̆ p,t ə p,t ə p,t ɘ p,t e m,t e m
86_roadpath,h a ʟ + b ɘ w,h a r + b ə w,h a r,h a r + b ɘ w,h a r + b ə w,b a l ə j,n u w ə̃ ŋ,h a r,g l ɔ ŋ,ŋ ʔ ɔː r,g l ɔ ŋ,c p a n,pʰ l ʌ ɨ̯,pʰ l ɔ o̯,c p a n,n ɔ o ŋ,k ə l ɔ h,h a,h a r + b ə w,h a r,k l o̤ ŋ,n oː ŋ,t i m b ɔ ʔ,c n r ə ŋ,t ʁ o ŋ,t r o ŋ,n uː ŋ,n uː ŋ,n ɔ ŋ,n ɔː ŋ,h a l i w,h ɔ j ɛ w
87_root,j ə ʔ ɪ s,j ə ʔ e s,j ʔ e s,j ʔ i s,j ʔ ɛ s,j ʔ ɛ s,ʔ a k a r,j ʔ e s,j ʔ e s,r ì/i a s,ʔ a k a,ʔ j e s,r ɨ h,r ɨː ɦ,ʔ a k a,r j ɛ s,j a ŋ k ã,s ɔ ŋ k i e,j ʔ e s,j ʔ i s,r ɐ̤ h,r ʔ iː s,r ə ʔ i s,r ɛ s,ʁ ɛ s,r ɛ s,j ʔ ɛː s,j ʔ eː s,c a n t i ŋ,r ʔ ɛ s,j e h + ɲ h ũ ʔ,s ɔ k + k j e h + j h ũ ʔ
88_rotten,m ə n s ɔ ʔ,h a ʔ ã t,s ɔ ʔ,ʔ n s ɔ ʔ,s ɔ ʔ,s o ʔ,s i ʔ ĩ t,ʔ n s ɔ ʔ,ˀn s ɔ ʔ,h ú/u u r,s ɔ ʔ,ʔ n s ɔ ʔ,p ə ʔ ɔ o m,p ə ʔ oː m,ʔ n s ɔ ʔ,s ʔ s ɔ ʔ,s u ʔ ũ t,p u ŋ g õ,b a b u h,ʔ n s ɔ ʔ,ʔ ɒ h,s ɔː ʔ,s ɔː ʔ,s ə ʔ ã t,s ə ʔ ɛ̃ t,s ʔ ĩ t,s a n ŭ ʔ,s a n u ʔ,s ɔː ʔ,s a s ɔ ʔ,k m a j,g ə s
89_salt,g a ʁ ɛ m,g a ɣ ɛ m,g a r ɛ m,g a r ə m,g a r ɛ m,g a r a m,p ɔ l,ʔ m p ɔ c,g a ʔ ə m,m á/a a r,s j a ʔ,ˀm p ɔ c,m b ʌ l,m e l,s j a ʔ,ʔ m p ɔ c,g a r a m,s i j a ʔ,g a r ə m,g a r ə m,ɓ ɛ,m p ɔ c,g a r a m,g a r a m,g a ʁ a m,g ɒ r ɒ m,ʔ m p ɔː c,ʔ m p ɔ c,g a r a m,g a r aː m,s j a ʔ,s j a ʔ
8_blood,ɲ a p,ɲ a p,ɲ a p,ɲ a p,ɲ a p,m h ə̃ m,n ə h i m,d a r a h,d a r a h,m à/a a m,m h ɨ̃ m,m h ɘ̃ m,cʰ i ə m,cʰ i ə m,m h ɨ̃ m,d a r a h,m a h a m,m a h ɨ m,ɲ a p,bʱ ɨ̃ m,cʰ i m,bʱ iː p,bʱ iː p,m a h a m,m a h a m,m h a m,d a j ă h,d a j a h,l ɔː t,l ɔː t,m h ɨ̃ m,m h ɨ̃ m
90_say,w a j a t,,p ŋ s ɛ ŋ,p ŋ s ɛ ŋ,,b ə t,w a j a t,p ŋ s ɛ ŋ,p ŋ s ɛ ŋ,l ʔ ʌː,s ɛ m a ŋ,s ɛ m a ŋ,p r a p,p r a p,c i n ɔ j,c a l,k ə d ɔ,b i j ɔ h,p r i n a h,p ŋ s ɛ ŋ,h ɒ m,ŋ r ɔː ʔ,j a p,j m o h,p a k ɛ ʔ,kʰ l ə ŋ,bʷ aː h,t u h,r oː ʔ,t uː h,b j o h,b j o h
91_scratch,h a k a t,,k a c,h a k a t,k a c,k ɑ c,k a c,k a c,k a c,k ò/o r,b l a k,b ɲ j ã ɲ,kʰ ɲ a ɨ̯,ʔ ɛ h,b l a k,g i s,k a k a c,h i j e t,h a k a t,k r a w ã c,cʰ a̤ i c,k a t aː ɲ,t m a ʔ,g e h,g ɛ h,g e h,g iː h,g iː s,g iː s,g iː s,,m ɲ a ɲ
92_see,t ɔ t,d a p e t,ʔ ɛ l,ʔ ɛ l,d ɛ ŋ,j o w,l ɛ h,ʔ ɛ l,ʔ ɛ l,k ù/u u ɲ,d ɛ ŋ,d ɛ ŋ,kʰ əː ɲ,kʰ əː ɲ,d ɛ ŋ,d a k,k a j e,d ɛ ŋ,ʔ ɛ l,ʔ ɛ l,ɲ a̤ t,n ɛː ŋ,n ɛː ŋ,d a ʔ j e,ʔ i j ɛ h,ʔ j e,d ă k,d a k,n ɛː h,n ɛː h,d ɛ ŋ,d ɛ ŋ
93_sharp,m a k a n,m a k a n,m a k a n,m a k a n,,c b ɨ t,c m a ʔ,c m ɛ ʔ,c m ɛ ʔ,ò/o h,t a j a m,c m a ʔ,m ʊ t,m u t,t a j a m,t a j a p,t a j a̤ p,c ə m a ʔ,m a k a n,m a k a n,k e ʔ a k,t a j a p,t a j a p,t a m a ʔ,t a j a m,ʔ l u h,t a j ă p,t a j a p,p ə h e ɲ,pʰ ẽː ɲ,,
94_shoot,h a l u h,h a l u h,h a l u ɸ,h a l u h,s a m,h a p u t,p ə ʔ p u t,b d ɛ l,b d i l,p í/i ɲ,h l u h,h l u h,b a ɲ,b a ɲ,h l u h,,l ə h,h a l u h,h a l u h,h a l u h,p ɔ n,p əː t,p uː t,bʱ r ɔ h,b ʁ ɔ h,ʔ ɔ h,s ə l uː h,,s ə l u h,s l u h,t ɔ k,h l u h
95_short,c ə n h ã t,c ə n h a t,c n h ɛ̃ t,c n h ɛ̃ t,,c i n h ũ ɛ̃ t,s i ŋ k ɛ̃ t,c n h ə̃ t,c n h ə̃ t,l ì/i a t,c n h ɛ t,c n h ɛ̃ t,kʰ l ʌ j,k l ɛ j,c n h ɛ t,k l d ɛ l,j ə l ɛ̃ t,k u d u ŋ,c n h ɛ̃ t,c n h ə̃ t,k l e̤ ʔ,p a t e ʔ,t i ʔ,j l ɛ̃ ʔ,j l ɛ̃ ʔ,j l ɛ̃ ʔ,p n p ɛ̆ t,p n p ɛ t,ʔ a p ɛ t,ʔ a p ɛ t,,k i h ɛ j
96_siblingyounger,b ɛ ʟ,b ɛ r,ʔ a d i ʔ,b ɛ r,ʔ a d e ʔ,ʔ a d i ʔ,ʔ a d i ʔ,b ɛ r,b ɛ r,h’ ɛː m,b ɛ,b ɛ h,p ə ʔ ɔ o n,p ə ʔ oː n,b ɛ,,ʔ a d i ʔ,b ɛ,b ɛ r,b ɛ r,t ɛ̤ ʔ,m n a ŋ,m n a ŋ,ʔ a d i ʔ,ʔ a d i ʔ,ʔ a d i ʔ,p ə̆ ʔ,,p ə ʔ,p ɘ ʔ,b ɛː,b ɛː
97_siblingelder,t o ʔ,t o ʔ,p ã ʔ,p ã ʔ,t o ʔ,t o ʔ,ʔ i ʔ ɛ m,p ɛ̃ ʔ,p ɛ̃ ʔ,t á/a a j,t o ʔ,t o ʔ,b ɒː ŋ,b ɒː ŋ,t o ʔ,,j e ʔ,t o ʔ,p ã ʔ,t o ʔ,k a o,t n eː ʔ,t n ɛ ʔ,ʔ i ʔ e ʔ,ʔ i ʔ ɛ ʔ,ʔ i ʔ ɛ ʔ,k l oː ʔ,,k ə l oː ʔ,k l oː ʔ,k a j ɨ h,t o ʔ
98_sing,p i ɲ l ɔ ɲ,p ə ɲ l ɔ ɲ,p ɲ l ɔ ɲ,p ɲ l ɔ ɲ,p ɲ l ɔ ɲ,n h a ŋ,ɲ a ʔ ɲ i ʔ,p ɲ l ɔ ɲ,p ɲ l ɔ ɲ,tʼ əː m,h i ŋ l e ŋ,h i ŋ l ɛ ŋ,c r i ə ŋ,r ɒː ŋ + pʰ l eː ɲ,h i ŋ l e ŋ,p ɲ l ɔ ɲ,p a n t ṳ t,p i j a h,p ɲ l ɔ ɲ,p ɲ l ɔ ɲ,h ə j e̤ h,ɲ a ɲ iː ʔ,ɲ a ɲ i ʔ,p i j ə r,p j ə j,ɲ a ɲ ɪ ʔ,p ɲ l ɔː ɲ,p ɲ l ɔː ɲ,g a b a g,g a b a k,k a h ɛ j,k a h ɛ j
99_sit,ŋ ɔ k,ŋ ɔ k,ŋ ɔ k,ŋ ɔ k,ŋ ɔ k,ŋ ɔ̃ k,ŋ ə ʔ ŋ ɔ k,ŋ ɔ k,ŋ ɔ k,t è/e n,ŋ ɔ k,ŋ ɔ k,ŋ k ʊ j,ŋ k ʊ j,ŋ ɔ k,k ɔ c,kʰ o̤ p,ŋ ɔ k,ŋ ɔ k,ŋ ɔ k,h ə c o̤ ʔ,g əː j,g əː j,kʰ o m,k o m,k m kʰ o m,k ɔ̆ c,k ɔ c,g ə l,g ɨː l,,ŋ ɔ k
9_blow,p ɨ t,p ɘ t,p r h u r,h l h o l,p ə t,p ə t,p u t,p ɨ t,b g i w,h ú/u r,b ɛ w a ʔ,b ɛ w a ʔ,pʰ l ɔ m,pʰ l o m,b ɛ w a ʔ,p a r ɨ k,k a ʔ ɔ h,p ɨ t,h pʰ i p,h i l h u l,p a k,tʰ oː l,t j u p,h m o s,h ɔ l,ʔ ɔ h,t a p əː t,p a j ə k,t ə h oː l,tʰ ɔ r,bʷ a ʔ,bʷ a ʔ
