Cognate_ID	Anuta	EastFutuna	EastUvea	Emae	FutunaAniwa	Hawaiian	Kapingamarangi	Luangiua	Mangareva	Maori	MeleFila	Niuean	NorthMarquesan	Nukeria	Penrhyn	Polynesian	Pukapuka	Raivavae	RakahangaManihiki	Rapanui	Rarotongan	RennellBellona	Rurutu	Samoan	Sikaiana	Tahitian	Tikopia	Tongan	Tuamotuan	Tuvalu	VaeakauTaumako
348_81_sharp	k a + k a i	f a k a + k aː		m a k a + k a i	m a t a + k a i	ʔ o i	g aː	ʔ a a	k o i + k o i	k o i	m a tʃ i + k a i		k o i	k aː	k o i		k o + k o i	ʔ o i	k o i	k a ʔ i	k o i	h a k a + k aː	ʔ o i	m a + ʔ a i	k aː	ʔ o i	m a t a		k o i	m a t a + k a i	m d a + k h aː
349_134_thunder			f a i s i + s i l i	f a + t i r i	v e h + ʃ i r i	h e + k i l i	a + t i l i	h a k u + l i	a t u + t i r i	f a t i + t i r i	p a + tʃ i r i		p h a + t oː + t eː	h a t t u + r i	h a t u + t i r i		w a t i + t i l i	p aː + t i ɢ i	f a t i + t i r i	p a + t i r i		h a t u + t i ⁿg i	p aː + t i r i	f aː i t i + t i l i		p aː + t i r i	f a t i + t i r i		f a t u + t i r i		p a + s i l i
350_41_tobite																							ʔ oː + ʔ i n i + ʔ i n i			h o + h o n i					
352_95_tofall		t oː		t o												t oː	t oː					t oː		t oː				t oː		t oː	
353_89_tohold			t a ŋ o												t a ŋ o		t a ŋ o				t a ŋ o								t a ŋ o	t a g o	
355_20_toknowbeknowledgeable		m a s a n i	ʔ i l o ʔ i																												
356_67_tosew																							a u			a u					
357_36_tospit	a n u	ʔ a + ʔ a n u	a n u	n u s i					a n u + a n u			a n u				ʔ a n u + s i				aː n u				a n u			aː n u	ʔ a n u h i	a n u	a n u	
358_88_tosqueeze	k u + k u m i	k u + k u m i			k u m + k u m i + a											k u m i	k u + k u					k u + k u m i		ʔ o + ʔ o m i	k u m i		k u m i			k u m i	
359_66_totieupfasten		l iː + l iː	l iː	s a l i a				g iː	r iː		l a i a	l i + l iː							l iː		r iː						r iː		r iː	l iː	
35_151_green					r a u n e a + m a ʰm a t a										m a t i e	m a t a		m a t i e		m a t a	t aː + m a t i e		m a t i e	l a n u + m e a + m a t a	m o t o	m a t i e	m a t a	l a n u + m a t a	m a t i e		
360_127_woodsforest	v a o	v a o	v a o	a β a o			w a o	v a o	v a o			v a o	v a o	v a o	v oː	w a o	v a o				v a o	b a o		v a o	v a o		v a o	v a o	v a o	v a o	v a o
36_1_hand	r i m a	l i m a		r i m a	r i m a	l i m a	l i m a	l i m a	r i m a	r i ŋ a	r i m a	l i m a	ʔ i m a	r i m a	r i m a	l i m a	l i m a	ɢ i m a	r i m a	r i m a	r i m a	ⁿg i m a	r i m a	l i m a	l i m a	r i m a	r i m a	n i m a	r i m a	l i m a	l i m a
372_66_totieupfasten					r i + ʃ i a												j e l e		h e l e												h i + h i a
373_197_one																		h o ʔ e								h o ʔ e					
374_164_good						m a i k a ʔ i							m e i t a ʔ i		m a i t a k i			m a i t a ʔ i	m a i t a k i		m e i t a k i		m a i t a ʔ i			m a i t a ʔ i			m e i t a k i		
376_149_red	o a t a	s o a t a																													
377_112_rotten					p u r a u	p i l a u				p i r a u																					
378_78_tocuthack		k a m u	k a m u																												
379_89_tohold		s a p o	h a p o									h a p o															s a p o				
37_184_heshe	i a	i a	i a	k o + i a	i a	i a	i a	a iː a	k o + i a	i a	e i a	i a	i a	i a	i a	i a	a n a	ʔ o + i a	i a	i a	i a	i a	ʔ o + i a	i a	i a		i a	i a	i a	i a	i a
380_20_toknowbeknowledgeable	p o t o	p o t o																									p o t o				
382_36_tospit						p u + p u h i	p u i																							p u h i	p h u i + a
383_71_tostabpierce														v v o r o					v e l o		v e r o + v e r o									v e l o	
384_66_totieupfasten	n o n oː							ŋ o a											n o + n o a					n o a			n o a	n o + n o ʔ o			
385_8_toturn	p u r i	f u l i	f u l i + h i		t a + f u r i	h u l i		h u l i		h u r i		f u l i		t a + h u r i	h u r i	f u l i	w u l i		h u r i			t a k a + h u ⁿg i			t a + h u l i				h u r i		t a + h u l i
386_32_tongue	a r e r o	ʔ a l e l o	ʔ a l e l o	a r e r o	r e r o	a l e l o	h o r o r e	a l e l o	a r e r o	a r e r o		a l e l o	a ʔ e ʔ o	a r e r o	a r e r o	ʔ a l e l o	a l e l o	a ɢ e ɢ o	a l e l o	a r e r o	a r e r o	ʔ a ⁿg e ⁿg o	a r e r o	a l e l o	a l e l o	a r e r o	a l e l o	ʔ e l e l o	a r e r o	a l e l o	a l e l o
387_127_woodsforest		ʔ u l u	u l u			u l u + l aː ʔ a u			u l u			u l u							r aː k a u			ʔ u ⁿg u	u r u + r aː ʔ a u			u r u + r aː ʔ a u					
38_24_head	u r u	ʔ u l u	ʔ u l u	n a + u r u	u r u							u l u	u ʔ u			ʔ u l u	u l u		u l u			ʔ u ⁿg u		u l u				ʔ u l u	u r u	u l u	
398_164_good		m aː l i e	m aː l i e	s u + m a r i e			h u + m a l i a				m e r i e	m e l i e				m a l i e								m a l i e							
399_68_needle					n i l					ŋ i r a			r i r a	n iː l a			n i l a	n i r a					n i r a			n i r a				n i l a	n i l a
39_193_if		k a + p a u		k a																				ʔ a f a i			k a	k a		k aː + f a i	
3_200_four	p aː	f aː	f aː	f a	f a	h aː	h aː	h aː	ʔ a	f aː	e + f a	f aː	f aː	h aː	h aː	f aː	w aː	m a + h a	f aː	h a	ʔ a a	h aː	ʔ a	e + f aː	h aː	m a + h a	f aː	f aː	h aː	f aː	h aː
400_112_rotten													p eː													ʔ oː p eː					
401_78_tocuthack		s e l e	h e l e		s e r e		h e l e	s e l e				h e l e										s e ⁿg e		s e l e	s e l e		s e r e				
403_67_tosew																		n i ɢ a					n i r a			n i r a					
404_51_tosit	n o p o	n o f o	n o f o	n o f o + i + r a r o	n o f o	n o h o	n o h o	ŋ o h o	n o ʔ o	n o h o	n o f o	n o f o	n o h o	n o h o	n o h o	n o f o	n oː + n oː	n o h o t u	n o h o	n o h o	n o ʔ o	n o h o	n o ʔ o	n o f o	n o h o		n o f o	n o f o	n o h o	n o h o	n o h o
405_36_tospit			p u ʔ a k i														p u a k i		p u a k i		p u a k i										
406_127_woodsforest										ŋ a h e r e																			ŋ a h e r e		
407_186_you	k o + t o u	k o u + t o u	k o u + t o u	k o + t o u		ʔ o u + k o u			k oː + r u a	k o u + t o u	k o u + t o u		k o + t o u	k o u + t o u			k oː + t o u	ʔ o u + t o u	k oː + t o u		k oː + t o u	k o u + t o u	ʔ o u + t o u	ʔ o u + t o u	k o u + t o u	ʔ o u + t o u	k oː + t o u		k o u + t o u	k o u + t o u	k o u + t o u
40_16_intestines		t i n a ʔ e		t i n a e	ʃ i n a e		t i n a e				s i n a e																				
41_126_lake			a n o						r a n o											r a n o		ⁿg a n o		l a n o				a n o	r a n o		
425_164_good	r e + r e i		l e + l e i														l e + l e i							l e + l e i				l e + l e i		l e + l e i	
426_78_tocuthack		t u ʔ u t i	t u ʔ u				t uː							t t uː													t uː				
428_171_tohide																	n a n aː							n a n aː							
429_20_toknowbeknowledgeable		m aː + t i n o																				m aː + t i n o									
42_114_leaf	r a u	l a u	l a u	r a u + r a u	r a u	l a u	r o u	l a u	r a u	r a u	r a u	a u	ʔ a u	r a u	r a u	l a u	l a u	ɢ a u + e ɢ e		r a u + p a	r a u	ⁿg a u	r a u + ʔ e r e	l a u	l a u	r a u + ʔ e r e	r a u	l o u	r a u	l a u	l a u
430_67_tosew					s u + k i a											s u k i															
431_70_toshoot								p i h i					p u h i						p u + p u h i												
432_51_tosit																							a r a ʔ i			p aː r a h i					
434_66_totieupfasten																			t aː + p e k a		t aː + p e k a										
43_2_left					m a s u i		t a u i + h a r a			m a u iː	m u s u i			m a u iː	k a u iː	m a u i	m aː j u i	ʔ a u i	k aː u i	m a u i	m a u iː		ʔ a u i			ʔ a u i				m a u i	
44_4_legfoot	v a e	v a ʔ e	v a ʔ e	β a e	v a e	w aː + w a e	w a e	v a e		w a e + w a e	β a e	v eː	v a e	v a e	v a e	w a ʔ e	v a e		w a e + w a e	v a ʔ e	v a e	b a ʔ e	ʔ aː + v a e	v a e	v a e	ʔ aː + v a e	v a e	v a ʔ e	v a e	v a e	v a e
451_54_manmale													h e k o																h aː k o i		
454_82_dullblunt										p uː + h u k i			p u + r i k i																		
456_193_if								p o														p o i									
458_25_neck	u a	ʔ u a	u ʔ a	u a			u a	ʔ u a		u a		u a				u a	u a					u ʔ a		u a	u a		u a		u a	u a	u a
45_17_liver	a t e	ʔ a t e	ʔ a t e	a t e	a t e	a k e	a d e	ʔ a t e	a t e	a t e	a t e	a t e	a t e	a t e	a t e	ʔ a t e	a t e		a t e	a t e	a t e	ʔ a t e	a t e	a t e	a t e		a t e	ʔ a t e	a t e	a t e	a t e
460_156_thin													ʔ a k i + a k i						a ŋ i + a ŋ i		a ŋ i + a ŋ i										
461_36_tospit					s aː v a r i + a			s aː v a l e						s aː v a r e					h uː v a r e						s aː v a l e						
46_108_louse	k u t u	k u t u	k u t u	k u t u	k u t u	ʔ u k u	g u d u	ʔ u k u	k u t u	k u t u	k u t u	k u t u	ʔ u t u	k u t u	k u t u	k u t u	l i a	ʔ u t u + ʔ u	ŋ u t u	k u t u	k u t u + p a p a	k u t u	ʔ u t u	ʔ u t u	k u t u	ʔ u t u	k u t u	k u t u	k u t u		k u t u
473_36_tospit																	j uː v a l e														i v a l e a
474_14_belly		t i n a ʔ e			ʃ i n a e						s i n a e																			t i n a e	
478_36_tospit						k u h a				t u h a			t u f a		s uː p eː			t uː + t u h a					t u + t u ʔ a			t u t u h a			t u f a		
479_47_toyawn		m aː v a + v a	m a + m aː o		m a v a	h aː + m a + m a			ʔ a + m a + m a	h aː + m a + m a		m a + m a o	m a + m a	m aː v a	h aː + m a + m a	m a w a + w a	m a ŋ a	h aː + m a + m a + t e + v a h a	h aː + m a + m a	h a k a	ʔ a a + m a + m a	m a b a + b a	ʔ aː + m a + m a	m aː v a + v a		h aː + m a + m a	m a v a	m a + m a o	h aː + m a + m a		
47_54_manmale			t a ʔ a n e	t a ŋ a t a	t aː n e	k aː n e	d aː n e	k a ŋ e		t aː n e	t a n e	t aː n e	t a n e		t aː n e	t a ʔ a n e	t aː n e	t aː n e		t a n e	t aː n e		t aː n e	t aː n e	t aː n e	t aː n e	t aː n e		t aː n e	t aː n e	
48_109_mosquito	n a m u	n a m u	n a m u	n a m u	n a m u		l a m u	n a m u			n a m u	n a m u	n o + n o + p u r u t i a	n a m u	n a m u	n a m u	n a m u	n a o + n a o	n a m u	n a ʔ o + n a ʔ o	n a m u	n a m u	r a m u	n a m u	n a m u	n a o + n a o	n a m u	n a m u	n a m u		n a m u
498_116_flower														p u r u + p u r u																p u l a	
49_59_mother	t i n a n a	t i n a n a		t i n a n a	ts i n a n a		d i n a n a	k iː ŋ a	t i n a n a					t i n a n a	t i n a n a	t i n a n a						t i n a n a		t i n aː	t i n n a		t i n a n a				
4_182_i	k + a u	k + a u	k o + a u	k + o u	a u	a u	a u	a ŋ a u	a u	a u	a β a u	k + a u	a u	n a u	a u	a u	a u	v a u	k o + a u	a u	a u	k + a u	a u	a ʔ u	a u	v a u	k + a u	o u	a u	a k u	a u
504_53_personhumanbeing														t a m a			t a m a								t a m a						
508_78_tocuthack		t a l a i					d a l a i																								
50_30_mouth					f a f a	w a h a	h a h a		ʔ a ʔ a	w a h a			f a f a		v a h a			v a h a	v a h a	h a h a	v a ʔ a		v a ʔ a			v a h a			v a h a		
510_22_tofear																								f e + f e				m a n a + v a h eː			
513_46_tosee																			t i t i + t i r o											k i l o	
516_188_what				r e a													w e a							ʔ o + l e + aː							
518_209_onehundred	r a u	k a u + l e + l a u	t e				l a u	h u i + k a + l a u	r a u	r a u		t e + a u	ʔ a u	r a u	r a u		t i n o + w e + l a u	ɢ a u		r a u		ⁿg a u		l a u	l a u	r a u	r a u	ŋ e	r a u	l a u	v a h i k i
519_210_onethousand	m a n o						m a n a		m a n o	m a n o							m a n o	m a n o		m a n o	m a n o	m a n o		m a n o	m a n o	m a n o	m a n o		m a n o	m a n o	
51_158_narrow		k i u			kʰ a p i																										
520_192_and	m aː			m a r e	m a	a + m e	m aː ŋ i	m aː		m e		m a	m aː	m a	m a		m a			m a	m aː	m a		m a	m a		m a				m a
521_14_belly						ʔ oː p uː			k oː p uː				ʔ o p u		k oː p uː			ʔ oː p uː	k oː p uː	k o p u	k oː p uː		ʔ oː p uː			ʔ oː p uː			k oː p uː		
522_113_branch										m a ŋ a								ʔ aː m a m a + ɢ aː + ʔ a u		m a ŋ a			ʔ aː m a ʔ a			ʔ aː m a ʔ a					
523_135_lightning		ʔ u i l a	ʔ u h i l a	w i r a		u i l a	i l a	u i l a	u i r a	u i r a	w i r a	u h i l a	u i ʔ a	u i r a	u i r a	ʔ u h i l a	u w i l a	u i ɢ a	u v i r a	u i r a	u i r a		u i r a	u i l a	u i l a	u i r a	u i r a	ʔ u h i l a	u i r a	u i l a	
524_30_mouth	ŋ u t u	ŋ u t u	m u t u	ŋ u t u			ŋ u d u				ŋ u t u	ŋ u t u	n u t u			ŋ u t u	ŋ u t u		ŋ u t u	ŋ u t u		ŋ u t u		ŋ u t u			ŋ u t u	ŋ u t u	ŋ u t u	g u t u	ŋ u t u
525_115_root		a k a	a k a	k a i + r a k a u	a k a i	a ʔ a	a g a	p a ʔ i + a ʔ a	a k a	p a k i + a k a	k a s i + k o a	a k a	a k a	p a t i + a k a	a k a	a k a	a k a	a ʔ a	a k a	a k a	p a k i + a k a	p a ʔ i + a ʔ a	a ʔ a	a ʔ a	p a t i + a k a	a ʔ a	v a i + a k a	a k a	a k a	p o g a i	a k a
526_81_sharp			m aː + s i l a									m a + t i l a												m a + s e l e				m aː + s i l a			m f a + s e l e
527_145_smoke	a u + t i + a p i	aː u + s i a	ʔ a h u	a s u + a f i	a u	u + a h i	s e + a h i		a h i	a u + a h i		a h u	a u + a h i	a u	a u + a h i	ʔ a h u + a f i	a u	a u + a u + a h i	a u	a u + a h i	a u + a ʔ i	ʔ a u + a h i	a u + a u + a ʔ i	a s u	a u	a u + a u + a h i	a u + s i + a f i	ʔ a h u	a u + a h i	a u	
529_39_tocook		s a k a	h a k a		kʰ a v i									h a k a + r e r e		s a k a															
52_68_needle			h a u																		a u	a u		a u			s a u		h a u		
530_74_tokill	t a + m a t e	t a + m a t e	t a + m a t e + i		ʃ i a + k a + m a t e	h o ʔ o + m a k e							h a ʔ a + m a t e			t a + m a t e			t aː		t aː + m a t e + m a t e		ʔ a ʔ a + m a t e	t aː + m a t e				t aː + m a t e + ʔ i		t aː + m a t e	t a + m a t e + a
531_84_toplant						k a n u	t a n u		t a n u				n a n u		t a n u		t a n u	t a n u			t a + t a n u		t a n u			t a n u			t a n u		
532_93_topoundbeat	t u k i		t u k i		t u + tʰ u k i + a	k u ʔ i	t u g i	k u ʔ i	t u k i	t u k i		t u k i	t u ʔ i	t u k i	t u k i	t u k i	t u k i + t u k i				t u k i	t u k i	t u ʔ i	t u ʔ i + t u ʔ i	t u k i		t u k i	t u k i	t u k i	t u k i + t u k i	
533_52_tostand	t uː	t u ʔ u	t u ʔ u	t u i + r u ŋ a	t u	k u	d uː	uː	ʔ a k aː + t uː	t uː		t uː	t uː	t uː	t uː	t u ʔ u	w e t uː	t uː	t uː	t u ʔ u	t uː	t u ʔ u	t uː	t uː	t uː		t uː	t u ʔ u	t uː	t uː	tʰ uː
534_8_toturn				f a r i u							f i r i u													f aː l i u				l i + l i u			
535_5_towalk		a n o														f a n o							ʔ a n o								
536_122_water	v a i	v a i	v a i	β a i	v a i	w a i	w a i	v a i	v a i	w a i	w a i	v a i	v a i	v a i	v a i		j u a		v a i	v a i	v a i	b a i	v a i	v a i	v a i		v a i	v a i	v a i	v a i	v a i
537_185_we		m aː	m aː	m a + u a	k i + m a + u a	m aː + k o u		m aː + k o u		m aː + t o u	m a + u a	m a u + t o l u	m a + u a	m aː + t o u		k i + m a + t o u	a + m aː + u a	m aː + t o u	m aː + t o u	m a + t o u	m aː + t o u	k i + m aː	m aː + t o u	m aː + t o u	m aː + t o u	m aː + t o u		k i + m a u + t o l u			m h a + t o u
539_25_neck			k i a			ʔ aː ʔ iː			k a k i				k aː k iː		k a k iː		k a k iː		k a k iː		k a k iː		ʔ a ʔ iː			ʔ a ʔ iː		k i a	k aː k iː		
53_163_new	p o u	f o ʔ o u	f o ʔ o u	f o u	f o u	h o u	h oː u	h oː u	ʔ o u	h oː u	f o u	f oː u	h o u	h oː u	h oː u	f o ʔ o u	w o u		f oː u	h o ʔ o u	ʔ oː u	h o ʔ o u		f o u	h o u		f o u	f o ʔ o u	h oː u	f oː u	h o u
540_125_salt		p a ʔ a + t a i	t a i	t a i		p a ʔ a + k a i							p a ʔ a + t a i									t a i									
54_167_night	p oː	p oː + ʔ u l i	p oː + ʔ u l i	p o	p o	p oː	b oː	p oː	p oː	p oː	p o	p o + u l i	p oː	p oː	p oː	p oː	p oː	p oː	p o + i r i	p oː	p oː	p oː	p oː	p oː	p oː	p oː	p oː	p oː	p oː	p oː + u l i	p oː
55_27_nose	i u	i s u	i h u	i s u	i s u	i h u	uː h i u	a i s u	i ʔ u	i h u	u s u	i h u	i h u	k a + i h u	i s u	i s u	i j u	i h u	i s u	i h u	p u t aː ŋ i	i s u	p u t a + e ʔ u	i s u	k a i + u s u	i h u	i s u	i h u	i h u	i h u	i u
563_173_at		k i																										ʔ i			
567_49_toliedown																					ʔ a k a + t iː + p a p a		t iː + p a p a								
568_159_wide						aː k e a							f a t e a						a t e a		aː t e a			aː t e a + t e a							
56_162_old	m aː t u a	m a t u ʔ a	m a t u a					m a k u a						m a t u a			m a t u a					m a t u ʔ a		m a t u a	m a t u a		m aː t u a	m o t u ʔ a		m a t u a	m a tʰ u a
574_132_fog	n e p u			n e f u + n e f u							m a f u			n e h u										n e f u			n e f u				n e h u
576_19_shoulder					p a k a u																						k a p a + k a u				p a p a + k a u
57_160_painfulsick		m a s a k i	m a h a k i	m a s a k i	m a k i	m a ʔ i				m aː + u i + u i	m a s a k i	m a k i		m a k i		m a s a k i	m a k i	m a ʔ i		m a + u ʔ i + u ʔ i	m aː + u i + u i	m a s a k i	m a ʔ i	m a ʔ i		m a ʔ i		m a h a k i	m aː + u i + u i		m a k i
585_57_husband					t a ŋ a t a						t a ŋ a t a																				
586_62_thatchroof	t a o + t a o																														t o + t o + h a l e
58_53_personhumanbeing	t a ŋ a t a	t a ŋ a t a	t a ŋ a t a	t a ŋ a t a	t a f a t a	k a n a k a	d a ŋ a d a	k a ŋ a k a	t a ŋ a t a	t a ŋ a t a	t a ŋ a t a	t a ŋ a t a	k e n a n a		t a ŋ a t a	t a ŋ a t a	t a ŋ a t a	t a ʔ a t a	t a ŋ a t a	t a ŋ a t a	t a ŋ a t a	t a ŋ a t a	t a ʔ a t a	t a ŋ a t a	t a n a t a	t a ʔ a t a	t a ŋ a t a	t a ŋ a t a	t a ŋ a t a	t a g a t a	t a i
595_123_toflow		s a l i	h a l i				h a r i									s a l i															
596_87_toswell										p u k u					p u k u																p u k u
59_133_rain	u a	ʔ u a + i n a	ʔ u a	u a	u a	u a	u a	ʔ u a	u a	u a	u a	u h a	u a	u a	u a	ʔ u h a	u a		u a	ʔ uː a	u a	ʔ u a	u a	u a	u a	u a	u a	ʔ u h a	u a	u a	u a
603_192_and																				p e								p e a			
605_190_other														l aː								ⁿg aː									
606_42_tosuck							u							uː		s u + s u								s u + s u				h u + h u			
60_149_red	m e r o	m e a			m e a		m m eː	m e a			m e a			m m e a			m e l o			m e a		m e a		m e a	m e a		m e r o		m e a		m e a
615_158_narrow																			k o + k o t a		t aː + k o + k o t a										
616_8_toturn																	n i + n i w i		f a k a + n i + n i h i												
617_83_towork					f i ʃ i k a i			h e + h e a ʔ u						h e k a u								h a i + h e k a u			h e k a u						
61_6_roadpath	a r a	a l a	a l a	a r a		a l a	a l a	a l a	a r a	a r a	a r a	h a l a			a r a	h a l a	ŋ u t u + a l a		a r a	a r a	a r a	a ⁿg a	a r a ʔ a + r a ʔ a	a l a	a l a	a r a	a r a	h a l a	a r a	a u + a l a	a l a
62_121_sand		ʔ o n e	o n e	o n e	o n e	o n e	o n e		o n e	o n e	w a r a + u n e	o n e	o n e		o n e	ʔ o n e	o n e	o n e	o n e	o n e	o n e	ʔ o n e	o n e	o n e + o n e	o n e	o n e	o n e	ʔ o n e + ʔ o n e	o n e	f uː	o n e
633_168_day													o a + t e a						a v a + t e a												
634_12_skin																								p a ʔ u						p a u	p a k u
635_106_snake																	oː v iː				ʔ oː u iː		oː ʔ iː			ʔ oː f iː					
637_64_tosay					t u k u						t o k u a																			t a k u	t u k u a
638_8_toturn																	u w e		u e												
63_124_sea		t a i		t a i	t a i	k a i	d a i		t a i	t a i	t a i	t a h i	t a i	t a i			t a i		t a i	t a i	t a i	t a i	t a i	t a i			t a i	t a h i	t a i	t a i	
646_207_twenty																		p i t i + ʔ a h u ɢ u					p i t i + ʔ a ʔ u r u			p i t i + ʔ a h u r u					
647_193_if	p e	p eː			p e												p iː								p e l a						
648_69_tohunt	t u r i																										t u r i				
64_161_shyashamed	p a k a	m aː	m aː		ʰm a				ʔ a k aː + m a	f a k a + m aː		m aː			m aː	m aː	a k a + m aː	m aː + m a h u		h aː	t aː + ʔ a k a + m aː	m aː	ʔ a ʔ a + m aː	m aː		m aː + m a h u		m aː		m a + m aː	m aː
65_12_skin	k i r i	k i l i	k i l i	k i r i	k i r i	ʔ i l i	g i l i	ʔ i l i	k i r i	k i r i	k i r i	k i l i	k i ʔ i	k i r i	k i r i	k i l i	k i l i	ʔ i ɢ i	k i r i	k i r i	k i r i	k i ⁿg i	ʔ i r i	ʔ i l i + o l a	k i l i	ʔ i r i	k i r i	k i l i	k i r i	k i l i	k i l i + h i n o
661_65_rope				f a β a	v a + v a						w a + w a			h a + h a																	
663_204_eight	v a r u	v a l u	v a l u	β a r u	v a r u	w a l u	w a l u	v a l u	v a r u	w a r u	β a r u	v a l u	v a ʔ u	v a r u	v a r u		v a l u	v a ɢ u		v a ʔ u	v a r u	b a ⁿg u	v a ʔ u	v a l u	v a l u	v a ʔ u	v a r u	v a l u	v a r u	v a l u	v a l u
665_210_onethousand	a p e	a f e	a f e									a f e										a h e		a f e				a f e		a f e	
666_207_twenty										r u a + t e k a u				t i p u + r u a			l u a + ŋ a u l u				r u a + ŋ a u r u			l u a + s e f u l u							
667_13_back	m u r i																m u l i		m u r i												
669_108_louse		t u m a	t u m a									t u m a																t u m a			
66_128_sky	r a ŋ i	l a ŋ i	l a ŋ i	r a ŋ i	r a g i	l a n i	l a ŋ i	l a ŋ i	r a ŋ i	r a ŋ i	r a ŋ i		ʔ a ŋ i		r a ŋ i	l a ŋ i	l a ŋ i	ɢ a ʔ i	l a ŋ i	r a ŋ i	r a ŋ i	ⁿg a ŋ i	t u a + r a ʔ i	l a ŋ i	l a n i	r a ʔ i	r a g i	l a ŋ i	r a ŋ i	l a g i	v e + l a ŋ i
670_6_roadpath																		p u ɢ u m u	p u r uː m u				p u r uː m u			p u r uː m u					
671_125_salt												m a t i m a				m a s i m a								m aː s i m a				m aː s i m a		m aː s i m a	
672_154_short			p u k u + p u k u									p u k u				p u k u + p u k u						p u k u		p u ʔ u + p u ʔ u			p u k u + p u k u				
673_161_shyashamed						h i l a + h i l a	h i l a																	s i l a + s i l a							
674_120_stone																		ʔ o h a i					ʔ oː ʔ a ʔ i			ʔ oː f a ʔ i					
675_157_thick	m aː + t o r u	m aː + t o + t o l u	m aː + t o l u	m a + t o r u + t o r u	m a + t o r u	m aː + k o l u + k o l u	m aː + d o l u	m a + k o l u	m aː + t o r u	m a + t o + t o r u	m a + t o r u	m a + t o l u	m o + t o ʔ u	m aː + t o r u		m a + t o l u + t o l u	m aː + t o l u		m aː + t e r u	m a + t o r u	m aː + t o r u	m aː + t o ⁿg u		m a + t o l u + t o l u	m aː + t o r u		m aː + t o r u	m a + t o l u		m aː + t o l u	
677_75_todiebedead																					p o ʔ e					p o h e			p o h e		
678_70_toshoot																		t e ʔ a					t e ʔ a			t e ʔ a					
679_181_where	p e a	f e a	f e a	i f e	u a	a i a + i + h e a	h eː	h e a	ʔ e a	f e a	i + f i a	f eː	h e a	i + h e a	h e a	f e a	i + w e a	h e a	h e a	h e	ʔ e a	h e a	ʔ i a	ʔ o + f e a	h e a	h e a	f e a	ʔ i + f eː	h e a	t eː + h e a	i + h e a
67_110_spider	k a + r e v e + r e v e	k a + l e v e + l e v e	k a + v e l e + v e l e				l e w e + l e w e	v e l e + v e l e	p uː ŋ a + w e r e + w e r e	p u ŋ aː + w e r e + w e r e			v e ʔ e + v e ʔ e	r e v e + r e v e		p u ŋ a + l e w e + l e w e						ⁿg a b a		ʔ a + p o ŋ aː + l e v e + l e v e	v e l e + v e l e					p o g aː + l e v e + l e v e	
681_118_grass								v e v e																	v e v e						
682_179_near														t a u + p i r i + m a i			p i l i								t a u + p i l i		p i r i			p i l i	
684_121_sand	k e r e							ʔ e l e						k e r e + k e r e			k e l e + k e l e														
685_87_toswell														p u p uː			p u + p u t e	oː p u + p u	p u e n a		oː p u e + p u e										
686_35_tovomit																		p i h a ʔ e								p i h a ʔ e					
68_130_star	p e t uː	f e t u ʔ u	f e t u ʔ u	f e t u	f a t uː	h oː k uː	h e d uː	h e k u	ʔ e t u	f e t uː		f e t uː	f e t o e	h e t uː	h e t uː	f e t u ʔ u	w e t uː	h e t i ʔ a	f eː t uː	h e t u ʔ u	ʔ eː t uː	h e t u ʔ u	f e t i ʔ a	f e t uː	h e t uː	f e t i ʔ a	f e t uː	f e t u ʔ u	h e t uː	f e t uː	h e t uː
691_206_ten										t e k a u										k a u a t u											
693_153_big													m aː k a	h a + m a t a k u							m a ʔ a t a + m a ʔ a t a										
695_26_hair	p u r u	f u l u	f u l u	f e r e + u r u	f u r u		h u l u					f u l u	h u ʔ u		h u r u		w u l u + w u l u	h u ɢ u + h u ɢ u + p o ʔ o		h u r u + h u r u	ʔ u r u	h u ⁿg u					f u r u		h u r u	f u l u + f u l u	
696_16_intestines													k o e + k o e							k o + k o m a											
697_2_left																								t a u + a ŋ a + v a l e	v a l e					v a l e a	t o + v a l e
698_179_near	n e i	n e i						ŋ e i																							
69_79_stickwood	r aː + k a u	l a ʔ a + k a u	ʔ a + k a u	r a + k a u	r a + k a u	l aː + ʔ a u	l aː + g a u		r a + k a u	r aː + k a u	r a + k a u	l aː + k a u	ʔ a + k a u	r aː + k a u	r aː + k a u		l aː + k a u				r aː + k a u	ⁿg a ʔ a + k a u	r aː + ʔ a u	l aː + ʔ a u	l aː + k a u	r aː + ʔ a u	r a + k a u	ʔ a + k a u	r aː + k a u	l aː + k a u	l a + k a u
6_203_seven	p i t u	f i t u	f i t u	f i t u	f i t u	h i k u	h i d u	h i k u	ʔ i t u	f i t u	e + β i t u	f i t u	f i t u	h i t u	h i t u		w i t u	h i t u		h i t u	i t u	h i t u	ʔ i t u	f i t u	h i t u	h i t u	f i t u	f i t u	h i t u	f i t u	h i t u
704_119_earthsoil																	p a l a + p a l a														p e l a
707_172_toclimb	k a k e	k a k e	k a k e					ʔ a ʔ e						k a k e	k a k e	k a k e	k a k e				k a k e + a + ʔ i a + n a	k a k e		a ʔ e	k a k e		k a k e	k a k a	k a k e	k a k e	k a k e
70_120_stone	p a t u	f a t u			f aː t u	p oː + h a k u	h a d u	h a k u	p o + ʔ a t u	k oː + f a t u	f a t u	p a t u	h a t u + k e ʔ a a	h a t u	p oː + h a t u		w a t u		f a t u		p oː + ʔ a t u	b a l u	p o + ʔ a t u	f a t u	h a t u		f a t u		p oː + f a t u	f a t u	h a t u
