Cognate_ID,Afade,Bata,Buduma,Buwal,Cuvok,Dghwede,Dugwor,Fulfulde,Ga,Gavar,Gemzek,GizigaMarva,GizigaMoutourwa,Hausa,Hwana,KamweFutu,Kanuri,Kilba,Lagwan,Lamang,Malgbe,Maltam,Margi,MargiS,Mazera,Mbara,Mbazla,Mbudum,Mbuko,Merey,MofuGudur,Moloko,Mpade,Mser,Musgum,Muyang,Nyimatli,Ouldeme,Psikye,Sharwa,ShoaArabic,Sukur,Vame,Zina
14500_330_hyena,,,,,,,,,,,d ə r l e ŋ g e,,,,,,,,,,,,,,,,,,d ə r l i n g e,,,d ə r l e n g e,,,,d i r l e ŋ g i,,,,,,,,
14504_662_untie,,,f e l u,,,,,,,,,,,,,,,,v ɨ l u n + h e,,f a l + j a,,,,,,,,,,,,f a l + j o,v a l + j o,,,,,,,,,,
14512_323_how,,,k i x i m i,,,,,,,,,,,,,,,,ɗ ɨ k i m i,,d e d e,,,,,,,,,,,,l a h e,d ɨ + m a t i,,,,,,,,,,n a n a
1455_282_gravel,,,,,,,,,,,,,,,,,c i r a,,,,g b ɨ r,,,,k a r k a r e,,,,,,,,s i r a,s e n + t ɨ + d a m i,,,,,,,,,,
14561_693_wide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t u r ɑ,,,,,,,,
14594_10_all,f a g ɨ,,n g a c o,,,,,,,,,,,,,,,,k i t ɨ,,b a d ɨ,,,,,,,,,,,,f o g ɨ,b ɨ l ɨ m,,,,,,,,,,
14604_255_forest,k a r a g a,,,,,,,,,,,,,,,,,,x u ɗ ɨ gʷ i,,g a r g a,,,,m a g o,,,,,,,,,z u r u,,,,,,,,,,
14614_603_swelling,t i,,,,,,,,,,,,,,,,,,z uː + ɨ n + d a + x t a + a + j a,,t i w u n,,,,,,,,,,,,t i n,i + v a s,,,,,,,,,,
14615_300_hat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k u l p ə p a,,,,,,,,,,,,,,
14619_176_drizzle,,,,,,,,,,,,,,,,,n j a m n j a m,,s a m a + ɨ n + n j a n + n j a n,,s i a s i a,,,,,,,,,,,,n j a m n j a m i,s a m a + t ɨ + d ɨ r s a,,,,,,,n j a m a + n j a m a,,,
14621_21_arm,,,,r ɑ,,,l a j,,,r ɑ,a h ə r,h a ŋ,,,,,,,,,,,,,,,,,,h ə l a j,,,,,,,,,,,,,a l a j,
14621_295_hand,,,,r ɑ,,,a h a r,,,r ɑ,a h a r,h a n,,,,,,,,,,,,,,,,,a l a j,,,,,,,,kʰ a r,,,,,,,
14643_311_heron,a n ɓ r a ɓ r a,,,,,,,,,,,,,,,,g ə r a g ə r a,,g a l a m,,g ɓ a r a n + g ɓ a r a,a b a n k ʔ o r k ʔ o r,,,,,,,,,,,m s a w a,n kʷ a r o,,,,,,,,,,
14658_592_stutter,,,,,,,,,,,,,,,,,,,gʱ ɨ n e l + d a n d a n i,,ɬ e d ɨ + g a,,,,,,,,,,,,ʃ e + g a,t o k ɨ + g e,,,,,,,,,,
1466_313_hip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z u h,,,,,,,,
1466_8_again,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z u h,,,,,,,,
14673_125_cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m ɑ k l ɑ b ɑ ɬ,,,,,,,,
14680_424_navel,,,,,,,,,,,,,,,,,,,n k ʔ u n e,,,,,,,,,,,,,,,n k ʔ u r e,,,,,,,,,,
14685_13_ancestor,,,,,,,,k aː k a,,,,,,k a a k aː,,,k a k a,,b ɨ l a + e + z a s e,,k a k a i,,,,k a k a,,,,,,,,k a k a,k a k a i,,,,,,,,,,
146_387_manmale,b ɨ l o s a w e,,,,,,,,,,,,,,,,,,,,b l e w e,,,,,,,,,,,,b l o s e,b l u w e,,,,,,,,,,
14705_673_wait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k a ɬ,,,,,,,,,,,,
14705_678_watch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k a ɬ,,,,,,,,,,,,
14723_43_because,,,,,,,a g ə r ə j,,,,a g ə r ə j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14739_704_world,d u n i j a,,d u n i a,,,,,d u n i j aː r u,,,,,,,,,d i n a,,,,d u n i a,nː a,,,d u n i a,,,,,,,,d u n i a,d u n i a,,,,,,,d u n j a,,,
14753_614_testicle,k o l i j e,,,,,,,,,,,,,,,,n g u r,,n k u n,,w u l i a + d ɨ + k o l i,,,,kʷ a ŋ c a r a,,,,,,,,m b o g ɨ n a,n k u n,,,,,,,,,,
1479_112_chew,t ɨ g ɨ,,,,,,,,,,,,,,,,,,,,t a g ɨ,,,,,,,,,,,,t a g ɨ,,,,,,,,,,,
14802_233_fireplace,h ɨ n ɓ i,,,,,,,,,,,,,,,,,,h i n g i,,m ɨ n g ɨ,,,,,,,,,,,,m ɨ g ɨ,h ɨ n g i,,,,,,,,,,
14846_378_lookat,d ɨ + g o + h e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n d ɨ + g o + h e,,,,,,,,,,,
14899_295_hand,ɬ e,,,,,,,,,,,,,,,,,,ɬ a ɗ ɨ,,ɬ e,,,,s e,,,,,,,,ʃ e,s e ɗ,,,,,,,,,,
14923_552_skin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h a m b ə l,,,,,,,,,,,,
14923_553_hideofanimal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m b a l,,,,,,,,,,,,,,
14924_353_late,,,k ə a d u g u,,,,,,,,,,,,,,,,t ɨ kʷ a s e,,ɗ a w a l,,,,,,,,,,,,k ʔ e,d a + r kʷ a s e,,,,,,,,,,
14946_579_squirrel,,,,,,,,,,,,,,,,,,,s u e k a,,,,,,,,,,,,,,,,,,ʃ o k a,,,,,,,
14952_301_hatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ts ə ts a ɬ,,,,,,,,,,,,,,
14967_256_forget,,,a ɗ ə,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i j a,,,,,,,,,,,
14976_385_malesex,s a w e,,b i,,,,,,,,,,,,,,kʷ a n g a,,m e n i,,b l e w e,,,,gʱ a z e,,,,,,,,b l o s e,b l u w e,,,,,,,,,,
14981_33_bag,,,,,,,,,,ɬ i b i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14981_468_pocket,,,,,,,,,,ɬ i b i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15011_124_clothes,k a s ʔ u m u,,k a j i m u ə,,,,,,,,,,,,,,k a z ə m u,,p ɨ t k ɨ n,,b ɨ r k ɨ,,,,,,,,,,,,k a s u m u,k a s u m u,,,,,,,k i sʷ e,,,m b i
15024_284_greet,ɗ u,,,,,,,,,,,,,,,,,,n g u l,,ɗ u,,,,,,,,,,,,ɗ ɨ,sʷ a,,,,,,,,,,
15025_681_we,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,,,,,,,,,,,m a
15045_337_intestines,m ɓ ɨ r ɗ o,,a n d a j,,,,,,,,,,,,,,k a l ə m,,n d ɨ d e,,h a n ɗ o w e,,,,b a j a ŋ,,,,,,,,e n d ɨ,gʱ ɨ l i + n g u r e,,,,,,,,,,
15047_668_vein,,,,,,,,,,,,,,,,,,,v ɨ n i + h e + x s i,,f ɨ r + e + s k i,,,,gʱ i j a + a v l e,,,,,,,,f ɨ r e + i + s k i,v ɨ r + a + s k i,,,,,,,,,,
15080_150_darkness,d ɨ l ɓ ɨ n,,,,,,,,,,,,,,,,,,g u r v a k ʔ e,,d ɨ l ɓ a n,,,,,,,,,,,,d ɨ l ɓ ɨ n,t u t u s ɨ n,,,,,,,,,,
15090_183_ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ɮ a m,,,,,,,,,,,,
15090_422_name,,,,,,,ɮ a m,,,,ɮ a m,,,,,,,,,,,,,,,,,,,,,ɮ a m,,,,,,,,,,,,
15098_672_waist,,,,,,,,,,,,,,,,,,,k a l u x s i,,m g b a n b ɨ r m e,,,,v a s i ŋ,,,,,,,,s k u,d a t ɨ,,,,,,,,,,
15109_299_harmattan,g a d a f ɨ r u,,,,,,,,,,,,,,,,b a n t ə g ə n e,,,,,l ɨ b o,,,,,,,,,,,m a r u g u,ʃ i + a + d o n o,,,,,,,a m b i b i,,,
15114_255_forest,,,,,w u d e z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15114_650_tree,,,,,w u d e z,,,,,,,w i d e s,,,,,,,,,,,,,,,,,,,w u d e z,,,,,,,,,,,,,
15114_93_bush,,,,,,,,,,,,w i d e s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15117_634_time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s a r tʃ i,,,,,,,
15133_557_slave,,,,,,,b e k e,,,,,,,,,,,,,,,,,,,,,,,b e k e,,,,,,,,,,,,,,
15171_397_medicine,p ɨ r p ɨ n,,r u ə g u n,,,,,k u r g u n,,,,,,,,,k u r w u n,,m u gʱ u n,,k u r g u n,,,,m a gʷʱ a n e,,,,,,,,k u r k u n,k u r g u n,,,,,,,d a w a,,,
15210_579_squirrel,,,,b e n j e r,b e n j e r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15214_149_cut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s e j,,,,,,,,
15273_344_kitchen,,,k o l o r o m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k o ɓ a,,,,,,,,,,,
15307_65_bladder,,,,,,,,,,,,,,,,,,,m b u + k r e,,j a i j a,,,,,,,,,,,,s k o + ɨ l + k u r e,m e n + k u r e,,,,,,,,,,
15318_131_return,,,,,,,,,,v ə l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15318_269_give,,,,,,,,,,v ə l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15319_10_all,,,,,,,,,,,,,,,,,,,,,,,,p a p a t u,,,,,,,,p a t,,,,,,,,,,,,
15348_235_fish,,,,,,,,,,,,,,,,,,,,,,,,,k ɨ l f a,,,,,,,,,,,,,,,,,,,h ə l f ə
1536_325_hundred100,m i a,,,,,,,,,,,,,,,,m e a,,t ɨ k ɨ m + ʃ e ʃ i,,,,,,,,,,,,,,m i a,m i a,,,,,,,m i j a,,,m j a
15377_698_wipe,s i j o,,,,,,,,,,,,,,,,,,gʱ u z ɨ w u n,,s u w e + j a,,,,,,,,,,,,s ɨ n + j o,s a + h o,,,,,,,,,,
15389_372_lion,,,,l e v e r e,,,,,,,,,,,,l ə v a r i,,,,,,,,l ə v a r i,,d i v a ŋ,,,,,,,,,,,,,,,,,a l v a r e,
15398_546_sin,,,b i g ə,,,,,,,,,,,,,,a i w u,,,,,,,,,,,,,,,,i t ɨ m,,,,,,,,i s i,,,
1542_79_brain,e r s l ʔ i,,,,,,,n g aː n d i,,,,,,,,,k ə r g ə n,,n d o n o,,n a c ʔ a n,e r i ɬ ʔ i,,,n d o n d o n o n + i j a,,,,,,,,n d a c ʔ a n,m e r e s ʔ ɨ,,,,,,,m u xː,,,
15431_657_twist,,,,,,,,,,,,,,,,,,,s ʔ ɨ w u n + h e,,s ʔ ɨ w a d ɨ + h i,,,,,,,,,,,,s ʔ w a + h o,s ʔ u l + o,,,,,,,,,,g u l m a
15444_709_year,f a,,x a g a,,,,,,,,,,,,,,f a r a r o,,v a,,f a,,,,,,,,,,,,f a,v a,,,,,,,s a n a,,,d i m a n
15452_492_red,f e j o,,k ə m e,,,,,,,,,,,,,,k i m e,,z e i,,j a + f i j a,,,,,,,,,,,,f e + p i t,z e j,,,,,,,a h m a r,,,v u a
15470_556_sky,,,,,,,gʱ ə r + m b ə l o m,,,,gʱ ə r + m b ə l o m,,,,,,,,,,,,,,,,,,,,,gʱ ə r + m b ə l o m,,,,,,,,,,,,
15480_504_roast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t ə ɗ ɑ j,,,,,,,,
15481_238_fishingnet,,,,,,,,,,,,,,,,,m u s k o n d i,,,,,,,,,,,,,,,,m ɨ s k o n d i,,,,,,,,,,,
15495_387_manmale,,,,,,,h a ɬ ə k a,,,,h a ɬ ə k a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15495_460_person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h a ɬ ə k a,,,,,,
1552_146_crowd,,,,,,,,,,,,,,,,,a l ə g a,,m i x k a n,,ɬ a m a,,,,,,,,,,,,a l ɨ g a,u mː a,,,,,,,x a l i g a,,,
15565_48_before,,,b a h a,,,,,,,,,,,,,,b u r w o,,,,,,,,,,,,,,,,k a b ɨ r o + g i,,,,,,,,,,,
15567_539_shoe,l a b o,,,,,,,,,,,,,,,,,,gʱ a l a b e,,h a l b o,,,,,,,,,,,,h a l b o,h a l b o,,,,,,,,,,h a r a m b o
15573_493_refuse,g ɨ j i,,,,,,,,,,,,,,,,,,,,j e j,,,,,,,,,,,,j i j i,,,,,,,,,,,
15577_388_man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w d a w,,,,,,,,,,,,,
15577_460_person,,,,,,,w d a w,,,,,,,,,,,,,,,,,,,,,,,w d a w,,,,,,,,,,,,,,
15610_268_girl,w u l + g ɨ r a m e,,,,,,,,,,,,,,,,,,gʱ u l + g ɨ n a m,,w u l i a + ɬ ɨ m e,,,,,,,,,,,,l o + ɨ l + g a r a m e,u l i o,,,,,,,,,,
15620_467_stemstalkofmaizemilletetc,s i l m e r e,,k a n g a l i ə,,,,,,,,,,,,,,k a l,,,,g a g o,g a g o,,,,,,,,,,,k o l o + ɨ l + m f o,k a k o,,,,,,,,,,
15645_650_tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m ə ŋ g ə h ɑ f,,,,,,,,
15662_280_grasshopper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h e j e w,,,,,,,,,,,,,,
15697_491_razor,b i l,,,,,,,,,,,,,,,,b e l i,,b e l,,b i l a,,,,,,,,,,,,b i l,b e l,,,,,,,,,,
15710_1_abandon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h a r ə n d e,
15710_493_refuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h a r ə n d e,
15713_263_fry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s o l a,,,,,,,,,,,,,,
15721_183_ear,ɬ ɨ m,,h ə m u ə,,,,,,,,,,,,,,s ə m o,,ɬ ɨ m i,,ɬ ɨ m,,,,s i m e,,,,,,,,ʃ i m u,s ɨ m,,,,,,,,,,
15731_223_field,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v ə d ɑ ŋ,,,,,,,,
15732_291_hail,m b ɨ r,,,,,,,,,,,,,,,,,,i h a,,m k p ɨ r,,,,,,,,,,,,n k u r,m u k u n i,,,,,,,,,,
15738_328_husband,,,,,,,,,,m ɑ w ə l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15738_387_manmale,,,,,,,,,,m ɑ w ə l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15744_220_goat,,,,,,,a w a k,,,,a w a k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15755_21_arm,,,,,,d ə v a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15755_295_hand,,t ɨ f e,,,,,,,,,,,,,,d z i ɓ ə,,,,d z ə v o,,,,,,,,,,,,,,,,,,,d z ə v ə,,,,,
15762_314_hippopotamus,n e j,,,,,,,,,,,,,,,,n g u r t u,,n i e,,n a i,,,,c i l a,,,,,,,,n e j,a r e,,,,,,,g i r i n t i,,,
15786_142_cricket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e w e ɗ i k,,,,,,,,
1578_64_blacksmith,m e g a r ɨ w,,,,,,,,,,,,,,,,,,m i g a n,,m e g a n,m e g a n,,,a b a + g a m o,,,,,,,,m i g a n,m i g a n,,,,,,,,,,
15814_325_hundred100,,,,,t e m e r e + c e w,,,,,,,,,,,,,,,,,,,,,,,,,t e m e r e,,,,,,,,,,,,,,
15857_677_war,h ɨ r a,,,,,,,,,,,,,,,,,,gʱ ɨ n a,,h a r a,,,,,,,,,,,,h a r a,gʱ a r a,,,,,,,,,,
15862_407_month,,,,ŋ t ə r ɑ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15862_408_moon,,,,ŋ t ə r ɑ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15866_542_shoulder,g o l a w e,,,,,,,,,,,,,,,,,,k a l + m p a l a,,g a r + m b a l a,,,,,,,,,,,,g o l m b a l a,,,,,,,,,,,
15911_320_horn,,,,,,,,,,,,,,,,,,,,,,,,,m ɨ h u e,m o h o,,,,,,,,,,,,,,,,,,a hʷ a l
15919_25_arrow,s i w u,,,,,,,,,,,,,k i b i j a a,,,k ə n j i g ə,,t a n g i,,s i l,,,,,,,,,,,,k a w i,u l o + a + t a n g i,,,,,,,,,,c a l a l a
15929_256_forget,g o + n i a,,a ɗ ə,,,,,,,,,,,,,,,,x ɨ ɬ e l + k a + a,,g a d ɨ j a w u n,,,,,,,,,,,,s o + j o + g ɨ,s k a + k o + o,,,,,,,,,,m i k a
15937_524_sell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s ə k o m,,,,,,,,,,,,
15937_96_buy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s ə k o m,,,,,,,,,,,,
1596_524_sell,d ɨ w o l o,,w ə j,,,,,,,,,,,,,,,,gʱ u i w u n,,w i,,,,,,,,,,,,d ɨ w o + d o,w i d a,,,,,,,c a r a,,,
15984_247_flyn,,,,,,,,,,,,,,,,,,,,,s k p i,,,,,,,,,,,,s kʷ i,,,,,,,,,,,
15994_606_tail,,,,,,,m ə t e l,,,,m ə t e l,,,,,,,,,,,,,,,,,,,m ə t e l,,m ə t e l,,,,m ə t e l,,m ə t e l,,,,,,
16027_665_vagina,,,,,,,,,,,,,,,,,f a r g i,,,,,,,,,,,,,,,,f a s ɨ,,,,,,,,f a r a j,,,
1602_506_roof,b o,,,,,,,,,,,,,,,,,,k aː + l + v ɨ n i,,,,,,a s i + k a l a,,,,,,,,,k o + r + g a r u,,,,,,,,,,
16060_546_sin,,,,,,,,,,,,,,,,,z ɑ n ɑ v u,,,,,,,,,,,,,,,,k ɨ n a s i,,,,,,,,,,,
16061_239_five,,,,,,,,,,,ɮ ə ɗ a m,,,,,,,,,,,,,,,,l i d a m u ʔ,,,,,ɮ o m,,,,ɮ ə ɗ a m,,ɮ a m,,,,ɮ a m,,
16098_39_suffering,,,,,,,,,,,,,,,,,b a s a r i,,,,,,,,,,,,,,,,b a s a r i,,,,,,,,,,,
16101_14_and,,,j u,,,,,,,,,,,,,,,,k a,,g a,,,,,,,,,,,,g o,ɗ a,,,,,,,,,,b r a
16133_495_resemble,,,i,,,,,,,,,,,,,,,,,,h i + r g ɨ + m a r g e,,,,,,,,,,,,s a n i,l a h a,,,,,,,,,,
16139_91_burn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n ə w ɑ ɬ,,,,,,,,
16147_130_come,,,,n d ɑ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16147_272_go,,,,n d ɑ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16147_674_walk,,,,n d ɑ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16156_405_monitorlizard,g u m b r a,,m o r k o b i n,,,,,,,,,,,,,,m a r g ə g a n,,m a d a w e,,k ʔ u m b r a,k ʔ u m b r a,,,a w l e,,,,,,,,k ʔ ɨ m b r a,m ɨ n d a w e,,,,,,,,,,
16170_241_flea,,,,,,,,,,,,,,,,,t ə r g a w u,,,,,,,,,,,,,,,,t ɨ r g a b o,,,,,,,,,,,
16185_500_ringworm,,,,,,,,,,,,,,,,,k a r a + k ə r i b e,,t a r z a g i,,m a g a l a n,,,,,,,,,,,,n g u l a n,g r o g r o,,,,,,,g u b,,,
1619_644_tooth,ɬ ɨ r,,,,,,,,,,,,,,,,,,ɬ ɨ n i,,ɬ ɨ r,,,,s i n e,,,,,,,,,s ɨ r,,,,,,,,,,s i n
16204_95_buttock,d ɨ ɓ ɨ s i,,k ə a d u g u,,,,,,,,,,,,,,d ə m b ə r,,m p ɨ l s ɨ n i,,d a g b e,m d ɨ g ɨ,,,v u g u n e,,,,,,,,m d ɨ g ɨ,t a kʷ a s,,,,,,,,,,
16271_320_horn,,,,f ɑ r ɑ m,,,,,,f ɑ r ɑ m,,,,,,,,,,,,,,,,,,f a r a m,,,,,,,,,,,,,,,,
16322_232_fire,,,,,,,a kʷ a,,,,a kʷ a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16332_240_flame,e n s l i + s ɨ + h ɨ w,,,,,,,,,,,,,,,,t ə l a m,,n s l i + e + f u,,e n s l ɨ + e + u,,,,a g o,,,,,,,,e n ʃ i + s ɨ + f u,l ɨ g a m,,,,,,,l i s a n,,,
16336_62_bitter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ɓ i l e k + ɓ i l e k,,,,,,,,
16338_426_neck,,,,,,,ɗ a j,,,,,,,,,,,,,,,,,,,,,,,ɗ a j,ɗ a j,,,,,,,,,,,,,
16338_630_throat,,,,,,,ɗ a j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16338_670_voice,,,,,,,ɗ a j,,,,ɗ a j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16342_193_eighty80,d ɨ g ɨ n + g a ɗ e,,h ə k a n + x o x k u ə,,,,,,,,,,,,,,f i s k u,,t ɨ k ɨ m + g a ɗ e,,b l e + g a n ɗ e,,,,,,,,,,,,m b ɨ l o s k a ɗ e,t ɨ k ɨ m + k a ɗ e,,,,,,,t a m a n i n,,,
1634_22_armpit,h ɨ l a n,,,,,,,,,,,,,,,,t ə lʷ u,,x u s e + m p a l a,,h a l a n + h a l a n,h a l a n,,,i + k u s a,,,,,,,,h a l a n,k ʔ u l v a n,,,,,,,,,,
16350_469_porcupine,a m b u,,,,,,,,,,,,,,,,,,,,a m b u,,,,,,,,,,,,a m b u,,,,,,,,,,,
16393_658_two,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c i c ʉ,,,,,,,,
16394_300_hat,,,,,,,,,,,,,,,,,,,,,k o r a m,,,,,,,,,,,,,k a u r a m,,,,,,,,,,
16400_239_five,,t u f,,,,,,,,,,,,,,,,,,,,,,t ə fː u,,,,,,,,,,,,,,,,,,,,
16409_379_lookfor,j a + g o,,c ə l b u,,,,,,,,,,,,,,,,s kʷ a lʷ u n,,w e d ɨ + g ɨ,,,,,,,,,,,,j a + g o,w a + k a,,,,,,,,,,
16420_571_besour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g u j o m o m o,,,,,,,,,,,,,,
16425_10_all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k ə r ə ɗ,,,,,,,,
16432_189_egg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e j ɬ i,,,,,,,,
16434_287_groanwithpain,,,,,,,,,,,,,,,,,j aː n g i n,,,,,,,,,,,,,,,,h ɨ n + j a g a t ɨ,,,,,,,,,,,
16455_238_fishingnet,,,b ə r ə k i,,,,,,,,,,,,,,b ə r g i,,b a l e,,p a s a,,,,,,,,,,,,b ɨ r j i,k u l e,,,,,,,,,,
16466_694_wife,,,,,,,,,,w ɑ l ɑ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16466_700_woman,,,,,,,,,,w ɑ l ɑ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16475_646_touch,ɬ e + s i + g o,,,,,,,,,,,,,,,,,,s ɨ m u n + a l e,,t a l a,,,,,,,,,,,,t a + h o,d a l + h e,,,,,,,,,,t a m a
164_635_betired,g ɨ r s l i,,k u r a g ə,,,,,,,,,,,,,,,,ɬ ɨ n e l + m b u r u n a,,g ɨ r s l a n,,,,,,,,,,,,g ɨ r ʃ i,l ɓ e,,,,,,,,,,w e h a
16501_481_pus,,,,,,,,,,,,,,,,,,,n k ʔ u,,k ʔ u k ʔ u,,,,,,,,,,,,k ʔ u k ʔ u,h a n k ʔ u,,,,,,,,,,
16508_706_wrist,g a ɬ e,,,,,,,,,,,,,,,,,,gʱ u l i + e + ɬ a ɗ ɨ,,w e ɬ e,g o l s l e,,,,,,,,,,,g e j ʃ e,ɗ a z o,,,,,,,,,,
16529_517_say,g ɨ,,c e,,,,,,,,,,,,,,g u l,,k a w u n,,s a g ɨ w u n,,,,,,,,,,,,g ɨ,b ɨ l,,,,,,,,,,
16536_161_desert,,,,,,,,l a r d e,,,,,,,,,l a r d ə,,ɓ a r a h ɨ,,ɓ a l a,,,,,,,,,,,,l a r d ɨ + ɨ l + n k ʔ w a l i,t ɨ + s e + g o s,,,,,,,a r d i,,,
16559_97_calabash,k ʔ ɨ l a h o,,k o m o,,,,,,,,,,,,,,,,k ʔ ɨ l a,,ɗ ɨ s k p a,,,,kʷ a s e,,,,,,,,k ʔ o l o,m p i l i o,,,,,,,,,,
16627_487_rain,,,,v ɑ n,,,,,,m ɑ n ɑ v ɑ n,,v o n,,,,v a,,,,,,,p a ɗ ə,,,,,v a ŋ,i v e n,,v a r,v a r,,,,ɑ v ə r,,a v ə r,v a,,,,a v e ŋ,
16629_263_fry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s ɑ w ɑ l ɑ j,,,,,,,,
16632_601_sweet,b a m b a m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b o m b o m,,,,,,,,,,,
16655_200_escape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l a w a,,,,,,,
16655_523_snatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l a w a,,,,,,,
16666_697_wing,,,,,,,,,,,,,,,,,f e t e t o,,m p a l a,,m b a l a,,,,,,,,,,,,m b a l a,p a l a,,,,,,,,,,
16668_288_groundnut,k o l j i,,kʷ o l j i,,,,,,,,,,,,,,k o l j i,,n d r a,,k o j i,,,,,,,,,,,,k o l j i,k o l j i,,,,,,,f u l,,,n d r a
16669_410_mortar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j ə r ɑ,,,,,,,,
16673_271_gnaw,,,,,,,,,,,,,,,,,,,x u r a mʷ u n,,t a g ɨ,,,,,,,,,,,,h a ɗ ɨ + g a,k u r e,,,,,,,,,,
16689_363_leprosy,,,,,,,,s a ɗ a w r e,,,,,,,,,d ə l i m,,f u n d ɨ m a,,w a l i + d ɨ + m a,,,,,,,,,,,,m a l ɨ m,j a f a n + t ɨ + d u m o,,,,,,,j u d a m,,,
16710_37_bat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d ə d a v a,,,,,,,,,,,,,,
16752_243_flour,,,,,,,,,,,,,,,,,,u pʷ a,,,,,ə m p u,u p a u,,,,,,,,,,,,,,,,,,,,
16774_399_melon,ʃ a m a m,,b a m b u s,,,,,,,,,,,,,,s a a d ə,,m b i g o,,ʃ a m a m,,,,,,,,,,,,s a g a d ɨ,ʃ a m a m,,,,,,,c a mː a n,,,
16798_649_trapn,,,,,,,ɓ a l a j,,,,ɓ a l a j,,,,,,,,,,,,,,,,,,,b e l e,,,,,,,,,,,,,,
